DateTime,AddedIPs,RemovedIPs
1568917116,627,0
1568938589,664,0
1568960231,495,0
1568981729,900,2601
1569003394,508,0
1569024938,476,0
1569044724,369,0
1569066306,696,1847
1569080706,807,0
1569102272,884,0
1569123929,709,0
1569145505,974,0
1569167193,1063,2770
1569188760,701,0
1569210319,709,0
1569231916,1056,0
1569253511,810,2798
1569275106,599,0
1569296728,51,0
1569300312,86,0
1569322051,1273,0
1569343791,766,2715
1569358011,142,0
1569379498,664,0
1569397538,489,0
1569411949,0,2187
1569444419,1729,0
1569466081,757,0
1569487576,875,0
1569509418,879,2241
1569530680,753,0
1569552356,632,0
1569573964,772,0
1569595498,350,2679
1569609962,406,0
1569631546,665,0
1569649507,509,0
1569671146,1073,2938
1569692706,870,0
1569714315,748,0
1569735900,459,0
1569757575,706,3032
1569773725,324,0
1569793515,661,0
1569813304,650,0
1569834920,721,0
1569856589,909,2057
1569878143,709,0
1569899791,511,0
1569921340,828,0
1569942988,656,2739
1569964689,411,0
1569986210,29,0
1570007842,34,0
1570029393,1229,2040
1570050995,504,0
1570063563,459,0
1570083405,391,0
1570104923,1060,2390
1570139094,547,0
1570158952,533,0
1570180525,663,0
1570202123,610,2396
1570223730,450,0
1570245370,650,0
1570266939,715,0
1570288515,749,2027
1570310154,582,0
1570331783,221,0
1570340721,144,0
1570362349,1107,2221
1570383954,637,0
1570405544,578,0
1570427116,927,0
1570448737,1194,2426
1570470291,106,0
1570491930,514,0
1570513572,730,0
1570535134,1036,2115
1570556711,933,0
1570578311,847,0
1570599954,1278,0
1570621576,1875,2299
1570643170,1365,0
1570664745,1152,0
1570686347,1115,0
1570707938,1797,2704
1570729547,1020,0
1570751187,1032,0
1570772778,667,0
1570794382,1377,2319
1570816142,721,0
1570837612,427,0
1570859177,951,0
1570881139,932,2608
1570902486,608,0
1570911356,463,0
1570931374,1132,0
1570952762,313,0
1570967202,77,1656
1570988861,1191,0
1571010480,826,0
1571028384,55,0
1571050224,1086,0
1571071572,879,2818
1571092877,663,0
1571114888,381,0
1571136820,584,0
1571150886,312,3122
1571170621,710,0
1571192218,684,0
1571213822,547,0
1571235440,744,2565
1571257044,667,0
1571278596,672,0
1571300220,953,0
1571321792,629,2000
1571343406,235,0
1571363237,421,0
1571373967,487,0
1571395879,773,0
1571417214,586,2560
1571438986,694,0
1571460381,631,0
1571481471,721,0
1571501881,195,2977
1571517997,685,0
1571539568,561,0
1571561176,491,0
1571582809,645,2596
1571604359,739,0
1571626015,607,0
1571647628,540,0
1571668370,657,2097
1571689130,458,0
1571710694,9,0
1571732474,437,0
1571745122,662,2727
1571763771,491,0
1571784795,453,0
1571806094,8,0
1571826954,969,0
1571842040,0,3107
1571863473,583,0
1571885264,661,0
1571906868,267,0
1571928486,876,2842
1571949527,750,0
1571969914,613,0
1571991454,378,0
1572013047,754,2461
1572050921,491,0
1572065253,519,0
1572087072,664,0
1572108495,461,1902
1572129856,700,0
1572151676,516,0
1572173248,1045,0
1572189912,0,3056
1572209395,806,0
1572227257,544,0
1572247076,579,0
1572268634,710,2952
1572288911,568,0
1572310127,510,0
1572319142,50,0
1572338879,340,0
1572360447,1034,2869
1572381078,798,0
1572401960,492,0
1572432454,716,0
1572454135,524,3242
1572475683,519,0
1572497266,520,0
1572517051,942,0
1572538477,294,3436
1572555221,259,0
1572572947,440,0
1572594506,289,0
1572616249,669,2588
1572632719,575,0
1572654151,93,0
1572662906,437,0
1572683385,465,0
1572701810,526,2577
1572735402,477,0
1572754605,538,0
1572773466,457,0
1572792602,542,2527
1572800549,62,0
1572821709,649,0
1572842804,516,0
1572860268,620,0
1572880621,848,2819
1572902218,536,0
1572923842,770,0
1572943623,171,0
1572956229,514,3068
1572976018,561,0
1572994025,599,0
1573013897,9,0
1573035397,262,0
1573055716,756,2991
1573073253,755,0
1573091226,342,0
