DateTime,Entries,UniqueIPs
1568917116,73664,73664
1568938589,74328,74328
1568960231,74823,74823
1568981729,73122,73122
1569003394,73630,73630
1569024938,74106,74106
1569044724,74475,74475
1569066306,73324,73324
1569080706,74131,74131
1569102272,75015,75015
1569123929,75724,75724
1569145505,76698,76698
1569167193,74991,74991
1569188760,75692,75692
1569210319,76401,76401
1569231916,77457,77457
1569253511,75469,75469
1569275106,76068,76068
1569296728,76119,76119
1569300312,76205,76205
1569322051,77478,77478
1569343791,75529,75529
1569358011,75671,75671
1569379498,76335,76335
1569397538,76824,76824
1569411949,74637,74637
1569444419,76366,76366
1569466081,77123,77123
1569487576,77998,77998
1569509418,76636,76636
1569530680,77389,77389
1569552356,78021,78021
1569573964,78793,78793
1569595498,76464,76464
1569609962,76870,76870
1569631546,77535,77535
1569649507,78044,78044
1569671146,76179,76179
1569692706,77049,77049
1569714315,77797,77797
1569735900,78256,78256
1569757575,75930,75930
1569773725,76254,76254
1569793515,76915,76915
1569813304,77565,77565
1569834920,78286,78286
1569856589,77138,77138
1569878143,77847,77847
1569899791,78358,78358
1569921340,79186,79186
1569942988,77103,77103
1569964689,77514,77514
1569986210,77543,77543
1570007842,77577,77577
1570029393,76766,76766
1570050995,77270,77270
1570063563,77729,77729
1570083405,78120,78120
1570104923,76790,76790
1570139094,77337,77337
1570158952,77870,77870
1570180525,78533,78533
1570202123,76747,76747
1570223730,77197,77197
1570245370,77847,77847
1570266939,78562,78562
1570288515,77284,77284
1570310154,77866,77866
1570331783,78087,78087
1570340721,78231,78231
1570362349,77117,77117
1570383954,77754,77754
1570405544,78332,78332
1570427116,79259,79259
1570448737,78027,78027
1570470291,78133,78133
1570491930,78647,78647
1570513572,79377,79377
1570535134,78298,78298
1570556711,79231,79231
1570578311,80078,80078
1570599954,81356,81356
1570621576,80932,80932
1570643170,82297,82297
1570664745,83449,83449
1570686347,84564,84564
1570707938,83657,83657
1570729547,84677,84677
1570751187,85709,85709
1570772778,86376,86376
1570794382,85434,85434
1570816142,86155,86155
1570837612,86582,86582
1570859177,87533,87533
1570881139,85857,85857
1570902486,86465,86465
1570911356,86928,86928
1570931374,88060,88060
1570952762,88373,88373
1570967202,86794,86794
1570988861,87985,87985
1571010480,88811,88811
1571028384,88866,88866
1571050224,89952,89952
1571071572,88013,88013
1571092877,88676,88676
1571114888,89057,89057
1571136820,89641,89641
1571150886,86831,86831
1571170621,87541,87541
1571192218,88225,88225
1571213822,88772,88772
1571235440,86951,86951
1571257044,87618,87618
1571278596,88290,88290
1571300220,89243,89243
1571321792,87872,87872
1571343406,88107,88107
1571363237,88528,88528
1571373967,89015,89015
1571395879,89788,89788
1571417214,87814,87814
1571438986,88508,88508
1571460381,89139,89139
1571481471,89860,89860
1571501881,87078,87078
1571517997,87763,87763
1571539568,88324,88324
1571561176,88815,88815
1571582809,86864,86864
1571604359,87603,87603
1571626015,88210,88210
1571647628,88750,88750
1571668370,87310,87310
1571689130,87768,87768
1571710694,87777,87777
1571732474,88214,88214
1571745122,86149,86149
1571763771,86640,86640
1571784795,87093,87093
1571806094,87101,87101
1571826954,88070,88070
1571842040,84963,84963
1571863473,85546,85546
1571885264,86207,86207
1571906868,86474,86474
1571928486,84508,84508
1571949527,85258,85258
1571969914,85871,85871
