DateTime,AddedIPs,RemovedIPs
1580832726,3,4
1580836321,2,12
1580840001,4,6
1580843526,8,3
1580847138,5,5
1580850735,7,4
1580854348,3,3
1580857939,5,5
1580861552,10,6
1580865168,23,5
1580868742,9,4
1580872355,8,8
1580875934,3,32
1580879568,6,7
1580883164,8,5
1580886732,8,7
1580890345,3,6
1580893969,5,4
1580897545,5,13
1580901123,7,7
1580904749,8,8
1580908359,14,7
1580911943,9,6
1580915545,5,5
1580919154,5,7
1580922725,6,8
1580926358,8,11
1580929936,9,8
1580933564,6,10
1580937135,9,9
1580940735,8,5
1580944336,9,6
1580947966,20,8
1580951523,14,2
1580955127,4,3
1580958752,4,9
1580962332,5,32
1580965945,7,10
1580969498,14,5
1580973154,4,4
1580976726,4,6
1580980329,6,2
1580983958,5,6
1580987500,18,10
1580991116,6,3
1580994736,7,7
1580998335,4,15
1581001944,2,5
1581005534,4,6
1581009154,7,5
1581012730,5,9
1581016323,6,7
1581019955,5,1
1581023560,2,4
1581027120,4,5
1581030749,5,8
1581034359,6,12
1581037981,16,5
1581041504,6,6
1581045153,13,8
1581048730,9,26
1581052323,6,9
1581055927,3,12
1581059543,10,7
1581063124,6,8
1581066722,10,7
1581070302,8,4
1581073950,6,8
1581077501,7,3
1581081148,5,4
1581084712,6,4
1581088353,4,5
1581091895,3,8
1581095522,9,5
1581099126,2,11
1581102725,5,5
1581106336,5,6
1581109939,2,3
1581113527,6,9
1581117140,9,5
1581120719,11,6
1581124361,20,6
1581127919,8,6
1581131541,7,7
1581135154,6,13
1581138734,3,5
1581142289,4,12
1581145909,3,9
1581149516,7,7
1581153091,9,5
1581156694,2,5
1581160307,5,2
1581163889,4,6
1581167495,5,2
1581171137,8,5
1581174690,4,4
1581178297,6,5
1581181923,4,5
1581185568,6,7
1581189089,2,9
1581192725,7,4
1581196330,7,4
1581199953,5,8
1581203493,8,6
1581207134,9,3
1581210709,27,6
1581214323,11,3
1581217874,5,6
1581221523,7,13
1581225139,5,10
1581228703,4,19
1581232333,12,3
1581235968,7,9
1581239518,9,4
1581243145,8,8
1581246736,7,6
1581250365,9,10
1581253944,7,6
1581257529,7,4
1581261138,9,5
1581264754,6,10
1581268338,5,5
1581271944,8,5
1581275508,4,14
1581279149,4,7
1581282717,6,9
1581286359,11,5
1581289948,6,3
1581293514,16,4
1581297140,23,3
1581300708,9,2
1581304365,11,11
1581307920,8,22
1581311540,4,8
1581315109,9,12
1581318811,4,7
1581322326,10,3
1581325932,5,10
1581329521,8,3
1581333263,9,5
1581336729,2,6
1581340342,4,5
1581343905,5,3
1581347536,4,8
1581351109,7,7
1581354719,5,4
1581358307,4,3
1581361932,4,11
1581365534,4,4
1581369112,12,4
1581372719,5,5
1581376344,12,10
1581379936,13,4
1581383567,19,6
1581387126,12,5
1581390758,9,19
1581394342,13,20
1581397952,6,11
1581401517,5,11
1581405096,4,13
1581408702,18,11
1581412324,8,8
1581415898,7,2
1581419521,5,4
1581423117,4,5
1581426705,7,9
1581430300,3,8
1581433889,5,3
1581437507,2,9
1581441086,10,6
1581444710,3,10
1581448273,7,5
1581451917,7,5
1581455485,5,8
1581459140,1,1
1581462674,8,11
1581466296,13,9
1581469891,28,4
1581473516,5,4
1581477099,4,13
1581480700,7,25
1581484285,1,8
1581487926,10,8
1581491491,13,8
1581495111,4,4
