DateTime,AddedIPs,RemovedIPs
1578305014,0,5
1578308600,4,1
1578312210,1,0
1578323018,1,4
1578333817,0,1
1578337410,0,1
1578341013,1,0
1578348215,1,1
1578355426,5,2
1578369830,0,2
1578377024,1,0
1578402230,0,1
1578409419,0,1
1578413022,1,0
1578427428,1,1
1578431029,1,0
1578449036,0,1
1578459819,0,1
1578463418,2,3
1578477818,0,1
1578488620,0,3
1578492229,2,1
1578495814,2,1
1578499417,1,0
1578524616,0,1
1578528230,1,0
1578531803,0,1
1578535417,1,0
1578557012,0,1
1578560611,0,4
1578567808,1,0
1578575013,1,1
1578578614,1,0
1578582214,0,1
1578589420,1,0
1578593010,4,0
1578603814,0,1
1578611012,1,0
1578639828,0,1
1578654227,0,1
1578672225,3,0
1578675822,1,0
1578693829,0,4
1578697421,4,0
1578722613,0,4
1578729827,0,1
1578733426,5,0
1578773020,0,1
1578776624,1,0
1578798221,0,5
1578801810,1,1
1578812614,5,0
1578819832,1,0
1578827022,0,4
1578841420,4,0
1578845019,0,1
1578855817,0,4
1578870203,4,0
1578881012,1,0
1578899002,0,4
1578906212,0,1
1578909810,0,1
1578913410,5,0
1578927811,0,1
1578931416,2,0
1578935012,3,1
1578938611,1,1
1578945821,1,1
1578953000,0,4
1578960227,5,0
1578978217,0,4
1578989009,4,1
1578999814,1,0
1579017808,0,4
1579021422,4,1
1579028603,1,0
1579075412,0,4
1579079005,0,2
1579082615,1,0
1579086212,1,0
1579089823,1,0
1579100616,0,2
1579115020,1,0
1579122203,4,0
1579176209,0,5
1579179808,1,1
1579183398,1,1
1579187001,1,0
1579190610,4,0
1579201408,0,2
1579205004,0,4
1579208607,4,0
1579212207,2,0
1579223009,0,4
1579237416,4,0
1579251815,0,1
1579255429,0,1
1579262614,1,1
1579266224,0,4
1579269822,2,0
1579280618,4,0
1579287811,0,1
1579291429,1,0
1579295032,0,4
1579298618,4,0
1579302208,0,2
1579305805,1,0
1579309434,1,0
1579313034,0,4
1579320231,4,2
1579327439,2,0
1579349028,0,5
1579352625,1,0
1579367020,4,0
1579381434,0,1
1579385036,1,0
1579403038,0,4
1579406627,0,3
1579410227,6,0
1579413838,1,0
1579424628,0,4
1579431830,4,0
1579446225,0,6
1579453420,1,0
1579457028,5,0
1579460630,0,1
1579464230,1,0
1579478605,0,4
1579485834,4,0
1579518234,0,5
1579529030,5,0
1579550627,0,4
1579561439,4,0
1579579431,0,3
1579583030,1,0
1579586632,1,0
1579593830,1,0
1579608232,0,1
1579611838,0,1
1579615428,1,0
1579619043,1,0
1579633437,0,5
1579640636,5,0
1579651399,0,1
1579655030,1,0
1579665833,0,1
1579669426,0,5
1579673038,6,0
1579676625,0,1
1579683826,1,0
1579687437,1,4
1579691019,0,1
1579698230,1,1
1579705425,4,1
1579716233,2,2
1579719830,1,1
1579727035,1,0
1579730630,1,1
1579737812,0,4
1579752219,0,1
1579755807,1,0
1579770208,5,0
1579773820,1,0
1579781000,0,1
1579784607,2,1
1579795407,0,3
1579799002,2,4
1579806214,5,0
1579809805,0,2
1579813412,1,0
1579817009,1,0
1579827805,0,1
1579831410,0,2
1579835017,2,0
1579838609,0,2
1579845822,1,1
1579849421,2,0
1579856607,1,0
1579871018,0,1
1579874620,1,1
1579878218,1,0
1579881803,0,4
1579885414,4,0
1579907018,0,5
1579917822,4,0
1579921423,1,0
1579935817,0,1
1579943019,1,0
1579957409,0,1
1579961010,1,0
1579964615,0,5
1579979015,5,0
1580004214,0,4
1580011413,4,1
1580014996,0,2
1580018608,2,0
1580025808,1,0
1580033012,0,1
1580043806,1,4
1580047408,0,1
1580069011,0,1
1580072601,4,0
1580083415,2,0
1580097806,0,1
1580101421,1,1
1580108597,0,1
1580112208,1,0
1580115814,1,0
1580126619,0,6
1580130213,5,1
1580133817,2,0
1580151813,0,2
1580155406,2,0
1580159015,0,1
1580166206,1,0
1580173408,1,0
1580184213,0,2
1580187810,1,1
1580191415,1,0
1580202216,0,4
1580220204,4,0
1580234608,0,1
1580245400,1,0
1580249012,0,1
1580252610,1,0
1580259828,0,1
1580267026,0,4
1580270621,4,0
1580274220,1,0
1580277821,1,0
1580288627,0,1
1580295822,0,5
1580303021,0,1
1580306629,5,0
1580310222,0,1
1580317420,2,0
1580324622,0,2
1580328221,1,4
1580339027,0,1
1580360610,1,0
1580364221,5,0
1580382232,0,1
1580385828,0,1
1580396637,0,1
1580400220,2,0
1580407432,1,0
1580411027,0,1
1580418229,1,0
1580425430,0,5
1580429007,1,0
1580432627,0,1
1580436232,5,0
1580457828,0,1
1580465029,0,1
1580468629,1,0
1580472221,0,4
1580479434,1,0
1580483026,4,1
1580486625,1,0
1580515407,0,5
1580529830,1,0
1580544226,4,0
1580547828,0,1
1580558631,0,5
1580562226,1,0
1580565832,4,0
1580569435,1,0
1580576626,0,1
1580583832,0,1
1580587428,2,0
1580598236,0,1
1580605433,1,0
1580609036,0,1
1580616232,0,1
1580634223,1,0
1580659425,0,1
1580663032,1,0
1580677427,0,1
1580684629,1,0
1580702621,0,1
1580713401,1,0
1580720605,0,1
1580735008,1,0
1580756601,0,2
1580760200,1,0
1580763806,1,0
1580774606,0,4
1580778214,0,1
1580789012,1,1
1580792606,1,1
1580803423,5,0
1580825028,1,0
1580835827,0,1
1580839425,0,1
1580846627,0,4
1580850214,6,0
1580864624,0,5
1580868215,1,0
1580882621,0,1
1580886216,0,2
1580889821,6,0
1580893424,1,0
1580904218,0,1
1580907817,1,0
1580915020,0,1
1580925825,0,5
1580929416,1,0
1580933028,1,1
1580936621,0,1
1580940224,1,0
1580947400,5,0
1580961815,0,2
1580969019,2,0
1580976221,0,4
1580979827,4,0
1580994218,0,1
1581005024,1,1
1581019422,1,0
1581023030,0,1
1581030223,1,3
1581033800,0,1
1581044620,0,4
1581055425,4,0
1581066223,2,0
1581069813,0,4
1581098623,0,1
1581102219,0,1
1581116625,1,1
1581120191,2,0
1581174215,0,1
1581177815,1,1
1581185024,1,0
1581192223,0,1
1581199431,1,1
1581203012,2,0
1581213813,0,1
1581217411,0,1
1581221020,1,0
1581257021,0,1
1581260626,1,1
1581264224,1,0
1581275022,0,1
1581285832,0,1
1581296624,1,0
1581303823,1,0
1581321820,0,1
1581325430,1,0
1581339827,0,1
1581343419,0,1
1581347025,1,0
1581350619,1,0
1581361418,0,1
1581365024,1,0
1581408221,0,2
1581422627,0,1
1581426223,1,0
1581429825,1,0
1581444219,0,1
1581451422,1,0
1581455015,0,1
1581465788,0,1
1581473020,1,0
1581483809,0,1
1581494617,1,0
1581505411,0,1
1581516217,1,0
1581534214,0,2
1581537814,1,1
1581541421,1,0
1581555813,0,1
1581559407,0,1
1581570207,0,1
1581573813,1,0
1581584613,1,1
1581591812,1,0
1581595411,1,0
1581599012,1,1
1581602612,1,0
1581606206,0,2
1581609814,1,0
1581613406,0,1
1581617006,1,1
1581624213,0,1
1581627820,1,0
1581631404,0,1
1581645820,2,0
1581660215,0,1
1581663808,1,0
1581689015,0,1
1581692612,1,0
1581696212,0,1
1581703416,1,0
1581717821,0,1
1581725021,1,0
1581728609,0,1
1581739403,0,1
1581746601,0,1
1581750215,1,0
1581753806,1,0
1581757417,1,0
1581771826,0,1
1581782609,1,0
1581789830,0,1
1581793421,1,0
1581797009,0,1
1581800620,1,0
1581815009,0,2
1581818614,2,0
1581833024,0,1
1581836619,0,1
1581840218,1,1
1581843819,1,0
1581851013,1,0
1581861812,0,1
1581865400,1,0
1581879815,0,1
1581883422,0,1
1581887015,1,0
1581908611,1,0
1581923023,0,1
1581926607,0,1
1581933815,1,1
1581944620,1,1
1581948212,1,0
1581951819,1,0
1581955414,1,0
1581959011,0,2
1581962613,1,0
1582016634,0,1
1582023822,1,0
1582052615,0,1
1582056222,1,0
1582070591,0,1
1582085024,0,1
1582088617,2,0
1582103026,0,1
1582113823,1,1
1582117423,1,1
1582124609,1,0
1582128219,0,1
1582146223,1,0
1582153433,0,1
1582157008,1,0
1582171428,0,1
1582175031,1,1
1582178629,1,0
1582185820,1,1
1582193023,0,1
1582200227,0,1
1582203823,1,0
1582207432,1,0
1582214630,0,2
1582218232,2,0
1582225425,0,1
1582229024,1,0
1582250614,0,2
1582261420,1,0
1582268617,1,0
1582283025,0,1
1582290218,0,1
1582293827,1,0
1582297426,1,1
1582304626,1,0
1582319021,0,1
1582333419,1,0
1582376617,0,1
1582383821,1,1
1582412631,1,0
1582427012,0,2
1582430605,1,2
1582434213,1,0
1582437812,1,0
1582445009,1,1
1582452209,0,1
1582455811,0,1
1582459409,1,0
1582463015,1,0
1582473799,1,0
1582488204,0,1
1582506208,1,1
1582509801,1,0
1582520608,0,1
1582524194,0,1
1582527807,1,0
1582538607,1,1
1582542206,1,1
1582545815,1,1
1582549409,1,0
1582556606,0,1
1582560216,1,1
1582567401,0,2
1582571000,1,1
1582581803,2,0
1582603414,0,1
1582607012,1,0
1582610615,3,0
1582614202,0,1
1582617804,0,1
1582621404,1,1
1582628606,0,1
