DateTime,AddedIPs,RemovedIPs
1580825259,3,4
1580828860,1,3
1580832466,3,3
1580836056,2,3
1580839720,2,1
1580843250,2,1
1580846855,2,2
1580850451,1,2
1580854056,1,2
1580857671,2,2
1580861257,2,2
1580864874,1,1
1580868461,2,3
1580872076,2,2
1580875656,3,2
1580879263,2,2
1580882862,3,2
1580886454,3,2
1580890057,2,3
1580893659,1,2
1580897265,2,1
1580900860,2,1
1580904457,3,3
1580908052,2,2
1580911667,3,3
1580915261,2,3
1580918862,3,2
1580922455,3,3
1580926065,2,2
1580929649,1,4
1580933273,1,1
1580936860,4,2
1580940455,3,2
1580944064,2,1
1580947664,2,3
1580951248,2,2
1580954850,1,2
1580958463,3,3
1580962058,2,2
1580965659,3,3
1580969238,3,1
1580972852,1,2
1580976450,3,4
1580980059,4,2
1580983664,2,2
1580987242,4,3
1580990853,3,2
1580994454,2,3
1580998054,3,4
1581001662,1,1
1581005270,2,3
1581008861,3,3
1581012456,2,3
1581016051,2,3
1581019667,2,1
1581023277,2,2
1581026861,1,1
1581030461,2,1
1581034057,2,2
1581037643,1,2
1581041248,3,2
1581044859,3,2
1581048457,2,2
1581052058,1,2
1581055664,2,3
1581059264,3,2
1581062855,2,2
1581066460,1,2
1581070043,3,2
1581073661,2,3
1581077248,3,2
1581080867,3,2
1581084451,2,2
1581088070,2,2
1581091653,2,3
1581095246,3,2
1581098854,1,3
1581102453,1,3
1581106060,2,1
1581109660,1,1
1581113254,3,2
1581116873,3,2
1581120455,3,1
1581124059,2,3
1581127666,1,3
1581131269,2,1
1581134876,3,3
1581138465,1,2
1581142035,2,3
1581145653,1,1
1581149250,3,1
1581152832,2,2
1581156434,1,3
1581160048,2,1
1581163641,1,2
1581167244,2,1
1581170859,2,2
1581174435,2,3
1581178038,3,1
1581181649,2,2
1581185299,1,2
1581188834,1,3
1581192453,3,1
1581196057,2,1
1581199665,3,2
1581203239,2,3
1581206864,2,2
1581210450,2,3
1581214046,3,1
1581217633,2,3
1581221264,3,2
1581224852,1,2
1581228451,2,3
1581232066,2,2
1581235664,2,2
1581239258,2,1
1581242863,1,2
1581246454,1,2
1581250069,2,2
1581253664,1,2
1581257260,2,2
1581260852,3,2
1581264459,3,3
1581268061,1,0
1581271669,3,2
1581275251,1,3
1581278862,1,1
1581282442,2,1
1581286076,2,2
1581289672,1,2
1581293241,3,2
1581296859,1,2
1581300457,3,1
1581304075,2,2
1581307661,0,1
1581311262,3,1
1581314858,2,3
1581318528,3,3
1581322057,3,2
1581325670,3,2
1581329259,2,3
1581332867,3,3
1581336456,1,2
1581340058,2,2
1581343645,3,2
1581347259,2,3
1581350845,2,3
1581354444,2,1
1581358048,1,2
1581361648,2,3
1581365262,2,1
1581368847,3,1
1581372460,1,2
1581376065,3,2
1581379650,3,3
1581383280,2,2
1581386869,3,2
1581390476,2,3
1581394078,3,3
1581397667,2,3
1581401267,0,2
1581404840,2,3
1581408456,3,2
1581412045,2,1
1581415653,3,1
1581419261,2,3
1581422861,3,2
1581426444,2,3
1581430047,1,2
1581433643,3,1
1581437242,2,3
1581440837,3,2
1581444461,7,2
1581448036,1,3
1581451650,1,2
1581455233,1,2
1581458850,1,1
1581462443,1,1
1581466040,1,1
1581469645,1,1
1581473253,2,1
1581476848,1,2
1581480453,2,1
1581484039,1,2
1581487649,1,1
1581491249,2,1
1581494851,2,2
1581498424,1,1
1581502057,2,2
1581505637,2,1
1581509240,1,2
1581512863,2,2
1581516441,1,2
1581520059,2,1
1581523650,1,1
1581527231,1,1
1581530863,2,2
1581534434,2,2
1581538056,2,1
1581541659,1,2
1581545263,0,2
1581548843,1,2
1581552468,1,1
1581556046,1,0
1581559659,1,0
1581563243,1,1
1581566837,2,2
1581570441,2,1
1581574045,1,3
1581577657,2,2
1581581234,2,2
1581584847,2,1
1581588446,2,1
1581592045,1,2
1581595646,2,2
1581599251,2,2
1581602850,1,1
1581606432,2,2
1581610050,1,1
1581613618,1,1
1581617229,1,1
1581620838,1,2
1581624442,1,1
1581628051,1,1
1581631629,1,1
1581635247,1,1
1581638863,0,1
1581642443,1,1
1581646058,2,1
1581649636,1,2
1581653252,2,0
1581656836,0,2
1581660444,2,1
1581664031,2,3
1581667659,3,1
1581671256,1,0
1581674836,1,2
1581678445,2,2
1581682028,0,1
1581685648,1,1
1581689233,2,2
1581692842,2,2
1581696435,1,0
1581700029,2,2
1581703644,1,2
1581707247,2,1
1581710850,1,2
1581714447,1,1
1581718048,1,1
1581721644,1,1
1581725274,1,1
1581728827,1,1
1581732459,2,2
1581736039,1,2
1581743237,1,1
1581746832,1,2
1581750448,2,1
1581754030,1,0
1581757654,1,2
1581761268,2,1
1581764844,2,1
1581768462,2,1
1581772053,1,2
1581775643,2,2
1581779256,1,1
1581782845,1,2
1581786450,1,1
1581790059,2,2
1581793655,1,1
1581797244,2,1
1581800857,1,1
1581804464,1,1
1581808068,1,2
1581811660,1,1
1581815244,1,1
1581818848,1,1
1581822454,1,1
1581826073,1,1
1581829666,2,1
1581833260,1,1
1581836859,1,2
1581840459,2,2
1581844053,1,1
1581847657,2,1
1581851252,2,1
1581854846,1,2
1581858463,2,2
1581862043,2,1
1581865635,1,2
1581869261,1,2
1581872844,1,2
1581876446,2,1
1581880047,1,1
1581883655,1,1
1581887252,1,1
1581890854,1,1
1581894442,1,1
1581898076,1,1
1581901664,1,1
1581905264,2,1
1581908856,2,1
1581912452,2,2
1581916039,1,2
1581919656,1,1
1581923257,1,1
1581926854,2,2
1581930471,0,2
1581934046,2,1
1581937655,2,1
1581941258,1,2
1581944853,1,1
1581948447,1,1
1581952056,2,1
1581955636,1,1
1581959248,2,2
1581962853,0,1
1581966456,1,2
1581970056,1,1
1581973653,2,2
1581977276,2,1
1581980857,2,1
1581984473,1,2
1581988078,2,2
1581991667,2,1
1581995261,1,1
1581998867,2,1
1582002468,2,2
1582006063,1,1
1582009665,2,2
1582013257,1,2
1582016865,2,2
1582020458,1,2
1582024059,2,2
1582027668,1,1
1582031259,2,1
1582034854,1,1
1582038459,2,1
1582042071,1,2
1582045656,1,1
1582049267,1,2
1582052852,1,2
1582056456,0,1
1582060053,2,1
1582063659,1,1
1582067252,1,1
1582070857,1,1
1582074443,2,1
1582078051,2,1
1582081670,2,1
1582085260,1,2
1582088841,1,2
1582092449,1,2
1582096051,1,1
1582099652,2,1
1582103257,0,1
1582106859,2,0
1582110455,1,1
1582114062,1,2
1582117660,1,1
1582121262,2,2
1582124847,1,0
1582128460,2,2
1582132070,1,2
1582135648,1,1
1582139267,0,1
1582142870,1,1
1582146467,2,1
1582150061,2,1
1582153667,1,1
1582157258,0,2
1582160860,1,1
1582164473,2,1
1582168076,2,1
1582171669,2,1
1582175271,2,2
1582178856,2,2
1582182479,2,2
1582186064,1,2
1582189670,2,2
1582193260,2,2
1582196870,1,1
1582200468,2,2
1582204060,2,2
1582207661,1,1
1582211272,2,2
1582214870,1,1
1582218466,2,2
1582222069,1,2
1582225656,1,1
1582229260,1,1
1582232859,1,1
1582236462,1,1
1582240070,1,1
1582243658,1,1
1582247267,1,1
1582250864,1,1
1582254453,1,1
1582258073,2,1
1582261665,1,1
1582265265,0,2
1582268845,1,1
1582272463,1,2
1582276060,1,1
1582279667,2,0
1582286876,2,1
1582290452,2,2
1582294070,2,1
1582297668,1,2
1582301269,2,2
1582304873,1,2
1582308460,1,1
1582312066,2,2
1582315659,1,1
1582319278,0,1
1582322857,2,1
1582326469,2,1
1582330068,1,2
1582333664,2,1
1582337261,2,2
1582340865,2,1
1582344463,1,2
1582348067,2,2
1582351658,1,2
1582355256,1,2
1582358857,2,1
1582362458,1,1
1582366052,2,1
1582369657,1,1
1582373257,1,2
1582376858,1,2
1582380456,2,1
1582384054,2,1
1582387656,1,1
1582391243,1,2
1582394856,1,1
1582398459,1,1
1582402051,2,1
1582405650,1,1
1582409260,1,1
1582412874,1,2
1582416456,1,1
1582420052,1,2
1582423635,1,1
1582427247,1,1
1582430831,1,1
1582434454,1,1
1582438051,1,1
1582441663,1,1
1582445231,2,1
1582448843,1,1
1582452437,1,1
1582456037,1,1
1582459627,1,2
1582463254,2,1
1582466823,2,1
1582470434,2,1
1582474013,1,2
1582477630,1,2
1582481244,1,2
1582484844,2,2
1582488434,1,1
1582492033,1,1
1582495644,0,2
1582499238,2,1
1582502858,1,1
1582506439,2,1
1582510019,1,0
1582513639,1,1
1582517253,2,1
1582520842,2,1
1582524429,1,2
1582528030,2,2
1582531651,2,2
1582535264,1,1
1582538846,1,1
1582542446,4,2
1582546047,1,2
1582549646,2,1
1582553243,1,1
1582556856,1,1
1582560458,2,1
1582564038,1,1
1582567633,1,2
1582571241,0,1
1582574842,2,1
1582578452,1,1
1582582035,2,1
1582585650,1,1
1582589277,2,2
1582592846,1,2
1582596457,2,1
1582600055,2,1
1582603657,2,2
1582607257,1,1
1582610856,1,1
1582614432,1,2
1582618039,2,2
1582621628,1,1
1582625242,1,2
1582628832,3,1
