DateTime,AddedIPs,RemovedIPs
1578654559,1,0
1578661744,1,0
1578665339,1,0
1578668948,0,1
1578672523,0,1
1578683364,1,0
1578686933,1,0
1578690528,0,1
1578697736,0,1
1578701321,1,0
1578704937,25,0
1578708574,1,0
1578715749,0,18
1578726518,1,0
1578740939,1,1
1578744515,1,0
1578748139,1,1
1578751725,0,1
1578755325,1,0
1578780526,0,1
1578784133,1,1
1578791457,22,0
1578794977,1,0
1578798644,0,1
1578802182,0,28
1578809306,0,1
1578812917,1,0
1578820141,0,1
1578823733,1,0
1578827312,1,0
1578834538,1,1
1578838171,1,0
1578841747,0,1
1578845313,0,1
1578848914,1,0
1578852511,0,1
1578856129,1,0
1578859734,0,1
1578874088,0,1
1578877710,9,0
1578881336,1,0
1578884918,1,0
1578888525,1,6
1578892093,0,1
1578902931,1,0
1578906535,1,1
1578910121,0,1
1578913704,0,1
1578917321,3,0
1578920943,3,1
1578924524,1,0
1578928124,0,2
1578931732,1,2
1578935339,0,1
1578938926,0,1
1578942517,1,1
1578949738,0,1
1578956935,2,0
1578960574,23,0
1578964148,2,1
1578967759,2,0
1578971298,0,29
1578974933,1,1
1578978537,1,1
1578985751,1,1
1578989314,1,0
1578992919,1,1
1578996544,1,1
1579000121,0,1
1579003713,1,0
1579007314,3,1
1579010909,0,1
1579014516,1,1
1579018100,0,1
1579032549,0,1
1579036133,1,0
1579046965,16,0
1579050483,1,0
1579054129,0,1
1579057714,0,23
1579093711,2,0
1579097344,1,0
1579108095,0,1
1579133586,11,0
1579137027,2,0
1579140526,1,0
1579144171,1,11
1579147722,1,1
1579154922,0,1
1579158527,1,1
1579169333,1,1
1579172894,1,0
1579180110,2,2
1579190907,1,0
1579194515,1,0
1579198106,0,1
1579201734,0,1
1579205312,0,1
1579212530,1,0
1579223332,14,0
1579226932,1,0
1579230500,1,0
1579234131,0,27
1579237711,1,0
1579241319,0,1
1579244955,0,1
1579248517,1,0
1579252120,1,1
1579255731,1,0
1579259351,0,1
1579262924,0,1
1579266518,2,1
1579277317,1,0
1579295367,0,1
1579298933,1,0
1579306137,1,0
1579309751,11,1
1579316942,2,0
1579320568,0,12
1579324139,0,1
1579327747,0,2
1579334958,1,0
1579345751,1,0
1579349357,1,1
1579352940,1,0
1579356557,0,1
1579360149,1,0
1579367328,1,0
1579370949,0,1
1579378127,0,1
1579381761,1,0
1579388955,0,1
1579392543,1,0
1579396156,18,0
1579399757,0,1
1579403358,0,1
1579406944,0,13
1579482677,13,0
1579493352,0,22
1579518554,2,0
1579529337,0,2
1579565367,12,0
1579572622,0,2
1579576162,0,12
1579655328,6,0
1579666158,0,18
1579669737,0,1
1579676938,1,0
1579705732,0,1
1579716557,1,0
1579730945,0,1
1579738166,12,0
1579748943,0,12
1579752546,1,0
1579766909,0,1
1579770530,1,0
1579777708,1,0
1579781315,0,2
1579795705,2,0
1579813720,0,1
1579828115,10,0
1579838925,1,11
1579849728,1,0
1579882112,1,0
1579914558,9,0
1579918134,1,0
1579921724,1,0
1579925338,0,5
1579928933,2,1
1579932521,2,1
1579936123,1,0
1579939699,0,1
1579943325,0,1
1579946910,0,1
1579954126,0,1
1579957715,1,0
1579964929,1,0
1579975713,1,1
1579979329,1,0
1579982909,0,1
1579986510,1,1
1579990106,1,0
1579993720,0,1
1580000887,18,1
1580011715,1,14
1580018918,1,1
1580022513,2,1
1580040508,1,1
1580044093,1,1
1580051326,1,1
1580058508,1,0
1580062112,0,1
1580065694,1,1
1580069313,0,1
1580076508,0,1
1580080106,1,0
1580087316,11,0
1580098124,1,13
1580101722,0,1
1580105299,1,0
1580108871,1,0
1580112513,2,0
1580116115,1,1
1580119701,0,1
1580123301,1,0
1580130514,1,1
1580134137,0,1
1580144903,0,1
1580148510,1,0
1580155705,0,1
1580162898,1,0
1580166510,1,0
1580170168,11,1
1580173689,0,1
1580177288,0,1
1580180926,0,12
1580195301,1,0
1580198911,1,0
1580242126,1,0
1580260122,25,0
1580270946,0,16
1580285335,1,0
1580324943,1,0
1580346517,11,0
1580357298,3,13
1580368131,0,1
1580432941,10,0
1580443754,0,16
1580454549,1,0
1580458142,1,0
1580483341,1,0
1580494162,0,1
1580501336,1,0
1580519350,25,0
1580522947,4,0
1580530136,0,22
1580537328,4,0
1580548154,0,4
1580551717,4,4
1580566131,4,0
1580576933,0,4
1580580514,4,0
1580584143,1,0
1580591318,1,0
1580605883,27,4
1580609333,1,0
1580616545,0,20
1580620148,4,4
1580623719,4,0
1580630928,0,4
1580634532,5,0
1580638132,0,1
1580645345,0,5
1580666925,4,0
1580674132,0,4
1580677730,5,4
1580681334,4,0
1580688534,0,4
1580692115,18,4
1580699328,0,1
1580702939,4,10
1580706516,0,4
1580717296,5,0
1580720895,1,0
1580728118,3,1
1580738903,0,3
1580742500,0,4
1580760490,5,0
1580771302,0,1
1580774927,0,1
1580778521,24,0
1580782169,0,4
1580785700,0,5
1580789309,0,22
1580807321,1,0
1580814553,0,1
1580861323,0,1
1580864936,15,0
1580872147,0,1
1580875723,0,27
1580890124,1,0
1580893735,1,0
1580944130,0,1
1580951321,8,0
1580962130,0,13
1580976529,1,0
1580987307,5,1
1580998127,0,5
1581019743,1,0
1581030534,0,1
1581037709,16,0
1581044930,0,1
1581048530,0,22
1581066519,1,0
1581077317,0,1
1581106125,1,0
1581113325,1,0
1581124139,15,1
1581134949,0,15
1581160129,0,1
1581210522,17,0
1581221335,0,8
1581235744,1,0
1581246528,0,1
1581296923,19,0
1581300515,2,0
1581304160,4,0
1581307723,4,12
1581314912,0,4
1581325734,0,4
1581329330,4,0
1581332941,5,0
1581343706,0,1
1581347331,0,4
1581350913,4,0
1581361724,0,4
1581368910,4,0
1581376137,6,4
1581383341,11,0
1581386936,4,1
1581390544,4,4
1581394139,4,23
1581397738,0,3
1581401330,0,4
1581404906,0,4
1581408520,8,0
1581419320,2,0
1581426505,0,4
1581430116,0,2
1581437301,0,4
1581440892,4,0
1581451715,3,0
1581462490,6,4
1581466105,0,4
1581469702,21,0
1581473326,1,1
1581476921,0,4
1581480522,1,17
1581484108,0,1
1581487728,1,4
1581491311,5,5
1581494919,1,0
1581498488,4,5
1581502119,9,1
1581505704,3,1
1581509303,1,0
1581512937,1,4
1581516496,3,3
1581520126,1,5
1581523715,5,1
1581527308,1,0
1581530933,1,1
1581534496,0,5
1581538128,1,1
1581541721,5,5
1581545319,1,0
1581548911,1,1
1581552549,1,6
1581556118,21,1
1581559730,1,8
1581563311,4,3
1581566916,5,23
1581570497,1,1
1581574112,1,0
1581577744,1,1
1581581301,0,1
1581584915,1,5
1581588517,1,1
1581592124,1,0
1581595709,1,5
1581599323,1,1
1581602935,5,1
1581606502,1,1
1581610114,1,1
1581613691,0,1
1581617314,5,5
1581620905,1,1
1581624509,1,0
1581628140,2,1
1581631696,0,1
1581635313,5,1
1581638940,1,5
1581642515,18,0
1581646133,1,5
1581649711,1,1
1581653328,1,13
1581656909,1,1
1581660516,1,1
1581664095,0,1
1581667741,1,1
1581671325,1,1
1581674896,1,0
1581678524,1,1
1581682119,0,1
1581685723,1,1
1581689303,0,1
1581692920,2,0
1581696508,1,1
1581700100,1,0
1581703704,1,3
1581707326,1,1
1581710917,0,1
1581714507,1,1
1581718141,1,1
1581721715,1,0
1581725341,1,1
1581728897,9,1
1581732538,0,1
1581736103,1,1
1581739699,1,12
1581750516,0,1
1581779327,1,0
1581790134,0,1
1581793738,0,1
1581815318,15,0
1581822524,1,0
1581826139,1,18
1581833337,0,1
1581876507,0,1
1581880117,0,1
1581901732,11,0
1581908925,1,0
1581912522,1,17
1581952138,1,0
1581962919,0,1
1581966538,0,1
1581988155,8,0
1581998934,2,8
1582009739,0,1
1582016937,1,0
1582042153,1,0
1582052922,0,2
1582074515,17,0
1582085325,1,15
1582088904,1,0
1582099719,0,1
1582128525,1,0
1582139321,0,1
1582146546,0,2
1582150132,2,0
1582160946,8,0
1582171727,1,14
1582178912,1,0
1582182547,0,1
1582186129,0,1
1582218536,1,0
1582229334,0,1
1582247326,23,0
1582254532,0,1
1582258140,0,7
1582261728,2,0
1582272529,0,2
1582304951,2,0
1582315726,0,2
1582333735,33,0
1582344542,0,17
1582348119,1,0
1582358928,0,2
1582391301,2,0
1582402120,0,1
1582420109,11,0
1582430892,0,5
1582434517,2,0
1582445290,0,2
1582481304,1,0
1582492100,0,1
1582506497,16,0
1582510096,1,0
1582513696,1,1
1582517331,1,21
1582520907,2,1
1582524491,2,1
1582528098,1,1
1582531734,0,2
1582535329,0,1
1582538910,1,0
1582542510,0,1
1582546124,1,0
1582549717,0,1
1582553315,0,1
1582556939,1,1
1582560523,1,0
1582564105,1,0
1582567707,1,1
1582571318,1,1
1582574902,0,1
1582578505,1,1
1582585726,1,0
1582589346,0,1
1582592910,28,1
1582596526,8,0
1582600132,7,1
1582603721,8,36
1582607324,7,6
