DateTime,AddedIPs,RemovedIPs
1581636492,258,220
1581639370,452,927
1581641295,287,582
1581643212,311,166
1581645130,263,227
1581647053,260,186
1581648971,285,241
1581650892,214,199
1581653770,363,268
1581655694,240,220
1581658588,434,282
1581660492,205,216
1581662416,1076,1158
1581664339,432,350
1581666255,491,556
1581668186,613,677
1581670092,732,844
1581672010,783,944
1581673928,981,476
1581675849,495,248
1581677794,234,280
1581679689,259,281
1581681635,304,291
1581683533,313,213
1581685703,325,271
1581687663,361,225
1581689534,272,242
1581691459,308,306
1581693380,286,264
1581695298,276,324
1581697210,230,220
1581699146,272,292
1581701066,285,1073
1581702988,299,1463
1581704892,261,1530
1581706847,285,1601
1581708768,306,333
1581710935,309,295
1581712815,389,272
1581714739,317,269
1581716668,361,256
1581718574,321,251
1581720731,355,232
1581722651,286,240
1581724586,292,293
1581726492,291,304
1581729377,458,443
1581731289,297,254
1581733225,312,248
1581735125,291,289
1581737063,260,228
1581738971,252,237
1581740887,276,236
1581743773,409,399
1581745705,271,269
1581747607,394,239
1581749545,911,1095
1581751466,285,312
1581753368,654,374
1581755309,295,286
1581758179,683,434
1581760106,223,372
1581762010,221,258
1581763947,286,258
1581765866,287,271
1581767775,240,271
1581769690,232,316
1581772582,322,474
1581774507,264,324
1581776413,183,301
1581778328,200,318
1581780263,202,267
1581782176,191,298
1581784093,217,276
1581786047,292,282
1581787931,179,337
1581789864,207,289
1581791788,222,313
1581793692,223,287
1581795611,273,306
1581797554,269,318
1581799452,290,318
1581801370,269,354
1581803289,285,440
1581805220,241,332
1581807148,215,320
1581809065,283,312
1581810966,241,284
1581812889,265,314
1581814847,242,304
1581816735,265,298
1581818901,282,394
1581820813,202,336
1581823121,270,418
1581825149,221,294
1581827075,206,299
1581828992,218,337
1581830888,340,292
1581833788,2591,462
1581835730,3611,903
1581837632,1550,555
1581839528,1863,581
1581841451,1466,462
1581843381,1704,347
1581845288,2287,485
1581847233,4466,185
1581849152,1753,251
1581851313,1958,246
1581853211,2349,344
1581855136,1617,200
1581857093,1841,230
1581858971,1747,200
1581860893,1819,237
1581862822,1600,199
1581864737,1868,171
1581866649,1721,185
1581868588,2265,180
1581870498,2048,232
1581873371,1210,358
1581875535,278,194
1581877463,189,232
1581879388,1592,189
1581881288,680,221
1581884171,301,333
1581886092,221,232
1581888023,220,199
1581889936,272,261
1581891855,230,201
1581893782,203,185
1581895687,191,254
1581898572,687,351
1581900491,1258,244
1581902447,1250,207
1581904351,1527,240
1581906249,1161,159
1581908186,1391,162
1581910092,1004,172
1581912971,1537,278
1581915133,1374,235
1581917050,1048,304
1581918983,1062,178
1581920888,1672,302
1581922845,1116,479
1581924764,933,322
1581926686,1056,364
1581928570,1121,471
1581930509,1179,450
1581932413,1187,2139
1581934338,1124,163
1581936266,1006,195
1581938181,862,215
1581940091,850,177
1581942022,899,178
1581943930,974,163
1581945850,884,153
1581947783,1044,164
1581949687,841,176
1581951638,535,166
1581953556,197,191
1581955478,148,156
1581957398,179,207
1581959299,168,187
1581961212,209,200
1581963154,250,219
1581965053,186,567
1581966976,183,1539
1581968929,173,1805
1581970827,162,2734
1581972727,202,1947
1581974650,183,1559
1581978043,313,2726
1581979934,168,1926
1581981850,153,1695
1581983820,173,1925
1581985690,192,2309
1581988574,285,4567
1581990512,207,3463
1581992408,871,2513
1581994327,4142,3063
1581996274,859,2510
1581998172,532,2520
1582000092,183,2478
1582002988,260,3975
1582004912,187,3010
1582006808,272,2713
1582008730,444,3792
1582010671,622,1018
1582012593,1057,1207
1582014493,997,1044
1582016459,1050,1222
1582018332,903,896
1582020498,698,1268
1582022415,424,1048
1582024355,331,967
1582026252,355,884
1582028430,408,1072
1582030328,233,1029
1582032273,171,1001
1582034168,359,1087
1582036087,731,911
1582038061,676,603
1582039947,373,250
1582042102,365,245
1582044011,4417,201
1582045949,1723,164
1582047850,207,161
1582049777,173,323
1582051714,170,176
1582053612,173,154
1582055528,171,154
1582057464,214,230
1582059367,176,195
1582061303,218,163
1582064427,337,282
1582066351,186,174
1582068263,232,159
1582070166,151,175
1582072103,168,192
1582074970,287,288
1582076908,187,212
1582078808,170,755
1582080726,230,4210
1582082675,195,932
1582084572,176,188
1582086487,184,156
1582088455,186,182
1582090332,175,179
1582092276,205,172
1582094185,286,293
1582096101,211,215
1582098018,188,201
1582099952,164,254
1582101856,174,476
1582103801,200,386
1582105694,197,365
1582107640,177,474
1582109544,184,333
1582111464,196,606
1582113390,216,956
1582115294,215,1237
1582117233,197,491
1582119157,209,476
1582121334,235,290
1582123217,218,271
1582125135,219,439
1582127069,243,576
1582128971,224,1025
1582130893,260,5034
1582132829,268,590
1582134728,223,209
1582136650,248,183
1582138585,220,421
1582140487,685,753
1582142436,266,771
1582144349,269,387
1582146519,228,232
1582148414,218,195
1582150583,224,336
1582152516,441,177
1582154418,253,225
1582156329,244,170
1582158267,234,207
1582160168,200,208
1582162088,202,186
1582164043,160,215
1582165935,200,181
1582167896,174,273
1582169772,226,211
1582171712,187,203
1582173652,192,212
1582175535,216,198
1582177469,222,220
1582179374,221,264
1582181295,1121,748
1582183230,280,191
1582185138,197,225
1582187050,232,269
1582188984,314,467
1582190890,508,237
1582192855,257,192
1582194752,225,214
1582196674,180,191
1582198572,248,227
1582200508,224,205
1582202423,181,227
1582204332,193,209
1582206267,180,214
1582208172,171,209
1582210095,157,261
1582212024,134,259
1582213931,156,296
1582215850,161,216
1582217787,293,225
1582219687,669,247
1582221654,1317,212
1582223544,1448,223
1582226413,1559,335
1582228330,564,605
1582230288,212,244
1582232173,257,205
1582234089,343,211
1582236969,383,313
1582238905,237,209
1582240807,204,227
1582242726,214,251
1582244668,206,212
1582246568,204,208
1582248500,188,210
1582250438,194,176
1582252330,188,212
1582254500,215,230
1582256412,217,232
1582258594,227,219
1582260494,206,190
1582262417,198,242
1582264341,211,201
1582266274,453,658
1582268184,840,1986
1582270090,247,937
1582272975,358,1372
1582274948,241,964
1582276809,264,991
1582278735,304,598
1582280667,285,232
1582282581,290,291
1582284490,243,258
1582287387,314,366
1582289311,235,198
1582291207,219,239
1582293131,174,173
1582295085,182,174
1582296968,204,197
1582298895,186,166
1582300955,214,168
1582303003,228,291
1582304901,197,161
1582306813,320,1447
1582308750,214,1566
1582310652,234,2056
1582312571,230,1440
1582314508,234,869
1582316408,250,228
1582318344,253,242
1582320267,282,318
1582322168,234,224
1582324090,303,232
1582326972,413,354
1582328905,283,210
1582330806,232,214
1582332725,242,210
1582334663,209,208
1582336566,376,209
1582338486,469,188
1582341373,322,342
1582343307,240,282
1582345216,219,207
1582347125,257,230
