DateTime,AddedIPs,RemovedIPs
1580980574,1,0
1580982517,0,2
1580984415,0,1
1580986344,0,12
1580988265,2,0
1580992362,2,1
1580994313,0,2
1580996232,1,0
1581002197,0,1
1581006027,0,1
1581007948,1,0
1581009855,1,0
1581011783,1,0
1581019509,1,1
1581023304,1,0
1581025213,1,0
1581027151,0,1
1581029054,0,1
1581034810,1,0
1581038664,1,1
1581040585,0,1
1581042488,1,0
1581045373,1,0
1581051139,1,2
1581054966,1,0
1581056886,0,1
1581065526,0,1
1581067463,1,1
1581075135,0,2
1581077106,1,1
1581078988,0,1
1581082813,1,1
1581086654,1,0
1581090509,1,0
1581094328,0,1
1581096269,0,1
1581098169,0,1
1581104907,1,0
1581106809,1,1
1581110676,1,1
1581120511,1,0
1581122413,2,1
1581124346,0,1
1581128172,0,1
1581130105,2,0
1581132024,2,1
1581133941,1,0
1581137777,1,1
1581142574,0,1
1581146419,1,0
1581148334,2,0
1581150252,1,0
1581154088,1,2
1581156992,3,0
1581162984,1,0
1581166848,1,0
1581168748,0,1
1581170652,1,0
1581174528,0,1
1581176411,0,1
1581186022,1,1
1581187926,1,0
1581191784,0,1
1581193689,0,1
1581197533,2,1
1581199727,1,0
1581201611,1,0
1581207377,0,1
1581209304,2,1
1581211210,1,0
1581215065,1,0
1581216968,0,1
1581219143,0,2
1581221117,1,1
1581226852,2,0
1581230660,1,0
1581232575,0,1
1581234513,2,2
1581236431,1,0
1581238339,0,1
1581242180,0,2
1581244090,0,1
1581248903,0,1
1581252725,1,1
1581258488,1,1
1581262338,1,0
1581264266,1,0
1581266184,1,1
1581270015,0,1
1581271950,0,1
1581275775,1,0
1581279624,1,0
1581281544,3,1
1581283458,0,2
1581285388,2,1
1581287288,2,0
1581289278,2,1
1581291132,0,1
1581294981,0,2
1581296904,1,1
1581298839,1,1
1581302655,0,1
1581304577,1,0
1581306509,0,1
1581310342,5,0
1581312269,1,1
1581314171,0,1
1581316092,1,0
1581318992,2,1
1581320924,0,2
1581322827,0,1
1581324727,1,0
1581334337,1,0
1581338412,1,0
1581340392,1,1
1581342254,1,0
1581344171,1,2
1581346106,1,0
1581348011,0,1
1581349928,1,1
1581351883,1,0
1581353768,1,1
1581358809,1,0
1581360731,1,0
1581362656,1,1
1581366737,0,3
1581368903,0,1
1581370815,0,1
1581372760,0,3
1581374653,1,2
1581378514,1,0
1581384270,1,1
1581386174,2,1
1581388093,0,1
1581391943,1,1
1581393885,2,0
1581395787,1,5
1581399612,0,1
1581401553,0,1
1581403471,0,2
1581405377,1,0
1581409213,1,0
1581411171,0,1
1581418904,1,0
1581420754,1,1
1581422690,2,0
1581424576,2,1
1581426519,2,2
1581428416,0,1
1581430335,0,1
1581432272,1,1
1581436095,1,1
1581438026,1,1
1581439951,2,0
1581441854,0,1
1581443788,0,1
1581447791,1,2
1581457702,1,0
1581459627,2,1
1581461533,1,0
1581471148,1,1
1581473080,1,1
1581478813,0,1
1581480738,0,1
1581482669,1,1
1581492267,0,1
1581494181,1,1
1581499948,2,0
1581505940,0,1
1581507867,0,1
1581509797,1,2
1581511697,0,3
1581513637,1,1
1581517474,0,1
1581519372,1,0
1581521305,0,1
1581524170,0,1
1581526095,0,2
1581529931,1,1
1581531864,1,0
1581533770,0,1
1581537666,1,0
1581541481,2,0
1581543373,0,1
1581545321,1,2
1581549138,0,1
1581552983,1,1
1581556807,1,1
1581558728,1,1
1581560660,1,0
1581562570,2,0
1581564590,1,0
1581566583,1,0
1581570534,1,1
1581572439,3,0
1581574666,0,1
1581576492,2,0
1581578483,2,0
1581580328,0,1
1581586090,1,1
1581588072,0,1
1581592101,1,0
1581594020,1,0
1581595966,1,1
1581597862,1,0
1581599772,1,1
1581603854,1,0
1581605809,0,1
1581612490,1,0
1581616327,0,1
1581620173,3,0
1581624976,0,1
1581626887,2,1
1581628812,0,1
1581630728,0,1
1581632657,2,1
1581636493,1,0
1581645130,1,1
1581647054,0,1
1581648972,0,2
1581650895,0,1
1581653771,0,1
1581655695,1,0
1581657655,0,1
1581660493,1,3
1581662417,0,1
1581664340,0,2
1581666256,1,1
1581668196,1,0
1581672014,0,1
1581682588,0,2
1581684488,0,1
1581686407,1,1
1581690255,0,1
1581700099,1,0
1581702014,0,2
1581703936,2,0
1581707782,1,2
1581711635,1,0
1581713550,0,2
1581715450,0,1
1581717386,0,1
1581719287,0,1
1581721333,1,0
1581723151,0,1
1581729135,1,0
1581731068,1,0
1581732991,0,1
1581734898,1,1
1581742568,1,1
1581747370,0,1
1581749305,2,0
1581751209,0,1
1581755065,0,1
1581761791,1,0
1581767544,1,0
1581769464,1,0
1581773292,1,0
1581778104,1,0
1581780008,1,0
1581783863,1,0
1581785767,0,1
1581787686,1,0
1581790592,1,2
1581792506,2,1
1581794406,2,0
1581796329,0,1
1581798263,0,1
1581802090,1,0
1581815547,1,1
1581817458,2,0
1581821306,0,1
1581825150,1,0
1581828993,0,1
1581830889,1,0
1581832859,1,0
1581834751,1,0
1581836928,0,1
1581840733,0,1
1581842667,1,1
1581852253,1,0
1581854189,1,1
1581856092,1,1
1581858972,0,1
1581860894,1,0
1581862823,2,0
1581866650,0,2
1581868589,1,0
1581870499,1,1
1581873391,0,2
1581875602,1,1
1581879391,1,3
1581881290,0,1
1581888025,0,1
1581889938,1,0
1581891856,1,0
1581895689,1,0
1581897676,1,0
1581903370,0,2
1581905306,1,1
1581911309,0,1
1581915134,1,0
1581917052,0,2
1581918984,0,1
1581920889,1,1
1581926698,1,0
1581928572,1,0
1581930509,0,1
1581932415,2,0
1581934339,1,0
1581938190,0,1
1581942024,0,2
1581943931,1,0
1581947784,1,1
1581949689,1,2
1581956691,0,2
1581958581,1,0
1581960488,1,0
1581962513,0,1
1581964334,1,1
1581966499,1,0
1581972256,2,0
1581976099,1,0
1581978045,0,1
1581979935,2,0
1581981852,0,1
1581983823,0,1
1581990514,1,0
1581992410,0,1
1581996276,1,0
1581998173,1,0
1582003221,1,1
1582008967,2,0
1582013791,2,1
1582015712,1,1
1582017618,1,0
1582019531,1,1
1582021470,1,0
1582027465,1,1
1582029392,0,1
1582035156,1,2
1582037056,0,1
1582040907,1,0
1582042807,1,0
1582044991,0,1
1582046888,1,1
1582051715,0,2
1582057466,0,2
1582059369,1,2
1582064429,0,1
1582066365,1,2
1582076910,1,1
1582082676,0,1
1582084574,0,1
1582086501,3,0
1582089606,3,1
1582091526,2,0
1582095367,2,2
1582097286,1,0
1582099284,1,2
1582101141,2,0
1582103300,0,1
1582105229,0,2
1582107134,0,1
1582109057,1,0
1582112901,0,2
1582114822,2,0
1582122521,1,1
1582126349,2,0
1582128282,0,2
1582130170,1,0
1582134018,0,1
1582137866,1,0
1582139775,1,0
1582143653,1,0
1582145526,1,0
1582149383,1,0
1582153491,0,1
1582163055,0,1
1582168812,1,0
1582170769,0,1
1582172652,2,2
1582174586,0,3
1582176487,0,1
1582178478,0,2
1582180347,2,0
1582182289,0,3
1582184171,1,1
1582186124,1,0
1582188013,1,2
1582193815,0,1
1582201457,1,1
1582208174,1,0
1582210096,3,1
1582212025,1,2
1582215851,2,0
1582219688,1,0
1582222821,0,1
1582224725,0,1
1582228568,1,0
1582230485,0,1
1582233371,0,1
1582237208,1,1
1582239128,1,0
1582245132,1,0
1582254972,1,1
1582258806,0,1
1582260740,0,1
1582266759,1,2
1582268731,1,0
1582270583,0,1
1582272508,0,1
1582274410,1,1
1582288089,0,1
1582291931,2,0
1582294097,0,1
1582296013,1,2
1582297971,0,2
1582301770,1,2
1582305606,0,1
1582316171,1,1
1582318118,2,0
1582324835,0,2
1582330570,2,1
1582352674,0,1
1582356486,0,1
1582360332,0,1
1582368263,1,0
1582374047,1,0
1582377855,0,2
1582381695,1,2
1582386494,1,0
1582388422,0,1
1582390344,1,0
1582392252,1,0
1582394189,1,0
1582396089,1,0
1582400901,0,1
1582402831,0,1
1582406652,2,0
1582410498,1,0
1582417210,0,2
1582421067,1,0
1582422968,1,0
1582431619,1,0
1582435470,1,0
1582439293,1,0
1582450819,1,0
1582454664,0,1
1582460444,0,1
1582462334,2,0
1582464265,1,0
1582468088,1,1
1582471208,1,0
1582473127,1,1
1582476967,0,1
1582478885,0,1
1582483708,0,1
1582485608,1,0
1582487526,0,1
1582491370,1,0
1582493286,0,2
1582496168,3,0
1582498106,0,1
1582505777,1,0
1582507691,1,1
1582510569,0,1
1582512501,0,1
1582514410,1,0
1582518264,3,1
1582520165,1,0
1582522330,1,1
1582524264,1,0
1582526185,3,1
1582533849,1,0
1582537726,0,1
1582545369,1,0
1582550173,1,3
1582555941,0,2
1582557852,0,1
1582559787,0,1
1582570328,2,0
1582572267,1,1
1582578970,1,1
1582580908,1,3
1582584725,1,0
1582593372,2,2
1582595304,1,0
1582599126,1,0
1582601065,1,1
1582604897,1,3
1582607771,0,1
1582609704,0,1
1582611608,2,2
1582613527,0,2
1582619287,2,1
1582622414,1,0
1582624356,1,0
1582626311,1,0
1582628183,0,1
