DateTime,AddedIPs,RemovedIPs
1564558375,0,2
1564602256,0,4
1564624096,0,1
1564646196,2,0
1564690349,4,2
1564712433,1,1
1564734278,1,3
1564756363,1,0
1564778417,0,2
1564800275,2,0
1564844195,1,2
1564866308,0,1
1564888338,1,1
1564910440,0,1
1564932766,3,0
1564954811,2,1
1564976681,1,2
1564998746,2,0
1565053724,2,0
1565075786,1,4
1565097643,2,3
1565119720,2,0
1565141561,3,0
1565163620,2,1
1565207531,2,0
1565229399,2,0
1565251267,0,1
1565317235,2,4
1565339302,1,2
1565361145,4,3
1565382988,0,7
1565405080,0,2
1565448968,2,1
1565470826,0,1
1565492913,0,2
1565514974,2,0
1565536836,1,3
1565558908,1,2
1565580761,0,1
1565602821,14,0
1565646766,0,1
1565668842,1,1
1565712537,0,2
1565734586,6,2
1565756662,3,2
1565778763,1,1
1565800812,1,1
1565822756,0,2
1565844757,0,2
1565921319,2,2
1565943387,1,1
1565965235,0,5
1566009152,1,1
1566053070,1,1
1566075154,1,1
1566096994,2,0
1566119078,0,2
1566141152,4,1
1566163226,3,1
1566185079,1,0
1566207170,0,17
1566251073,4,0
1566273138,1,1
1566328592,0,1
1566350691,2,1
1566416724,2,1
1566460904,0,1
1566482949,0,3
1566505030,1,3
1566527067,1,2
1566549137,0,1
1566593068,1,0
1566659562,0,1
1566681411,0,2
1566703456,0,1
1566747391,0,4
1566769459,1,3
1566813383,2,0
1566857565,0,1
1566901704,1,0
1566923565,1,2
1566945637,0,3
1567022951,6,2
1567044993,3,0
1567067079,3,0
1567111226,1,1
1567210836,0,2
1567254993,1,0
1567298909,3,0
1567320771,1,0
1567376182,0,1
1567420104,1,1
1567485868,0,2
1567507742,1,3
1567529767,1,1
1567562950,0,2
1567585009,0,1
1567629139,0,2
1567651004,1,1
1567673059,1,0
1567750376,3,0
1567816370,1,0
1567860261,0,1
1567882355,2,0
1567904697,0,1
1567971141,0,1
1567993217,1,0
1568015065,0,2
1568037180,1,0
1568070295,3,1
1568114900,1,1
1568136749,0,1
1568158600,0,2
1568246509,1,0
1568268529,0,2
1568290587,1,0
1568312438,3,0
1568334488,0,1
1568356585,0,1
1568400493,2,1
1568422581,1,2
1568466541,1,1
1568488604,0,8
1568554376,0,1
1568576451,1,0
1568598496,2,1
1568620355,1,0
1568653727,0,2
1568719778,0,2
1568807800,2,0
1568874034,1,0
1568917942,0,5
1568939800,1,0
1568961869,1,0
1569005799,0,1
1569028136,3,1
1569072747,3,1
1569116899,14,0
1569138740,1,0
1569182929,2,1
1569204979,1,1
1569271232,1,0
1569293088,1,0
1569337343,0,1
1569381412,1,0
1569425554,1,1
1569469470,1,2
1569535270,0,1
1569579383,0,1
1569601459,0,1
1569645395,0,1
1569667453,0,1
1569689538,1,0
1569722910,0,17
1569744972,0,1
1569788672,1,2
1569832812,0,2
1569854916,0,2
1569876976,0,2
1569910116,0,1
1569976333,0,1
1569998185,1,0
1570020252,1,0
1570042338,0,1
1570130685,1,0
1570196668,1,0
1570218509,0,1
1570284971,0,1
1570328715,1,0
1570372810,1,0
1570394672,0,1
1570416729,1,0
1570460687,0,1
1570626185,1,1
1570692027,1,1
1570714089,1,0
1570735947,0,1
1570801958,2,0
1570835431,0,1
1570923611,0,1
1570967690,0,1
1571011700,1,1
1571099561,1,0
1571121642,1,0
1571166059,0,1
1571210175,1,0
1571232265,0,1
1571276442,2,0
1571298518,1,0
1571320593,0,1
1571452343,1,0
1571496255,1,2
1571539960,2,0
1571628264,0,1
1571694275,0,1
1571738189,0,1
1571804440,1,0
1571826491,1,0
1571870425,0,2
1571892521,0,2
1571980353,1,0
1572068654,0,1
1572090508,0,1
1572145477,0,2
1572211986,0,1
1572410655,2,1
1572432794,0,1
1572477152,2,0
1572499228,2,0
1572543144,1,0
1572587856,0,1
1572676113,2,0
1572742106,1,0
1572819396,1,0
1572863574,4,0
1572952138,1,0
1573018354,1,2
1573084340,1,3
1573128557,0,1
1573150572,1,0
1573194504,2,0
1573260495,1,0
1573282597,1,2
1573304986,0,1
1573349057,0,1
1573437143,0,1
1573458987,1,0
1573481077,0,4
1573502941,3,0
1573635151,0,1
1573668288,3,0
1573690345,2,1
1573712445,2,0
1573734744,1,0
1573756841,0,1
1573822845,1,0
1573866976,0,1
1573889072,0,1
1573911163,2,0
1573933221,1,0
1574054674,1,0
1574076743,0,1
1574098823,0,1
1574120915,1,1
1574142969,0,1
1574209209,1,0
1574231075,1,0
1574253177,1,1
1574275220,1,4
1574319381,1,2
1574374827,4,0
1574396893,2,2
1574418741,0,1
1574440841,0,1
1574484749,1,1
1574506596,2,1
1574572840,2,2
1574594681,1,0
1574638593,1,0
1574660683,2,1
1574682758,2,0
1574704886,2,0
1574726906,0,1
1574748775,1,0
1574770843,1,0
1574793163,1,0
1574815215,0,1
1574837065,1,1
1574859155,1,1
1574881246,2,1
1574925645,1,0
1574947944,1,0
1574970025,0,1
1574992103,0,3
1575013960,0,2
1575091484,0,1
1575113536,0,1
1575157464,0,1
1575179326,0,1
1575201399,0,1
1575245575,0,1
1575289687,1,0
1575355717,1,2
1575377768,1,0
1575399631,0,1
1575444036,2,1
1575466366,0,1
1575510514,0,1
1575532361,0,1
1575565723,0,4
1575587571,0,2
1575609626,1,1
1575786509,10,0
1575808362,2,0
1575852506,0,1
1575896441,2,1
1575918528,1,0
1575940590,1,0
1575962686,1,1
1575984547,4,1
1576006572,2,0
1576050510,2,2
1576116750,0,1
1576138815,0,1
1576160671,2,0
1576182735,1,0
1576204591,1,0
1576226667,1,1
1576282110,1,0
1576303953,2,0
1576369955,1,0
1576392018,1,5
1576413872,0,2
1576435935,1,0
1576502433,0,2
1576524492,0,1
1576546336,15,1
1576590275,1,1
1576612349,0,2
1576645519,1,4
1576667538,2,2
1576689408,1,0
1576733545,1,0
1576755620,0,1
1576777494,2,3
1576799530,0,2
1576821370,0,2
1576854536,1,1
1576876619,0,1
1576898679,1,0
1576920735,0,1
1576986732,2,1
1577030683,1,1
1577052735,5,0
1577118770,1,0
1577140841,1,0
1577162916,0,15
1577217864,0,1
1577239707,1,0
1577261777,1,1
1577283627,0,2
1577349618,1,1
1577371741,1,1
1577393766,1,2
1577448761,0,1
1577492658,1,0
1577514743,0,1
1577536588,1,0
1577558673,1,0
1577580735,1,2
1577602851,1,0
1577646777,0,1
1577668811,0,1
1577690668,0,1
1577734810,1,5
1577756687,1,0
1577800875,0,1
1577867061,0,2
1577932820,1,0
1577954905,1,1
1577976970,0,1
1577998848,1,1
1578021157,1,0
1578065311,3,0
1578087379,2,0
1578109451,0,1
1578131306,3,0
1578153368,0,1
1578197316,0,3
1578219159,1,1
1578306980,2,0
1578329066,0,1
1578350907,1,1
1578394843,1,0
1578460825,2,0
1578526815,1,1
1578548909,2,1
1578570976,1,0
1578592850,2,0
1578614713,1,2
1578636745,2,0
1578659053,1,2
1578703698,3,0
1578725796,15,0
1578747673,1,1
1578769702,0,5
1578791582,1,0
1578880117,2,0
1578935333,0,2
1578957619,0,2
1578979696,1,0
1579001551,1,0
1579067786,2,1
1579089873,1,0
1579134023,1,1
1579155870,1,2
1579177950,0,1
1579200013,0,2
1579222089,1,1
1579244166,0,2
1579277089,0,1
1579299412,0,1
1579321454,2,0
1579365611,0,1
1579409322,0,17
1579431378,0,1
1579464518,1,0
1579486570,1,0
1579552572,1,0
1579574676,1,0
1579596733,0,1
1579629881,2,4
1579673781,0,2
1579717965,1,0
1579740012,0,2
1579761885,3,1
1579828092,0,1
1579872045,1,0
1579915943,0,1
1579938020,0,1
1580070024,0,1
1580092090,1,1
1580113949,1,0
1580136018,1,0
1580157873,0,1
1580179720,0,1
1580224124,2,1
1580246177,0,1
1580268021,1,0
1580333781,1,0
1580355863,1,0
1580377735,0,2
1580443693,7,0
1580465534,1,0
1580487605,0,1
1580509470,4,0
1580531537,4,0
1580575468,3,0
1580641705,1,0
1580664027,1,0
1580686088,0,1
1580707935,0,1
1580729782,0,1
1580795884,21,0
1580840417,1,2
1580862262,0,1
1580906171,2,0
1580950103,2,2
1580972172,1,0
1581027372,1,1
1581049465,1,0
1581071537,2,1
1581093381,2,0
1581115460,1,7
1581137540,1,1
1581159703,1,0
1581247934,0,1
1581269782,0,1
1581379690,1,15
1581401553,1,4
1581423626,1,0
1581489608,6,0
1581511461,2,3
1581555366,0,2
1581577251,1,1
1581599294,5,0
1581621136,0,1
1581642988,3,1
1581665053,0,3
1581687132,0,2
1581709213,0,4
1581753129,0,4
1581775258,2,6
1581797306,1,0
1581819369,1,0
1581885163,1,0
1581907212,1,0
1581929070,0,1
1581951126,2,0
1581973260,5,0
1582017608,0,1
1582039469,1,0
1582083386,0,3
1582105228,1,1
1582127071,0,1
1582149144,1,0
1582193318,1,2
1582259303,0,1
1582281389,0,2
1582303451,3,2
1582325440,0,2
1582347369,1,0
1582380260,1,2
1582402111,0,1
1582467863,2,0
1582489931,1,1
1582511786,16,0
1582533849,2,0
1582555692,1,3
1582577779,0,4
