DateTime,Entries,UniqueIPs
1579044487,72,72
1579046463,73,73
1579048351,72,72
1579054433,71,71
1579065392,70,70
1579067298,69,69
1579073076,66,66
1579074971,62,62
1579077141,61,61
1579079304,60,60
1579081233,44,44
1579083387,42,42
1579085565,39,39
1579087491,36,36
1579095390,22,22
1579097304,29,29
1579101397,30,30
1579107136,31,31
1579118901,16,16
1579122776,17,17
1579124652,16,16
1579131153,17,17
1579133326,16,16
1579162659,14,14
1579172174,15,15
1579174114,19,19
1579182261,18,18
1579184460,17,17
1579188252,16,16
1579194120,15,15
1579207722,14,14
1579213473,15,15
1579217538,14,14
1579221645,16,16
1579248982,17,17
1579258573,10,10
1579260790,4,4
1579272609,5,5
1579274416,7,7
1579276335,18,18
1579290993,19,19
1579297936,20,20
1579299866,19,19
1579308017,17,17
1579315697,18,18
1579335881,17,17
1579359138,16,16
1579361052,9,9
1579362994,3,3
1579364890,4,4
1579372832,7,7
1579374750,8,8
1579376678,7,7
1579384580,6,6
1579390353,7,7
1579401851,6,6
1579415289,7,7
1579425867,13,13
1579435727,14,14
1579451069,13,13
1579452972,14,14
1579460913,10,10
1579468577,11,11
1579476253,10,10
1579482136,11,11
1579501228,10,10
1579505068,12,12
1579506972,18,18
1579512981,12,12
1579514890,16,16
1579516832,42,42
1579522581,41,41
1579538413,40,40
1579544438,41,41
1579550193,42,42
1579555946,41,41
1579569611,40,40
1579581160,41,41
1579592655,33,33
1579602252,14,14
1579604197,3,3
1579630338,2,2
1579636093,1,1
1579643768,2,2
1579649545,3,3
1579655302,5,5
1579659133,6,6
1579666806,7,7
1579668731,6,6
1579722986,10,10
1579724890,13,13
1579730699,12,12
1579736411,11,11
1579742174,9,9
1579746028,8,8
1579747938,9,9
1579753689,8,8
1579767374,9,9
1579773155,17,17
1579775063,31,31
1579781118,45,45
1579807947,44,44
1579810111,39,39
1579813934,40,40
1579827368,42,42
1579833135,41,41
1579841788,42,42
1579854257,41,41
1579856170,47,47
1579858119,48,48
1579860142,38,38
1579861942,39,39
1579866040,32,32
1579868212,25,25
1579870098,26,26
1579895530,25,25
1579901293,24,24
1579913788,22,22
1579929375,21,21
1579931310,22,22
1579940893,21,21
1579943793,3,3
1579947611,2,2
1579951469,3,3
1579955290,2,2
1579985295,3,3
1579987223,4,4
1579996920,7,7
1579998738,8,8
1580016266,7,7
1580028017,8,8
1580037611,7,7
1580055144,8,8
1580060895,12,12
1580064733,25,25
1580070498,24,24
1580073381,23,23
1580083300,20,20
1580085190,19,19
1580090919,20,20
1580114419,19,19
1580133910,20,20
1580142027,19,19
1580145850,20,20
1580147783,16,16
1580151738,3,3
1580169144,4,4
1580177777,3,3
1580179721,4,4
1580214492,5,5
1580220513,4,4
1580224590,8,8
1580226763,17,17
1580232519,16,16
1580250752,24,24
1580252707,27,27
1580256514,26,26
1580264173,27,27
1580266094,26,26
1580271855,33,33
1580277702,34,34
1580300888,33,33
1580303784,34,34
1580311465,30,30
1580313376,26,26
1580315287,31,31
1580318407,32,32
1580322265,39,39
1580336677,38,38
1580338570,28,28
1580350352,27,27
1580358009,20,20
1580359927,22,22
1580363769,21,21
1580371947,23,23
1580379608,24,24
1580390187,23,23
1580399772,19,19
1580401689,14,14
1580403753,13,13
1580407943,6,6
1580446897,4,4
1580458335,1,1
1580464089,0,0
1580470569,3,3
1580472519,8,8
1580499377,9,9
1580505139,12,12
1580507075,15,15
1580533948,16,16
1580543770,17,17
1580557223,12,12
1580559159,14,14
1580561058,34,34
1580563232,57,57
1580584841,56,56
1580588666,64,64
1580592523,58,58
1580604012,59,59
1580619371,58,58
1580627305,59,59
1580629240,58,58
1580644572,54,54
1580646493,43,43
1580649625,10,10
1580661391,17,17
1580663549,23,23
1580665466,59,59
1580673383,58,58
1580675288,51,51
1580683943,54,54
1580685858,57,57
1580689688,56,56
1580709128,57,57
1580712981,56,56
1580722812,57,57
1580728575,59,59
1580738173,60,60
1580740091,61,61
1580742133,62,62
1580743935,63,63
1580746112,66,66
1580748013,54,54
1580749957,55,55
1580751853,19,19
1580753773,21,21
1580755726,23,23
1580757611,25,25
1580761470,26,26
1580765292,28,28
1580767282,30,30
1580769137,31,31
1580771102,25,25
1580795309,24,24
1580799144,25,25
1580804888,36,36
1580807833,37,37
1580809695,36,36
1580815457,34,34
1580825540,33,33
1580827469,32,32
1580829401,30,30
1580831311,29,29
1580833243,27,27
1580837154,26,26
1580840928,22,22
