DateTime,AddedIPs,RemovedIPs
1581442570,1,2
1581446415,1,0
1581450494,1,1
1581452428,0,6
1581454327,0,4
1581456248,1,2
1581458186,2,2
1581460091,1,1
1581462130,1,1
1581465866,2,0
1581471614,0,1
1581479299,0,1
1581481223,2,1
1581485049,0,1
1581486983,2,0
1581488888,0,3
1581493719,1,1
1581495623,1,5
1581499460,0,1
1581501381,0,2
1581503287,0,2
1581505364,2,2
1581507385,1,1
1581509307,5,3
1581511213,1,1
1581513162,2,1
1581515063,0,1
1581516973,1,3
1581518906,1,1
1581520807,0,1
1581522742,1,0
1581524651,1,0
1581530450,1,1
1581532353,1,1
1581534499,1,0
1581536412,2,3
1581538366,1,0
1581540250,1,3
1581542216,1,2
1581544126,2,1
1581546009,1,1
1581547929,2,0
1581549873,3,1
1581551769,1,2
1581556570,1,0
1581560407,1,0
1581562344,1,0
1581564276,1,0
1581566602,0,1
1581570534,0,2
1581572440,1,2
1581574667,2,0
1581576493,1,0
1581578484,0,1
1581580329,1,1
1581582288,0,1
1581588979,1,0
1581590893,0,1
1581592818,0,2
1581594762,1,0
1581598573,2,1
1581600490,3,0
1581603404,0,3
1581605331,2,3
1581607214,1,1
1581609128,0,1
1581611059,0,1
1581612971,1,1
1581617079,1,1
1581618973,0,1
1581620896,1,0
1581622813,0,2
1581624734,1,0
1581626669,1,1
1581628580,2,1
1581630492,1,1
1581634344,2,4
1581636266,3,4
1581638170,2,1
1581640087,2,0
1581642991,1,1
1581644892,2,0
1581646806,0,1
1581648751,1,0
1581650652,1,1
1581652572,1,0
1581656452,1,0
1581658357,0,1
1581660275,0,1
1581662183,1,0
1581664096,1,0
1581666010,0,1
1581667929,1,1
1581671795,2,0
1581673692,1,0
1581675609,0,2
1581679479,0,2
1581681371,1,0
1581686175,2,2
1581688093,1,0
1581690048,1,0
1581691953,1,1
1581693852,1,1
1581695770,1,0
1581697690,0,2
1581700649,1,1
1581702493,0,1
1581704422,1,1
1581706333,1,2
1581708251,0,1
1581712116,0,1
1581715949,4,3
1581718119,2,0
1581722195,1,2
1581724090,0,7
1581726021,2,3
1581727946,3,1
1581730118,2,3
1581733226,0,1
1581735127,1,0
1581737065,0,2
1581738972,1,3
1581744011,1,1
1581753897,0,1
1581755788,0,1
1581757702,1,1
1581759864,3,1
1581761793,0,2
1581763718,1,0
1581765611,1,1
1581767545,3,1
1581769465,3,1
1581771375,0,1
1581773293,1,1
1581776174,3,3
1581778106,1,0
1581780009,1,1
1581781937,2,0
1581783864,5,0
1581785774,2,1
1581787688,1,0
1581790594,0,2
1581794408,0,2
