DateTime,AddedIPs,RemovedIPs
1570923612,1,32
1570967711,4,11
1570989688,0,7
1571011702,25,10
1571033568,5,6
1571055641,39,4
1571077717,8,0
1571099585,6,1
1571121646,4,5
1571143958,4,10
1571166108,1,2
1571188117,3,3
1571210177,2,13
1571232266,3,3
1571254124,2,3
1571276444,3,109
1571298520,180,1
1571320595,4,3
1571342494,7,36
1571364743,7,1
1571386588,7,6
1571408430,18,2
1571430491,5,3
1571452345,88,2
1571474412,64,5
1571496258,25,0
1571518111,73,0
1571539961,4,2
1571562135,3,1
1571584112,3,0
1571606203,7,0
1571628266,10,2
1571650332,13,2
1571672451,2,193
1571694744,12,16
1571716585,5,0
1571738848,9,10
1571760755,18,2
1571782830,3,0
1571804891,2,2
1571826758,27,1
1571848839,29,2
1571871178,120,0
1571893342,26,42
1571915310,14,33
1571937394,50,1
1571959455,0,17
1571981548,2,5
1572003642,21,9
1572025703,0,14
1572047781,3,3
1572080660,10,79
1572102514,7,43
1572124894,28,16
1572168987,2,10
1572191074,2,4
1572213154,1,0
1572235026,3,2
1572257208,3,11
1572279188,21,0
1572301221,228,3
1572323076,46,5
1572344920,2,9
1572366978,1,10
1572389061,2,0
1572410921,1,10
1572432798,3,18
1572454906,2,22
1572477153,63,160
1572499230,0,57
1572521080,4,15
1572543145,2,81
1572565014,3,61
1572587212,5,3
1572609148,65,30
1572642191,212,3
1572664358,5,0
1572686439,3,2
1572708282,8,7
1572730368,65,24
1572752454,10,0
1572774502,9,0
1572796357,34,0
1572818487,6,7
1572840532,21,0
1572862597,13,2
1572884442,2,36
1572906513,0,214
1572928355,189,32
1572950434,2,5
1572972524,1,0
1572994585,2,0
1573016447,3,1
1573038298,2,4
1573060353,0,1
1573082437,3,1
1573104741,2,1
1573126592,2,1
1573170741,3,2
1573192588,2,3
1573225500,0,29
1573247788,4,5
1573269645,0,1
1573291698,2,8
1573313794,3,45
1573335871,7,65
1573357933,14,7
1573380170,4,40
1573402368,0,117
1573424669,17,68
1573446749,6,106
1573468599,7,16
1573490673,7,0
1573512525,81,1
1573534570,9,7
1573567730,6,70
1573589804,3,7
1573611862,1,6
1573633737,2,32
1573655777,1,64
1573677624,0,1
1573699704,0,5
1573721568,37,3
1573743691,2,1
1573765944,21,1
1573787794,1,1
1573809881,1,3
1573831945,4,0
1573854020,0,4
1573875871,1,0
1573897994,5,16
1573931087,3,1
1573953136,1,8
1573975216,3,2
1573997292,1,0
1574019135,2,0
1574041213,1,136
1574063078,14,59
1574085156,7,5
1574118319,8,121
1574140367,56,5
1574162664,3,5
1574184777,1,2
1574206812,123,1
1574228659,1,2
1574250730,6,6
1574272594,52,0
1574294448,2,0
1574316511,2,14
1574338851,11,38
1574360692,1,2
1574382737,5,4
1574404595,0,4
1574426664,28,4
1574448517,4,2
1574470865,0,2
1574492730,6,3
1574515000,1,3
1574537068,4,2
1574559140,3,2
