DateTime,Entries,UniqueIPs
1581643452,16286,16286
1581645368,16306,16306
1581647286,16307,16307
1581649288,16328,16328
1581651134,16337,16337
1581653070,16344,16344
1581654970,16346,16346
1581656903,16362,16362
1581658822,16379,16379
1581660737,16382,16382
1581662657,16357,16357
1581664657,16210,16210
1581666492,16031,16031
1581668415,15934,15934
1581670349,15763,15763
1581672253,15541,15541
1581674182,16328,16328
1581676089,16448,16448
1581678997,16453,16453
1581680888,16450,16450
1581682818,16464,16464
1581684728,16474,16474
1581686654,16489,16489
1581688596,16513,16513
1581690504,16530,16530
1581693382,16537,16537
1581695301,16554,16554
1581697212,16565,16565
1581699148,16570,16570
1581701068,15722,15722
1581702989,14436,14436
1581704895,13034,13034
1581707783,11462,11462
1581709699,11480,11480
1581711636,11490,11490
1581713551,11509,11509
1581715451,11519,11519
1581717387,11522,11522
1581719289,11530,11530
1581721365,11539,11539
1581723368,11542,11542
1581725323,11545,11545
1581727213,11556,11556
1581729136,11565,11565
1581731069,11579,11579
1581733000,11649,11649
1581734899,11658,11658
1581736823,11652,11652
1581738732,11670,11670
1581740673,11692,11692
1581742571,11699,11699
1581744492,11697,11697
1581746444,11711,11711
1581748340,12252,12252
1581750499,11726,11726
1581752437,11721,11721
1581754349,12137,12137
1581756253,12151,12151
1581758185,12467,12467
1581760108,12456,12456
1581762012,12445,12445
1581763949,12460,12460
1581765868,12508,12508
1581767779,12541,12541
1581769692,12532,12532
1581772588,12539,12539
1581774509,12538,12538
1581776415,12540,12540
1581778330,12532,12532
1581780266,12541,12541
1581782180,12523,12523
1581784096,12519,12519
1581786133,12530,12530
1581788185,12515,12515
1581790093,12510,12510
1581792010,12515,12515
1581793945,12519,12519
1581795850,12512,12512
1581797776,12510,12510
1581799708,12508,12508
1581801608,12513,12513
1581803541,12532,12532
1581805453,12543,12543
1581807381,12551,12551
1581809288,12563,12563
1581811283,12545,12545
1581813131,12544,12544
1581815299,12537,12537
1581817211,12543,12543
1581819146,12485,12485
1581821051,12456,12456
1581823125,12449,12449
1581825153,12436,12436
1581827079,12418,12418
1581828996,12416,12416
1581830892,12420,12420
1581833806,12905,12905
1581835734,12921,12921
1581837637,12685,12685
1581839532,12459,12459
1581841456,12332,12332
1581843385,12234,12234
1581845292,11994,11994
1581848422,14627,14627
1581850338,14609,14609
1581852256,14531,14531
1581854192,14452,14452
1581856094,14442,14442
1581858975,14407,14407
1581860898,14381,14381
1581862826,14377,14377
1581864742,14366,14366
1581866654,14363,14363
1581868593,14374,14374
1581870503,14382,14382
1581873393,14370,14370
1581875604,14377,14377
1581877467,14367,14367
1581879393,16356,16356
1581881293,16932,16932
1581883359,16925,16925
1581885165,16906,16906
1581887125,16895,16895
1581888972,16908,16908
1581890916,16896,16896
1581892816,16896,16896
1581894981,16871,16871
1581896893,16871,16871
1581898823,16857,16857
1581900730,16851,16851
1581902649,16856,16856
1581904582,16856,16856
1581906490,16857,16857
1581909391,16867,16867
1581911312,16876,16876
1581913225,16899,16899
1581915138,16904,16904
1581917055,16900,16900
1581918987,16902,16902
1581920893,17545,17545
1581923053,17090,17090
1581924994,17002,17002
1581926906,16976,16976
1581928812,16887,16887
1581930767,16934,16934
1581932665,14568,14568
1581934573,14752,14752
1581936495,14765,14765
1581938425,14774,14774
1581940329,14783,14783
1581942251,14795,14795
1581944189,14814,14814
1581946090,14875,14875
1581948126,14893,14893
1581949952,14911,14911
1581952128,14930,14930
1581954014,14939,14939
1581955964,14950,14950
1581957857,14956,14956
1581959775,14967,14967
1581961717,15051,15051
1581963625,15200,15200
1581965530,14013,14013
1581967473,12317,12317
1581969389,12083,12083
1581971290,12105,12105
1581973327,12117,12117
1581975136,12087,12087
1581977030,12088,12088
1581978977,12081,12081
1581980922,12075,12075
1581982813,12071,12071
1581984762,12078,12078
1581986652,12082,12082
1581988579,12082,12082
1581990518,12081,12081
1581992413,12093,12093
1581994332,12094,12094
1581996279,12085,12085
1581998176,12769,12769
1582000097,12766,12766
1582002155,12774,12774
1582004192,12792,12792
1582006101,12785,12785
1582008010,12033,12033
1582009986,12380,12380
1582011853,13083,13083
1582013792,13576,13576
1582015714,14510,14510
1582017628,15057,15057
1582019532,15587,15587
1582021473,16063,16063
1582023368,16291,16291
1582025539,16480,16480
1582027519,16668,16668
1582029394,16728,16728
1582031303,16744,16744
1582033213,16684,16684
1582035158,17366,17366
1582037060,18285,18285
1582039027,18828,18828
1582040910,18853,18853
1582042811,18852,18852
1582044994,18845,18845
1582046891,18843,18843
1582049782,18638,18638
1582051719,18628,18628
1582053617,18631,18631
1582055533,18626,18626
1582057469,18612,18612
1582059372,18603,18603
1582061308,18597,18597
1582064432,18593,18593
1582066388,18593,18593
1582068268,18587,18587
1582070171,18582,18582
1582072150,18579,18579
1582074179,18639,18639
1582076187,18641,18641
1582078092,18645,18645
1582080012,18683,18683
1582081947,18684,18684
1582083856,18672,18672
1582085788,18642,18642
1582087707,18627,18627
1582089609,18622,18622
1582091528,18614,18614
1582093468,18646,18646
1582095369,18644,18644
1582097289,18649,18649
1582099347,18636,18636
1582101386,18491,18491
1582103302,18198,18198
1582105232,18013,18013
1582107137,17670,17670
1582109059,17463,17463
1582110977,17157,17157
1582112903,16617,16617
1582114825,15343,15343
1582116733,14914,14914
1582118655,14650,14650
1582120617,14512,14512
1582122523,14523,14523
1582125378,14026,14026
1582127295,13802,13802
1582129298,13812,13812
1582131138,13814,13814
1582133063,13828,13828
1582134987,13852,13852
1582136893,13861,13861
1582138874,13389,13389
