DateTime,AddedIPs,RemovedIPs
1571077718,8,0
1571099587,6,1
1571121647,4,5
1571143959,4,10
1571166123,1,2
1571188118,3,3
1571210177,2,13
1571232267,3,3
1571254125,2,3
1571276445,3,109
1571298521,180,1
1571320595,4,3
1571342509,7,36
1571364744,7,1
1571386589,7,6
1571408431,18,2
1571430493,5,3
1571452346,88,2
1571474413,64,5
1571496259,25,0
1571518112,73,0
1571539962,4,2
1571562170,3,1
1571584113,3,0
1571606204,7,0
1571628266,10,2
1571650333,13,2
1571672452,2,193
1571694745,12,16
1571716586,5,0
1571738849,9,10
1571760757,18,2
1571782831,3,0
1571804892,2,2
1571826759,27,1
1571848839,29,2
1571871178,120,0
1571893372,26,42
1571915312,14,33
1571937395,50,1
1571959457,0,17
1571981549,2,5
1572003642,21,9
1572025704,0,14
1572047782,3,3
1572080661,10,79
1572102515,7,43
1572124936,28,16
1572168988,2,10
1572191077,2,4
1572213154,1,0
1572235027,3,2
1572257213,3,11
1572279212,21,0
1572301222,228,3
1572323077,46,5
1572344921,2,9
1572366979,1,10
1572389062,2,0
1572410921,1,10
1572432799,3,18
1572454917,2,22
1572477154,63,160
1572499231,0,57
1572521081,4,15
1572543147,2,81
1572576035,4,64
1572597875,24,1
1572619932,192,27
1572641785,63,3
1572674656,7,2
1572696767,3,0
1572718826,6,32
1572740901,76,0
1572762741,4,0
1572784603,28,0
1572806668,11,7
1572828743,31,7
1572851151,16,2
1572873442,1,32
1572895478,1,6
1572917533,101,189
1572939402,36,6
1572983550,2,0
1573005397,1,1
1573038300,5,4
1573060354,0,1
1573082438,3,1
1573104742,2,1
1573126593,2,1
1573170742,3,2
1573192589,2,3
1573225503,0,29
1573247789,4,5
1573269646,0,1
1573291699,2,8
1573313794,4,45
1573335872,8,65
1573357934,14,7
1573380181,4,40
1573402368,0,117
1573424670,17,68
1573446750,6,106
1573468599,7,16
1573490674,7,0
1573512527,81,1
1573534571,9,7
1573556470,5,68
1573578777,2,6
1573600850,2,6
1573622910,2,5
1573644759,2,94
1573666836,0,1
1573689007,0,2
1573710981,4,4
1573732902,33,2
1573754911,3,1
1573776982,20,1
1573798825,1,3
1573820905,2,1
1573842756,3,4
1573864602,1,0
1573886658,1,7
1573908730,5,10
1573930574,2,2
1573952454,0,8
1573974489,3,2
1573996593,2,0
1574018660,2,0
1574040759,1,119
1574062816,12,74
1574084656,8,5
1574106514,1,121
1574128365,25,4
1574161504,40,6
1574183800,1,1
1574205872,122,2
1574227937,2,2
1574250017,6,6
1574271891,52,0
1574293937,2,0
1574327311,4,51
1574349395,10,2
1574371458,2,5
1574393556,3,0
1574415407,23,4
1574437462,5,3
1574459316,1,1
1574481378,2,1
1574503300,6,4
1574525565,3,4
1574547419,3,1
1574569511,3,3
1574591542,2,2
1574613620,2,1
1574635481,3,3
1574657539,2,0
1574679394,4,17
1574701252,1,2
1574723125,2,8
1574745179,1,44
1574767232,12,2
1574789303,30,1
1574811148,95,125
1574832997,46,1
1574854847,19,32
1574876892,1,26
1574898736,1,1
1574920593,1,3
1574942479,3,11
1574964497,3,1
1575008227,2,0
1575030281,7,32
1575052183,3,2
1575074478,22,1
1575096518,3,7
