DateTime,AddedIPs,RemovedIPs
1570603951,11,2
1570626273,2,2
1570648118,4,4
1570670179,0,1
1570692029,1,18
1570714092,2,4
1570735952,6,2
1570758032,8,3
1570780115,45,2
1570801961,1,6
1570835433,7,2
1570857420,5,7
1570879459,3,2
1570901538,3,2
1570923613,11,1
1570945473,10,5
1570967730,44,4
1570989721,8,3
1571011703,4,1
1571033569,2,1
1571055642,0,1
1571077719,1,2
1571099588,1,5
1571121648,2,2
1571143960,3,15
1571166139,1,1
1571188118,2,1
1571210178,3,11
1571232268,2,1
1571254126,4,2
1571298521,2,0
1571320596,3,1
1571342523,1,5
1571364745,1,17
1571386589,2,37
1571408431,0,2
1571430493,2,4
1571452346,41,4
1571474413,10,6
1571496260,0,2
1571518113,0,8
1571539962,1,15
1571562186,2,2
1571584114,2,52
1571606205,0,6
1571628267,2,2
1571650333,8,1
1571672453,4,0
1571694745,2,3
1571738851,1,5
1571760758,0,2
1571782832,2,1
1571804893,2,2
1571826760,2,1
1571848841,3,2
1571871179,1,2
1571893392,2,1
1571915313,27,2
1571937396,1,3
1571959457,0,2
1571981550,1,5
1572003644,2,1
1572025705,6,1
1572047783,1,2
1572080662,1,48
1572102516,3,0
1572124946,1,0
1572147147,1,1
1572168989,1,2
1572191097,2,2
1572213155,1,0
1572235029,9,4
1572257215,2,7
1572279214,0,4
1572301223,1,1
1572323077,1,0
1572344922,2,1
1572366979,1,1
1572389063,0,2
1572410922,4,2
1572432799,1,3
1572454925,8,4
1572477156,1,1
1572499232,1,4
1572521081,1,31
1572543148,1,0
1572565055,22,0
1572587231,3,1
1572609149,2,2
1572642201,1,3
1572664360,1,2
1572686440,4,0
1572708284,2,2
1572730369,1,0
1572752454,2,2
1572774502,3,1
1572796358,1,2
1572818507,0,1
1572840534,2,5
1572862598,0,2
1572884443,9,1
1572906514,7,1
1572928356,0,1
1572950435,1,0
1572972531,4,1
1573027474,0,5
1573049320,1,3
1573071395,0,1
1573093476,0,1
1573137630,0,1
1573159724,0,31
1573181777,2,3
1573203934,1,1
1573247789,1,1
1573269647,2,0
1573291699,2,5
1573313796,1,2
1573335874,0,3
1573357935,0,3
1573380193,3,3
1573402369,1,0
1573424670,3,0
1573446750,2,1
1573468601,2,0
1573490674,2,9
1573512527,2,7
1573567732,0,1
1573589806,0,1
1573633759,1,0
1573655780,2,1
1573677626,1,0
1573699705,1,0
1573798826,1,0
1573820905,0,2
1573842756,0,2
1573864604,2,0
1573886659,0,2
1573908731,0,1
1573930575,0,7
1573963710,3,0
1573986017,3,1
1574008102,1,2
1574030176,1,2
1574052026,0,2
1574073867,2,3
1574095957,8,3
1574129088,11,3
1574150931,1,0
1574173005,5,0
1574195072,10,0
1574217146,3,0
1574239233,1,2
1574261107,1,2
1574283134,1,0
1574327312,1,1
1574349396,4,0
1574371458,1,0
1574393557,1,1
1574415407,2,0
1574437463,3,0
1574459317,0,1
1574503317,1,0
1574525566,2,1
1574547420,1,0
1574569512,1,1
1574613621,1,1
1574635482,3,1
1574657539,1,0
1574679395,0,2
