DateTime,Entries,UniqueIPs
1538340505,3008,3008
1538427882,3008,3008
1538514996,1605,1605
1538602089,1633,1633
1538689234,1632,1632
1538776606,1616,1616
1538863727,1600,1600
1538950821,1594,1594
1539037938,1592,1592
1539125086,1594,1594
1539212179,1589,1589
1539299306,1644,1644
1539386440,1671,1671
1539473574,1731,1731
1539560685,1743,1743
1539647780,1744,1744
1539734935,1756,1756
1539822033,1755,1755
1539909147,1733,1733
1539996520,1743,1743
1540083883,1743,1743
1540170991,1748,1748
1540258364,1761,1761
1540345506,1749,1749
1540432893,1747,1747
1540520200,1734,1734
1540607296,1720,1720
1540694421,1716,1716
1540781555,1751,1751
1540868695,1752,1752
1540956037,1766,1766
1541043391,3164,3164
1541130500,3166,3166
1541217637,3158,3158
1541305003,3151,3151
1541392378,3134,3134
1541479709,3131,3131
1541567091,3129,3129
1541654199,3126,3126
1541741321,3117,3117
1541828653,3109,3109
1541915809,3063,3063
1542003169,3043,3043
1542090264,2991,2991
1542177407,2969,2969
1542264736,2949,2949
1542352211,2951,2951
1542439221,2941,2941
1542526345,2938,2938
1542613473,2935,2935
1542700595,2931,2931
1542787721,2909,2909
1542874825,2899,2899
1542961946,2893,2893
1543049067,2903,2903
1543136179,2902,2902
1543223323,2891,2891
1543310693,2890,2890
1543397810,2851,2851
1543484893,2838,2838
1543572295,2819,2819
1543659640,2816,2816
1543746754,2802,2802
1543833875,2799,2799
1543921017,2774,2774
1544008128,2771,2771
1544095492,2795,2795
1544182822,2801,2801
1544270220,2810,2810
1544357315,2808,2808
1544444453,2813,2813
1544531809,2789,2789
1544619231,2786,2786
1544706274,2769,2769
1544793406,2767,2767
1544880746,2763,2763
1544967858,2762,2762
1545055004,2758,2758
1545142116,2761,2761
1545229272,2750,2750
1545316369,2740,2740
1545403477,2725,2725
1545490601,2707,2707
1545577719,2684,2684
1545664826,2685,2685
1545751969,2673,2673
1545839067,2664,2664
1545970372,2637,2637
1546057457,2625,2625
1546144574,2600,2600
1546231941,2599,2599
1546319059,2601,2601
1546406206,2603,2603
1546493307,2613,2613
1546580684,2613,2613
1546667778,2606,2606
1546754901,2571,2571
1546842063,1136,1136
1546929147,1104,1104
1547016264,1048,1048
1547103403,951,951
1547191027,946,946
1547278126,949,949
1547365238,930,930
1547452625,925,925
1547539716,923,923
1547627093,891,891
1547714180,850,850
1547801586,811,811
1547888726,790,790
1547975782,793,793
1548062895,794,794
1548150016,785,785
1548237309,718,718
1548324767,712,712
1548411883,734,734
1548499243,763,763
1548586373,768,768
1548673737,779,779
1548760836,794,794
1548847961,804,804
1548935053,841,841
1549022197,838,838
1549109547,767,767
1549196682,757,757
1549283794,770,770
1549370925,765,765
1549458086,737,737
1549545142,686,686
1549632271,687,687
1549719392,704,704
1549806510,717,717
1549893686,723,723
1549980736,707,707
1550067895,713,713
1550154996,734,734
1550242095,740,740
1550329276,2168,2168
1550416342,2166,2166
1550503464,2171,2171
1550590580,2177,2177
1550677717,2176,2176
1550764876,2173,2173
1550851951,2171,2171
1550939084,2173,2173
1551026184,2150,2150
1551113564,2213,2213
1551200697,2203,2203
1551287793,2190,2190
1551375151,2226,2226
1551462262,2220,2220
1551550405,2175,2175
1551637468,2170,2170
1551724608,2156,2156
1551811699,2148,2148
1551898875,2101,2101
1551985935,2168,2168
1552073064,2187,2187
1552160176,2209,2209
1552247302,2211,2211
1552334503,2210,2210
1552421542,2216,2216
1552508668,2215,2215
1552595796,2218,2218
1552682895,2222,2222
1552813700,2230,2230
1552900850,2231,2231
1552987968,2252,2252
1553075061,2248,2248
1553162207,2242,2242
1553249326,2243,2243
1553336431,2248,2248
1553423541,2249,2249
1553510678,2245,2245
1553597770,2240,2240
1553684919,2190,2190
1553772039,2207,2207
1553859173,2225,2225
1553946274,780,780
1554033726,802,802
1554120747,826,826
1554207852,834,834
1554294978,841,841
1554382137,847,847
1554513161,853,853
1554600278,817,817
1554687372,848,848
1554774500,834,834
1554861660,825,825
1554948782,802,802
1555035854,783,783
1555122999,786,786
1555210102,792,792
1555297331,854,854
1555384336,842,842
1555471453,835,835
1555558570,829,829
1555645985,857,857
1555733340,859,859
1555820449,863,863
1555907571,863,863
1555994659,864,864
1556081812,925,925
1556168926,953,953
1556256020,972,972
1556343148,985,985
1556430273,1009,1009
1556517369,1019,1019
1556604742,1014,1014
1556691869,1004,1004
1556778970,1017,1017
1556866099,1025,1025
1556996911,1018,1018
1557084013,1036,1036
1557171143,1045,1045
1557258281,1050,1050
1557345368,1051,1051
1557432773,1052,1052
1557519864,2468,2468
1557606982,2465,2465
1557694116,2464,2464
1557781261,2460,2460
1557868347,2450,2450
1557955464,2435,2435
1558042577,2434,2434
1558129697,2438,2438
1558216853,2421,2421
1558304184,2418,2418
1558391303,2413,2413
1558479781,2415,2415
1558566979,2411,2411
1558654110,2399,2399
1558741210,2374,2374
1558828364,2345,2345
1558915541,2330,2330
1559002576,2267,2267
1559089713,2224,2224
1559176984,2204,2204
1559308373,2141,2141
1559395471,2133,2133
1559482570,2112,2112
1559569718,2092,2092
1559656944,1998,1998
1559743947,1891,1891
1559831094,1720,1720
1559918170,1695,1695
1560005304,1688,1688
1560092448,1684,1684
1560179534,1684,1684
1560266659,1685,1685
1560353801,1687,1687
1560440915,1684,1684
1560528049,1680,1680
1560615150,1311,1311
1560702254,1306,1306
1560789382,1305,1305
1560876501,1307,1307
1560963682,1305,1305
1561050744,1307,1307
1561137872,1306,1306
1561224998,1278,1278
1561312115,1272,1272
1561399231,1267,1267
1561486356,1258,1258
1561573450,1249,1249
1561660611,1252,1252
1561747691,1251,1251
1561878769,1253,1253
1561965860,1251,1251
1562052979,1251,1251
1562140095,1254,1254
1562227257,1251,1251
1562314333,1245,1245
1562401456,1242,1242
1562575968,1241,1241
1562663088,1240,1240
1562750189,1246,1246
1562837305,1235,1235
1562924430,1231,1231
1563011532,1228,1228
1563098675,1228,1228
1563185773,1229,1229
1563272887,1230,1230
1563360016,1227,1227
1563447154,1231,1231
1563534172,1232,1232
1563621394,1231,1231
1563708492,1228,1228
1563795610,1227,1227
1563882740,1227,1227
1563970133,1218,1218
1564057237,1222,1222
1564144361,1219,1219
1564231456,127,127
1564318588,131,131
1564405734,134,134
1564492843,143,143
1564579953,144,144
1564667081,146,146
1564754176,152,152
1564841322,158,158
1564928444,163,163
1565015536,167,167
1565102671,168,168
1565189786,161,161
1565276903,164,164
1565364035,160,160
1565451154,160,160
1565538282,161,161
1565625384,160,160
1565712539,163,163
1565799640,166,166
1565886752,170,170
1565973856,172,172
1566060990,170,170
1566148132,170,170
1566235243,172,172
1566322357,200,200
1566409468,223,223
1566496856,237,237
1566583953,233,233
1566671073,245,245
1566758185,258,258
1566845306,258,258
1566932511,254,254
1567019536,252,252
1567106681,246,246
1567193802,253,253
1567280893,264,264
1567411720,260,260
1567498869,270,270
1567585944,267,267
1567673060,271,271
1567760171,274,274
1567847303,273,273
1567934687,277,277
1568021782,279,279
1568108917,284,284
1568239731,284,284
1568326842,283,283
1568413952,285,285
1568501052,286,286
1568588170,285,285
1568675328,284,284
1568762451,291,291
1568849539,290,290
1568936656,269,269
1569023785,250,250
1569110917,252,252
1569198040,251,251
1569285148,239,239
1569372274,240,240
1569459372,240,240
1569546524,259,259
1569633626,260,260
1569720768,298,298
1569807876,285,285
1569894979,286,286
1569982115,287,287
1570069215,273,273
1570156361,276,276
1570243477,267,267
1570330634,270,270
1570417973,272,272
1570505085,261,261
1570592320,278,278
1570679539,277,277
1570766685,312,312
1570854032,317,317
1570941144,326,326
1571028265,361,361
1571115916,359,359
1571202984,362,362
1571290097,360,360
1571377465,356,356
1571464590,389,389
1571551727,388,388
1571638819,382,382
1571725938,377,377
1571813068,378,378
1571900199,379,379
1571987317,389,389
1572074682,387,387
1572162025,376,376
1572249177,376,376
1572336324,329,329
1572423409,329,329
1572510499,326,326
1572597612,326,326
1572684729,310,310
1572771890,311,311
1572859257,307,307
1572946453,307,307
1573033713,304,304
1573164523,288,288
1573251883,278,278
1573338986,280,280
1573426113,239,239
1573556931,225,225
1573644039,181,181
1573731140,176,176
1573818273,176,176
1573905393,176,176
1573992546,174,174
1574079642,131,131
1574166747,134,134
1574254115,130,130
1574341396,132,132
1574428837,132,132
1574515956,102,102
1574603068,98,98
1574690172,99,99
1574777338,98,98
1574864428,97,97
1574951556,98,98
1575038788,101,101
1575126052,100,100
1575213131,101,101
1575300503,109,109
1575387615,110,110
1575474747,114,114
1575562139,116,116
1575649471,121,121
1575736584,124,124
1575823949,123,123
1575911314,122,122
1575998422,127,127
1576085629,127,127
1576172655,131,131
1576259777,136,136
1576434032,138,138
1576521143,150,150
1576608255,153,153
1576695382,151,151
1576782753,150,150
1576869870,143,143
1576956990,145,145
1577044346,152,152
1577131472,155,155
1577218834,159,159
1577305951,161,161
1577393084,160,160
1577480183,166,166
1577567319,170,170
1577654411,170,170
1577741537,168,168
1577828666,164,164
1577916126,156,156
