DateTime,AddedIPs,RemovedIPs
1564176029,0,1
1564422026,1,0
1564423944,1,0
1564509208,0,1
1564518469,1,1
1564546442,1,0
1564604673,0,1
1564702114,0,1
1564734741,1,0
1564740522,1,0
1564742452,1,0
1564796912,1,0
1564822333,0,1
1564828111,0,1
1564831960,0,1
1564865798,1,0
1564915476,1,0
1564953381,0,1
1564968981,0,1
1565000008,0,1
1565034733,1,0
1565036657,1,0
1565042720,1,0
1565103401,1,0
1565105562,1,0
1565122818,0,2
1565130452,0,1
1565188819,0,1
1565190771,0,1
1565212575,1,0
1565222185,1,0
1565298755,0,1
1565306659,0,1
1565318430,1,0
1565347957,1,0
1565390698,1,0
1565406524,0,1
1565436048,0,1
1565463165,1,0
1565476817,0,1
1565544797,1,0
1565548842,0,1
1565554599,1,0
1565566097,1,0
1565632337,0,1
1565642419,0,1
1565650092,0,1
1565722861,1,0
1565742492,1,0
1565763893,1,0
1565767691,1,0
1565785711,1,0
1565799147,1,0
1565810893,0,1
1565820536,1,0
1565828413,0,1
1565857467,0,1
1565878600,1,0
1565886292,0,1
1565905739,0,1
1565919174,1,0
1565961661,1,0
1565965458,0,1
1566006015,0,1
1566027632,0,1
1566031494,0,1
1566096997,1,0
1566131570,0,1
1566181227,0,1
1566221295,1,0
1566232814,1,0
1566308526,0,1
1566318169,0,1
1566334359,1,0
1566397229,1,0
1566422197,0,1
1566435896,1,0
1566482952,0,1
1566521809,0,1
1566551150,1,0
1566636399,0,1
1566864137,1,0
1566949971,0,1
1567013676,1,0
1567094927,1,0
1567100660,0,1
1567108573,1,0
1567112510,1,0
1567116521,1,0
1567195495,0,1
1567203151,0,1
1567307072,0,1
1567358915,0,1
1567361321,1,0
1567442899,1,0
1567448654,0,1
1567452516,1,0
1567490927,1,0
1567506560,1,0
1567511795,1,0
1567528093,0,1
1567543737,0,1
1567577093,0,1
1567593414,0,1
1567625580,1,0
1567637088,1,0
1567710740,0,1
1567724228,0,1
1567813964,0,1
1567825000,1,0
1567919868,0,1
1567993480,1,0
1568094980,0,1
1568106984,1,0
1568139389,1,0
1568221269,0,1
1568285308,1,0
1568303319,0,1
1568361097,1,0
1568362944,1,0
1568373323,0,1
