DateTime,Entries,UniqueIPs
1577003294,169,169
1577005422,168,168
1577007368,168,168
1577009311,171,171
1577011221,171,171
1577013146,171,171
1577015086,171,171
1577016994,170,170
1577019141,175,175
1577021059,178,178
1577023019,178,178
1577025155,176,176
1577027316,171,171
1577029277,166,166
1577031156,165,165
1577033059,166,166
1577035014,170,170
1577036902,171,171
1577038818,169,169
1577040757,172,172
1577042662,171,171
1577044601,171,171
1577046499,173,173
1577048594,173,173
1577050813,178,178
1577052736,176,176
1577054672,170,170
1577056597,173,173
1577058487,167,167
1577060438,164,164
1577062342,164,164
1577064260,160,160
1577066195,159,159
1577068099,159,159
1577071246,159,159
1577073147,156,156
1577075053,154,154
1577077007,153,153
1577078891,152,152
1577080925,152,152
1577082762,148,148
1577084710,151,151
1577086817,148,148
1577088987,151,151
1577091139,151,151
1577093055,150,150
1577094997,150,150
1577096898,155,155
1577098935,155,155
1577100801,154,154
1577102928,151,151
1577104825,148,148
1577106739,146,146
1577108673,147,147
1577110589,150,150
1577112494,151,151
1577114444,154,154
1577116356,154,154
1577118256,153,153
1577120224,152,152
1577122141,148,148
1577125232,145,145
1577127164,145,145
1577129096,144,144
1577131006,145,145
1577132927,142,142
1577135047,137,137
1577136991,136,136
1577138942,137,137
1577140844,137,137
1577142769,134,134
1577144657,134,134
1577146599,137,137
1577148495,134,134
1577150415,137,137
1577152396,137,137
1577154255,138,138
1577156201,141,141
1577158346,144,144
1577160505,143,143
1577162422,148,148
1577164359,154,154
1577166437,155,155
1577168448,150,150
1577170345,146,146
1577172276,145,145
1577174167,147,147
1577176337,144,144
1577178506,142,142
1577180411,142,142
1577182365,139,139
1577184248,134,134
1577186181,141,141
1577188111,142,142
1577190035,145,145
1577192173,146,146
1577194340,145,145
1577196526,141,141
1577198411,146,146
1577200353,142,142
1577202254,144,144
1577204172,140,140
1577206093,141,141
1577208019,141,141
1577209931,147,147
1577211860,148,148
1577213800,149,149
1577215704,154,154
1577218835,158,158
1577220758,160,160
1577222658,160,160
1577224586,157,157
1577226507,153,153
1577228608,156,156
1577230592,159,159
1577232765,165,165
1577234650,164,164
1577236820,164,164
1577238731,167,167
1577240679,163,163
1577242575,162,162
1577244492,161,161
1577246527,160,160
1577248354,161,161
1577250499,157,157
1577252501,154,154
1577254580,151,151
1577256512,159,159
1577258428,161,161
1577260332,157,157
1577264185,162,162
1577266087,163,163
1577268142,160,160
1577269965,160,160
1577271894,153,153
1577274014,154,154
1577275933,153,153
1577277882,159,159
1577279783,159,159
1577281972,159,159
1577283855,160,160
1577285786,160,160
1577287688,160,160
1577291082,158,158
1577292975,160,160
1577295147,160,160
1577297090,154,154
1577299000,156,156
1577300905,151,151
1577302824,150,150
1577304774,150,150
1577306669,150,150
1577308931,149,149
1577310760,154,154
1577312718,165,165
1577314597,163,163
1577316501,161,161
1577318605,153,153
1577320823,151,151
1577322740,149,149
1577324669,151,151
1577326575,149,149
1577328511,152,152
1577330424,149,149
1577332340,150,150
1577334276,152,152
1577336177,148,148
1577338097,147,147
1577340295,151,151
1577342194,148,148
1577344125,150,150
1577346040,150,150
1577348207,149,149
1577350343,147,147
1577352260,146,146
1577354186,148,148
1577356105,152,152
1577358203,152,152
1577360429,147,147
1577362359,144,144
1577364263,137,137
1577366170,139,139
1577368111,141,141
1577370017,140,140
1577371933,142,142
1577373866,140,140
1577375771,144,144
1577377950,146,146
1577380108,144,144
1577382031,142,142
1577383938,144,144
1577385850,146,146
1577387792,143,143
1577389729,145,145
1577391610,146,146
1577393563,147,147
1577395460,149,149
1577397381,146,146
1577399297,141,141
1577402194,145,145
1577404090,140,140
1577406016,144,144
1577407932,142,142
1577409850,140,140
1577411771,143,143
1577413709,143,143
1577416830,143,143
1577418756,141,141
1577420654,135,135
1577422593,138,138
1577424492,141,141
1577426517,143,143
1577428363,140,140
1577430289,136,136
1577432175,137,137
1577434142,137,137
1577436019,133,133
1577437947,136,136
