DateTime,AddedIPs,RemovedIPs
1580691130,9,4
1580693070,0,11
1580694973,6,2
1580696894,1,1
1580699039,0,1
1580700985,1,0
1580704812,4,11
1580706750,22,32
1580708650,1,0
1580710575,11,8
1580712522,0,1
1580714413,1,0
1580718306,1,1
1580720170,0,1
1580722114,0,1
1580725210,1,0
1580732906,3,0
1580764356,1,1
1580766277,1,0
1580768178,2,0
1580772031,1,0
1580775870,5,5
1580777776,0,9
1580779708,6,0
1580781668,0,5
1580783591,0,1
1580785496,1,0
1580787501,0,1
1580789423,1,0
1580791474,8,13
1580793378,1,17
1580795314,1,1
1580797228,0,9
1580801057,0,1
1580804893,0,1
1580807838,1,0
1580811638,0,1
1580819855,0,3
1580844997,1,0
1580847172,2,0
1580850976,0,1
1580852908,0,1
1580854821,0,2
1580856730,0,1
1580862494,3,4
1580864553,0,2
1580866368,7,7
1580868504,0,1
1580872346,1,1
1580874256,0,1
1580878105,35,10
1580880014,1,1
1580881938,0,1
1580883863,12,0
1580885770,1,0
1580896335,1,0
1580900183,2,0
1580913868,1,0
1580930438,0,1
1580934495,0,2
1580948174,3,2
1580950105,10,2
1580952009,13,0
1580953930,5,7
1580955867,1,0
1580957768,1,0
1580959692,0,1
1580963801,9,6
1580965702,0,27
1580967610,0,1
1580969558,10,8
1580973373,1,1
1580975305,1,0
1580977214,1,0
1580979128,2,1
1580981071,0,1
1580986944,0,2
1580994743,1,0
1581022576,1,0
1581028591,1,0
1581030504,2,1
1581034354,5,2
1581036258,1,0
1581038187,0,11
1581040116,7,16
1581042015,0,1
1581043933,1,1
1581049695,7,8
1581052576,16,9
1581054506,5,10
1581056410,0,1
1581060272,1,1
1581064091,0,1
1581067213,0,2
1581077160,0,1
1581103006,5,0
1581104912,1,0
1581108733,0,1
1581110680,2,0
1581114493,0,1
1581116767,1,2
1581120514,3,5
1581122416,0,1
1581124350,5,0
1581126254,2,7
1581130133,1,1
1581135858,1,0
1581137782,19,21
1581139710,1,2
1581141688,2,6
1581143550,12,0
1581147615,0,1
1581149578,2,0
1581151470,1,0
1581155296,4,0
1581159142,2,0
1581162989,2,0
1581172812,1,0
1581174986,17,0
1581185775,8,0
1581187694,1,3
1581197290,1,2
1581201391,0,1
1581205216,1,0
1581207146,0,3
1581209071,3,0
1581210976,3,5
1581212924,0,1
1581214825,11,0
1581216729,7,0
1581220573,1,0
1581222508,0,1
1581224552,0,1
1581226595,24,1
1581228491,0,3
1581230410,12,3
1581232347,1,0
1581236171,0,2
1581238105,0,1
1581240006,1,0
1581241932,0,4
1581245772,0,1
1581249761,0,5
1581259454,0,1
1581261374,0,18
1581272889,0,8
1581274906,0,1
1581278601,1,0
1581284418,0,1
1581286337,1,0
1581290176,1,0
1581292117,1,1
1581294013,3,2
1581295932,2,1
1581297870,6,1
1581299787,7,11
1581303785,0,4
1581307703,1,1
1581311559,1,5
1581313455,0,18
1581317332,0,40
1581319213,0,1
1581323054,1,0
1581330992,0,1
1581340825,3,0
1581342735,2,0
1581366029,2,4
1581369877,1,0
1581373698,0,1
1581376809,0,2
1581379692,3,3
1581381616,0,1
1581383544,3,5
1581385452,6,10
1581387377,1,1
1581391215,1,0
1581393131,1,0
1581395066,0,1
1581396967,7,0
1581398886,0,1
1581402021,3,0
1581407779,2,0
1581409688,0,1
1581411750,0,1
1581417374,2,0
1581419315,2,0
1581427230,1,3
1581429132,0,2
1581452431,0,2
1581456251,0,1
1581460092,1,0
1581462169,1,0
1581466104,0,3
1581469931,8,1
1581471865,6,6
1581473771,0,1
1581477623,2,1
1581479531,0,1
1581483384,6,7
1581489149,0,3
1581492984,0,1
1581494910,0,1
1581498734,1,0
1581502576,1,2
1581506422,0,2
1581514090,0,1
1581544332,1,0
1581546284,1,1
1581550107,3,1
1581552985,2,0
1581554895,1,0
1581556809,6,7
1581558729,4,7
1581564638,1,2
1581570536,11,7
1581574670,5,0
1581588122,0,1
1581592103,2,0
1581611564,1,0
1581630734,0,1
1581632658,0,1
1581636495,0,3
1581638568,0,1
1581640646,7,2
1581642514,3,4
1581644414,4,6
1581650195,1,1
1581655932,4,8
1581660739,6,6
1581662659,1,0
1581664671,1,0
1581668422,5,0
1581672256,7,0
1581678999,9,2
1581682820,1,0
1581692522,27,0
1581694343,2,0
1581696505,5,0
1581698411,0,1
1581723369,1,0
1581725324,2,6
1581727214,0,3
1581729137,7,2
1581731071,2,2
1581733026,3,0
1581736824,0,2
1581742580,3,5
1581744493,0,1
1581747385,4,9
1581751212,3,1
1581755067,0,5
1581756971,0,2
1581758891,3,6
1581763952,0,1
1581765870,0,7
1581767783,0,1
1581778331,0,27
1581780287,0,1
1581782182,0,7
1581786213,1,0
1581788186,1,0
1581793946,1,0
1581803542,1,0
1581809289,0,1
1581812418,8,2
1581814328,6,4
1581816265,1,1
1581818170,1,1
1581820338,1,2
1581822502,1,0
1581826339,1,0
1581828291,6,3
1581832097,0,2
1581834024,8,2
1581835929,9,3
1581837866,5,0
1581844572,2,1
1581846495,0,2
1581848424,1,0
1581870505,1,0
1581873395,0,1
1581875606,0,1
1581891130,0,1
1581898825,0,8
1581900735,0,7
1581902675,0,1
1581904584,0,1
1581906493,0,1
1581909622,0,1
1581911535,1,0
1581913453,0,1
1581915406,2,9
1581919254,0,2
1581921149,0,2
1581928815,1,1
1581930768,6,1
1581934575,0,19
1581936497,0,1
1581938428,3,0
1581942254,9,0
1581944192,3,0
1581948202,3,0
1581952131,1,0
1581955966,0,1
1581959777,1,0
1581961719,1,0
1581963627,5,0
1581984972,10,0
1581988811,5,0
1581990764,6,0
1581992673,2,0
1581999377,0,1
1582001338,4,2
1582005129,1,0
1582007076,7,0
1582008970,3,0
1582010894,2,0
1582014742,2,1
1582018599,0,5
1582022418,2,0
1582024357,0,1
1582026255,0,2
1582028433,0,7
1582032278,0,3
1582034172,0,2
1582038209,2,1
1582044014,1,0
1582045952,0,1
1582047853,0,1
1582051721,0,5
1582053619,2,0
1582055535,5,0
1582064434,6,0
1582066390,1,0
1582070202,1,1
1582072152,2,8
1582074245,2,4
1582076189,4,6
1582078093,0,2
1582080013,1,0
1582081949,1,0
1582085791,1,0
1582087710,3,6
1582089612,1,0
1582091530,0,1
1582093469,3,8
1582095370,1,3
1582097290,0,3
