DateTime,AddedIPs,RemovedIPs
1558071164,0,1
1558093267,1,0
1558137574,1,0
1558181537,1,1
1558225258,1,0
1558291236,0,1
1558313087,1,0
1558356989,1,1
1558378883,0,1
1558467170,1,0
1558533372,1,0
1558555491,0,1
1558599612,0,1
1558665640,1,0
1558742931,0,2
1558764988,0,1
1558786832,0,1
1558830995,1,0
1558853082,2,0
1558874927,1,1
1558896977,0,1
1558929927,2,1
1558951791,1,0
1559063128,1,0
1559085167,0,3226
1559107257,0,2
1559239252,0,1
1559283176,2,3
1559305213,0,1
1559327080,1,0
1559349181,2,0
1559436999,0,1
1559459113,0,2
1559481384,0,1
1559503243,1,0
1559525314,0,2
1559547184,1,2
1559591088,0,1
1559656949,1,1
1559678930,1,0
1559701015,1,0
1559745136,1,0
1559855298,1,0
1559877374,0,1
1559921292,2,0
1559943136,1,2
1559965221,0,2
1560009377,1,56
1560031271,56,0
1560075374,1,0
1560141151,2,0
1560163209,2,1
1560185064,1,0
1560250876,2,0
1560272913,1,1
1560294978,63,0
1560316826,0,1
1560338673,3207,1
1560360745,0,1
1560470846,1,0
1560492738,2,0
1560558945,0,1
1560679713,1,0
1560701778,1,0
1560745708,0,1
1560833364,1,0
1560855381,0,1
1560877351,0,1
1560943260,0,3209
1560965295,1,0
1560987420,1,1
1561031582,0,1
1561086793,1,2
1561108851,1,1
1561130901,0,1
1561174812,1,0
1561196672,0,1
1561218777,1,0
1561251879,0,1
1561362046,1,0
1561428053,0,4
1561450096,1,0
1561471942,3,1
1561493786,0,1
1561537486,1,0
1561559564,0,2
1561603477,2477,1
1561625568,732,0
1561713881,1,0
1561758032,1,0
1561802201,0,1
1561846148,2,1
1561868447,2,0
1561978899,0,1
1562066942,0,1
1562089000,0,1
1562111063,1,0
1562133158,0,1
1562177296,1,0
1562221228,1,3209
1562287243,0,64
1562309311,1,0
1562331180,0,1
1562375344,1,1
1562441564,0,2
1562463616,0,1
1562485480,0,1
1562551713,2,0
1562595626,1,0
1562639556,1,0
1562661671,65,0
1562793869,0,1
1562815965,1,0
1562838046,0,1
1562904320,0,1
1562948412,0,2
1563014185,1,0
1563146463,1,1
1563256358,0,1
1563300522,0,1
1563432278,0,1
1563476194,1,1
1563498324,1,1
1563630739,0,1
1563652599,1,0
1563740674,1,0
1563806922,1,0
1563850967,0,64
1563895022,0,1
1563939136,0,1
1564038279,1,0
1564082959,0,1
1564104970,0,1
1564258365,0,1
1564280449,1,0
1564346211,0,1
1564390339,0,1
1564456339,0,1
1564544433,1,0
1564610107,1,1
1564786945,1,0
