DateTime,Entries,UniqueIPs
1581646340,866,866
1581648253,871,871
1581650196,882,882
1581652128,889,889
1581654038,895,895
1581655933,903,903
1581657889,903,903
1581660740,904,904
1581662662,911,911
1581664672,922,922
1581666496,925,925
1581668423,928,928
1581670354,933,933
1581672257,931,931
1581674186,920,920
1581676093,918,918
1581679001,884,884
1581680891,860,860
1581682823,858,858
1581684735,849,849
1581686657,837,837
1581688599,836,836
1581690507,830,830
1581692587,808,808
1581694577,798,798
1581696506,793,793
1581698412,794,794
1581700335,791,791
1581702267,784,784
1581704201,785,785
1581706094,787,787
1581708021,780,780
1581709931,781,781
1581711873,780,780
1581713786,774,774
1581715691,766,766
1581718581,770,770
1581720761,771,771
1581722655,762,762
1581724590,745,745
1581726496,696,696
1581728563,682,682
1581730582,674,674
1581732523,664,664
1581734415,660,660
1581736358,654,654
1581738260,658,658
1581740179,662,662
1581742125,653,653
1581744016,648,648
1581745932,641,641
1581747870,639,639
1581749778,632,632
1581751956,612,612
1581753914,586,586
1581755792,580,580
1581757706,579,579
1581759869,587,587
1581761798,592,592
1581763740,598,598
1581765618,615,615
1581767550,631,631
1581769471,633,633
1581771379,640,640
1581773298,639,639
1581775464,645,645
1581777387,642,642
1581779319,645,645
1581781242,645,645
1581783188,649,649
1581785061,662,662
1581786981,656,656
1581788917,657,657
1581790843,664,664
1581792746,653,653
1581794694,642,642
1581796594,637,637
1581798502,643,643
1581800667,634,634
1581802834,634,634
1581804983,635,635
1581806897,630,630
1581808810,633,633
1581810734,641,641
1581812668,644,644
1581814571,646,646
1581816492,642,642
1581818589,635,635
1581820586,627,627
1581822504,634,634
1581824438,631,631
1581826340,632,632
1581828293,632,632
1581830184,632,632
1581832097,629,629
1581834025,625,625
1581835931,622,622
1581837868,620,620
1581839785,609,609
1581841693,601,601
1581844822,589,589
1581846728,589,589
1581848650,604,604
1581850583,614,614
1581852488,648,648
1581854503,647,647
1581856354,631,631
1581858259,634,634
1581860174,641,641
1581862105,648,648
1581864012,670,670
1581865934,670,670
1581867887,676,676
1581869787,678,678
1581871691,673,673
1581873626,683,683
1581875608,700,700
1581877470,702,702
1581879395,712,712
1581881297,718,718
1581883487,721,721
1581885400,730,730
1581887322,749,749
1581889213,761,761
1581891131,762,762
1581893067,773,773
1581894983,774,774
1581896895,777,777
1581898826,784,784
1581900736,788,788
1581902676,798,798
1581904586,800,800
1581906496,805,805
1581908589,803,803
1581910576,797,797
1581912504,793,793
1581914416,792,792
1581916332,789,789
1581918274,790,790
1581920175,797,797
1581922099,802,802
1581924028,807,807
1581925957,810,810
1581927852,817,817
1581929788,815,815
1581931689,814,814
1581934578,791,791
1581936502,769,769
1581938430,736,736
1581940333,731,731
1581942259,728,728
1581944196,724,724
1581946095,727,727
1581948280,722,722
1581950173,712,712
1581952133,702,702
1581954022,709,709
1581955997,710,710
1581957871,705,705
1581959780,694,694
1581961721,688,688
1581963630,699,699
1581965535,703,703
1581967477,686,686
1581969396,678,678
1581971295,671,671
1581973477,648,648
1581975375,644,644
1581977350,634,634
1581979216,616,616
1581981140,602,602
1581983076,594,594
1581984975,582,582
1581986914,574,574
1581988815,568,568
1581990768,560,560
1581992675,1470,1470
1581994570,5661,5661
1581996500,6063,6063
1581999379,6065,6065
1582001341,6068,6068
1582003226,6080,6080
1582005131,6081,6081
1582007078,6092,6092
1582008972,6103,6103
1582010896,6120,6120
1582012977,6134,6134
1582014995,6152,6152
1582016900,6172,6172
1582018816,6186,6186
1582020756,6200,6200
1582022653,6207,6207
1582024572,6211,6211
1582026531,6208,6208
1582028436,6221,6221
1582030334,6232,6232
1582032280,6242,6242
1582034174,6252,6252
1582036093,6259,6259
1582038306,6252,6252
1582040193,6242,6242
1582042114,6245,6245
1582044018,6243,6243
1582045954,6258,6258
1582047857,6260,6260
1582049786,6253,6253
1582051724,6255,6255
1582053621,6262,6262
1582055538,6274,6274
1582057476,6283,6283
1582059377,6288,6288
1582061313,6302,6302
1582064437,6311,6311
1582066394,6321,6321
1582068273,6371,6371
1582070206,6382,6382
1582072155,6391,6391
1582074290,6398,6398
1582076192,6410,6410
1582078114,6428,6428
1582080016,3816,3816
1582081952,906,906
1582083861,917,917
1582085793,922,922
1582087712,925,925
1582089617,926,926
1582091532,928,928
1582093472,940,940
1582095383,949,949
1582097293,966,966
1582099390,977,977
1582101397,981,981
1582103309,985,985
1582105236,992,992
1582107142,993,993
1582109064,993,993
1582110982,1009,1009
1582112912,1027,1027
1582114829,1043,1043
1582116740,1061,1061
1582118672,1063,1063
1582120623,1065,1065
1582122532,1060,1060
1582124529,1066,1066
1582126353,1081,1081
1582128310,1082,1082
1582130180,1084,1084
1582132128,1085,1085
1582134022,1093,1093
1582135953,1091,1091
1582137869,1095,1095
1582139779,1098,1098
1582141708,1090,1090
1582143657,1085,1085
1582145531,1097,1097
1582147464,1096,1096
1582149387,1099,1099
1582151553,1095,1095
1582153540,1095,1095
1582155402,1088,1088
1582157321,1069,1069
1582159217,1059,1059
1582161150,1059,1059
1582163060,1049,1049
1582164990,1034,1034
1582166899,1016,1016
1582168817,1019,1019
1582170806,997,997
1582172657,998,998
