DateTime,AddedIPs,RemovedIPs
1571322096,4,2
1571344104,1,6
1571365960,1,24
1571388020,2,29
1571409871,1,2
1571431948,1,4
1571464967,51,8
1571486907,1,4
1571508764,0,3
1571530808,2,13
1571552657,3,11
1571574526,3,50
1571596588,0,6
1571618652,2,4
1571640515,0,2
1571662360,10,0
1571684208,4,0
1571706128,0,4
1571728116,2,4
1571750211,0,5
1571772263,2,2
1571794377,2,1
1571816416,4,5
1571838269,5,0
1571860110,0,4
1571882185,1,2
1571904196,20,3
1571926371,9,3
1571948429,0,1
1571970495,1,3
1571992360,3,5
1572014201,3,1
1572036288,2,1
1572058361,3,47
1572080494,0,2
1572102517,3,1
1572124957,1,0
1572147148,1,3
1572168990,3,2
1572202107,2,2
1572223954,9,4
1572246115,1,1
1572268388,2,8
1572290457,1,4
1572312752,1,0
1572334822,3,70
1572356665,0,1
1572378508,2,3
1572400361,4,4
1572422501,3,4
1572444754,7,9
1572466600,3,0
1572488653,4,1
1572510503,2,32
1572532603,4,3
1572554797,21,1
1572576754,4,1
1572598912,2,1
1572620915,1,4
1572643238,1,1
1572665090,2,1
1572687165,5,0
1572709230,3,2
1572753142,4,3
1572774984,2,2
1572796910,2,2
1572818924,2,1
1572841004,2,5
1572863129,4,2
1572885166,10,1
1572907347,9,1
1572929318,0,2
1572951167,3,0
1572984287,5,3
1573006346,0,3
1573028191,0,3
1573050268,37,3
1573072340,0,3
1573094212,0,3
1573116272,0,1
1573138342,1,2
1573160225,2,30
1573182315,4,3
1573204366,1,1
1573248503,3,1
1573270361,5,0
1573292528,5,6
1573314740,1,3
1573336581,3,3
1573358591,2,4
1573380540,3,3
1573402832,1,1
1573424674,5,2
1573446752,2,1
1573468604,3,4
1573490678,6,10
1573512530,3,7
1573534573,1,0
1573556539,0,1
1573578778,2,1
1573600853,1,1
1573622912,1,1
1573644761,5,38
1573666838,5,1
1573689029,5,1
1573710982,65,0
1573732968,5,1
1573754914,0,2
1573798828,1,0
1573820908,1,2
1573842757,1,3
1573864605,2,1
1573886662,0,2
1573908733,2,1
1573930577,0,9
1573952493,1,1
1573974490,2,1
1573996595,4,1
1574018662,0,3
1574040503,12,3
1574062358,2,2
1574084422,2,5
1574106515,12,3
1574128366,6,3
1574150466,1,1
1574172526,3,2
1574194375,14,0
1574216423,5,1
1574238514,1,4
1574260357,2,3
1574282208,2,5
1574304255,0,1
1574326120,2,7
1574348217,4,5
1574370153,5,0
1574392116,3,3
1574413966,1,1
1574436072,3,0
1574458353,1,2
1574480446,0,1
1574502768,3,1
1574524882,3,2
1574546911,1,0
1574569011,2,1
1574591077,1,0
1574612930,0,1
1574634985,5,11
1574656827,2,1
1574678920,3,2
1574701006,3,4
1574723144,4,10
1574745183,1,2
1574767233,3,2
1574789305,1,14
1574811149,2,3
1574833000,4,2
1574854851,2,2
1574876894,2,4
1574898738,2,8
1574920596,2,1
1574942563,2,4
1574964498,2,3
1574986366,0,4
1575008229,2,4
1575030283,2,2
1575052314,0,4
1575074482,1,0
1575096519,2,2
1575118585,2,2
1575140923,2,4
1575162974,5,3
1575185063,0,2
1575207161,8,0
1575229011,0,1
1575251057,8,3
1575273143,4,0
1575295018,1,2
1575316909,1,0
1575338927,1,4
1575361015,1,2
1575383085,9,0
1575405399,11,2
1575427474,5,1
1575449560,1,3
1575471796,2,1
1575516022,1,0
1575538092,4,6
1575559941,1,0
1575581801,1,4
1575603648,3,2
1575625705,4,2
1575647557,1,3
1575669747,2,0
1575691729,1,3
1575714033,1,3
1575736370,1,1
1575758698,1,4
1575780755,7,0
1575802600,2,8
1575824535,0,1
1575846534,2,0
1575868815,2,9
1575890676,2,4
1575912744,2,0
1575934840,10,1
1575957024,0,72
1575978891,6,3
1576000879,3,9
1576023169,1,9
1576045217,1,3
1576067073,3,3
1576089170,41,1
1576111215,2,1
1576133313,1,9
1576155392,13,3
1576188311,14,2
1576210376,7,1
1576232439,4,3
1576254512,1,2
1576276569,3,1
1576298413,0,1
1576320261,2,1
1576364189,2,1
1576386109,3,2
1576408107,2,4
1576430189,3,0
1576452032,3,2
1576473873,5,2
1576495961,4,2
1576518035,4,3
1576540097,1,10
1576562172,11,2
1576595309,4,1
1576617405,0,4
1576639248,1,3
1576661314,0,5
1576683171,2,26
1576727315,1,3
1576749433,2,1
1576771707,2,25
1576793548,4,9
1576815649,1,11
1576837952,4,1
1576860024,2,1
1576881875,4,1
1576903935,1,0
1576925825,3,1
1576947930,4,1
1576970021,1,2
1576992053,3,3
1577014109,8,0
1577036168,4,3
1577058019,6,3
1577079875,1,5
1577101931,8,3
1577123776,5,3
1577156742,2,10
1577178754,2,1
1577200811,0,5
1577222660,3,1
1577244739,69,2
1577266834,2,2
1577288686,0,4
1577310765,1,1
1577344128,4,3
1577366174,2,2
1577388270,2,4
1577410121,5,2
1577432177,1,1
1577454254,1,3
1577476104,3,0
1577498203,4,4
1577531090,3,4
1577553400,2,3
1577575451,1,1
1577597601,3,5
1577619681,3,10
1577641715,1,2
1577663792,0,3
1577685685,0,1
1577707718,1,6
1577729778,4,9
1577751622,1,2
1577773470,2,1
1577795567,0,3
1577817622,1,3
1577839699,1,1
1577861770,0,6
1577894704,1,2
1577916769,2,2
1577938829,4,1
1577960930,2,2
1577983246,0,3
1578005318,2,3
1578027164,3,66
1578049309,4,2
1578071329,2,1
1578093174,2,3
1578115212,5,3
1578137080,4,3
1578159143,2,1
1578181110,2,1
1578203066,1,4
1578224914,2,3
1578246986,1,1
1578268897,9,0
1578290902,5,0
1578312768,3,1
1578334833,3,6
1578356901,5,2
1578378778,69,3
1578400818,3,0
1578422673,6,1
1578444729,8,1
1578466588,5,0
1578521323,11,2
1578543635,12,2
1578565704,1,2
1578587547,4,0
1578609620,3,3
1578631476,2,1
1578653333,5,3
1578675401,0,1
1578697515,3,0
1578720079,2,1
1578742391,9,5
1578764420,1,7
1578786290,0,2
1578808349,2,2
1578830577,2,1
1578852769,1,1
1578874847,4,9
1578896896,2,3
1578918739,5,3
1578940617,3,3
1578962657,3,4
1578984817,0,62
1579007056,1,3
1579028924,0,6
1579051227,1,8
1579073080,5,5
1579095140,8,0
1579116991,2,3
1579139072,1,14
1579160945,2,6
1579182998,0,1
1579205120,6,7
1579227151,4,4
1579249213,5,5
1579271312,0,5
1579293170,2,2
1579315277,4,1
1579337308,3,2
1579359393,1,2
1579381337,2,1
1579403291,5,18
1579425155,2,3
1579447222,1,3
1579469315,3,2
1579491423,1,0
1579513456,1,2
1579535304,5,4
1579557157,4,4
1579579021,1,1
1579601135,4,2
1579623138,3,4
1579645219,1,1
1579667081,2,3
1579689168,1,6
1579711234,1,6
1579733290,7,3
1579755134,10,2
1579777389,10,2
1579799564,0,2
1579821622,1,1
1579843696,0,6
1579865568,2,4
1579887620,10,1
1579909695,7,3
1579931542,1,2
1579953396,4,2
1579975345,1,3
1579997322,3,4
1580019374,2,2
1580041254,1,2
1580063292,0,4
1580085194,4,1
1580107285,1,0
1580129542,2,6
1580151420,6,4
1580184498,1,2
1580206348,150,4
1580228194,3,3
1580250036,5,1
1580272095,2,2
1580293944,2,2
1580315790,3,0
1580337853,7,3
1580359711,1,10
1580381774,68,11
1580403905,5,2
1580425934,6,2
1580447777,6,1
1580469626,2,1
1580491765,9,10
1580513777,6,5
1580535631,3,1
1580557970,4,3
1580580093,9,0
1580602107,7,2
1580623993,1,2
1580646013,7,0
1580667970,3,1
1580689970,1,3
1580712017,3,0
1580734112,2,1
1580755964,1,4
1580778107,14,0
1580800116,5,2
1580822421,5,151
1580844267,6,4
1580866113,5,3
1580887971,1,2
1580910018,5,4
1580931870,2,2
1580953931,3,2
1580976291,5,27
