DateTime,AddedIPs,RemovedIPs
1581386895,3,0
1581388815,1,3
1581390792,1,2
1581392671,6,1
1581394825,1,3
1581396754,2,4
1581398677,4,0
1581400577,0,2
1581402519,1,2
1581404568,1,3
1581406585,0,8
1581408503,2,1
1581410417,1,3
1581412336,2,1
1581414266,4,3
1581416177,1,0
1581418392,3,3
1581420329,1,3
1581422185,1,0
1581424093,1,2
1581427232,3,7
1581429135,2,2
1581431055,1,1
1581432992,3,0
1581434893,1,2
1581437042,0,3
1581439002,3,5
1581440912,1,1
1581442818,4,2
1581444734,2,2
1581446672,3,5
1581448588,3,0
1581450499,1,1
1581452433,3,1
1581454332,0,3
1581456253,1,0
1581458193,2,2
1581460094,3,2
1581462272,1,1
1581464175,0,3
1581466106,3,1
1581468012,0,1
1581469933,3,2
1581471867,1,4
1581473773,2,1
1581475705,1,1
1581477626,3,2
1581479533,1,5
1581481461,2,2
1581483388,1,1
1581485291,4,4
1581488199,4,1
1581490092,0,1
1581492027,1,0
1581493951,2,0
1581495854,5,2
1581497785,2,2
1581499688,0,3
1581501719,4,2
1581503548,1,3
1581505475,3,2
1581507394,2,1
1581509315,2,1
1581511217,3,1
1581513165,1,2
1581515066,1,1
1581516974,1,2
1581518913,5,3
1581520809,2,1
1581524653,1,3
1581526586,3,0
1581528490,1,3
1581530499,3,2
1581532355,3,5
1581534204,1,1
1581536186,2,3
1581538100,3,1
1581540014,3,2
1581541935,3,1
1581543853,1,1
1581545806,2,4
1581549615,2,1
1581551534,2,3
1581553457,2,0
1581555372,1,2
1581557290,1,2
1581559310,2,1
1581561150,4,2
1581563424,3,2
1581565244,3,2
1581567240,1,1
1581569088,1,1
1581570993,3,2
1581572892,2,5
1581575064,4,2
1581576971,2,0
1581578893,0,1
1581580979,1,3
1581583067,0,4
1581584897,2,2
1581586829,1,1
1581588734,2,3
1581590655,2,1
1581592575,1,4
1581594492,5,1
1581596429,0,5
1581598339,1,0
1581600271,1,1
1581602174,3,1
1581604090,2,3
1581606109,3,4
1581607938,0,1
1581610105,3,0
1581612013,0,2
1581613957,1,2
1581615854,1,2
1581617774,0,4
1581619714,1,1
1581621612,3,2
1581623530,2,2
1581625452,1,3
1581627370,0,3
1581629290,0,2
1581631337,0,3
1581635324,0,2
1581637215,0,2
1581639143,0,1
1581641050,0,2
1581642993,0,1
1581644894,1,1
1581646809,1,5
1581650654,1,4
1581652574,0,3
1581656540,0,4
1581658359,0,2
1581660280,0,3
1581662185,0,2
1581664098,0,1
1581666024,0,1
1581667933,1,0
1581669859,1,0
1581671830,0,2
1581673697,2,2
1581675611,2,2
1581677531,1,1
1581679481,2,2
1581681386,2,4
1581683290,2,0
1581685342,10,1
1581687370,2,1
1581689299,1,4
1581691291,2,2
1581693405,0,2
1581695304,4,3
1581699150,1,1
1581701070,0,1
1581704897,3,0
1581706996,7,1
1581708981,4,3
1581710940,2,2
1581712820,0,1
1581714742,1,0
1581716671,3,0
1581718581,2,0
1581720762,3,0
1581722656,4,0
1581724591,1,0
1581726496,6,0
1581728573,2,0
1581730582,0,1
1581732523,3,1
1581734415,1,0
1581736358,1,1
1581738260,2,0
1581740179,2,0
1581744016,3,0
1581745933,3,0
1581747871,2,0
1581749778,2,0
1581751956,2,0
1581753914,2,0
1581755792,2,2
1581757708,4,0
1581759870,1,2
1581761798,4,2
1581763740,3,1
1581765618,2,2
1581767550,4,2
1581769471,1,2
1581771379,2,10
1581773299,1,2
1581775471,3,1
1581777387,1,2
1581781243,1,4
1581783188,1,0
1581785061,2,1
1581786981,5,0
1581788917,1,0
1581790843,0,1
1581792746,1,6
1581794694,2,6
1581796594,1,2
1581798502,2,1
1581800685,3,1
1581802834,2,3
1581804983,2,2
1581806897,0,2
1581808810,3,5
1581810734,1,1
1581812669,1,5
1581814572,2,3
1581818600,0,1
1581820586,3,3
1581822505,0,1
1581824438,0,1
1581826340,0,3
1581828293,1,0
1581830184,2,3
1581832098,2,2
1581834025,3,3
1581835932,0,2
1581837868,1,1
1581839785,2,2
1581841693,1,2
1581844823,8,5
1581846729,0,1
1581848650,3,5
1581850583,0,3
1581852488,2,3
1581855623,0,2
1581857558,0,2
1581859468,1,1
1581861384,1,2
1581863291,0,2
1581865270,1,0
1581867150,1,1
1581869080,0,1
1581870973,0,1
1581872916,1,5
1581874818,0,1
1581876732,0,1
1581878674,1,0
1581880575,1,3
1581882496,0,1
1581884424,1,2
1581886334,1,2
1581888257,3,2
1581890187,2,1
