DateTime,AddedIPs,RemovedIPs
1581650654,104,100
1581653542,195,124
1581655455,125,102
1581657375,147,67
1581659302,158,89
1581661248,105,113
1581663130,165,91
1581665065,186,73
1581666973,191,87
1581668889,194,118
1581670974,176,150
1581672971,242,135
1581674927,195,129
1581676813,131,131
1581678758,168,143
1581680657,172,129
1581682600,211,134
1581684491,179,106
1581686437,211,118
1581688360,232,114
1581690260,184,153
1581692178,172,164
1581694103,170,186
1581696109,169,132
1581697947,153,161
1581700109,187,192
1581702017,196,204
1581703937,160,122
1581705871,183,154
1581707784,127,143
1581709701,166,142
1581711638,182,160
1581713554,212,182
1581715452,213,140
1581717389,213,139
1581719299,164,123
1581721432,205,120
1581723371,187,130
1581725325,178,130
1581727223,169,150
1581729138,187,162
1581731072,192,108
1581733028,157,106
1581734901,165,135
1581736825,150,95
1581738734,137,116
1581741635,252,180
1581743579,175,117
1581745456,173,149
1581747386,152,95
1581749310,178,137
1581751222,182,197
1581753134,171,177
1581755068,153,163
1581756972,120,154
1581758900,132,209
1581760948,97,212
1581762984,147,159
1581764898,129,158
1581766812,107,171
1581768755,119,199
1581770658,107,174
1581772592,103,223
1581774511,141,230
1581776418,101,209
1581778332,103,174
1581780313,105,169
1581782192,92,190
1581784106,121,184
1581787211,187,291
1581789127,97,204
1581791069,143,194
1581792968,133,191
1581794893,112,174
1581796903,102,177
1581798735,83,203
1581800706,110,206
1581802843,137,291
1581804984,129,245
1581806898,102,198
1581808810,119,208
1581810742,111,168
1581812669,141,190
1581814581,98,191
1581816492,123,204
1581818608,150,215
1581820594,108,205
1581822514,90,239
1581824439,93,187
1581826341,102,195
1581828301,122,224
1581830185,121,209
1581832098,406,196
1581834026,691,205
1581835939,2801,240
1581837869,1293,239
1581839786,1760,279
1581841694,1368,168
1581843709,1760,113
1581845553,1618,125
1581847434,1724,77
1581849379,1852,135
1581851321,1537,117
1581853216,2152,93
1581855140,1445,105
1581857106,1714,104
1581858978,1644,104
1581860908,1730,138
1581862828,1489,106
1581864745,1773,92
1581866658,1643,105
1581868597,2181,97
1581870508,1942,135
1581872521,941,139
1581874370,81,79
