DateTime,Entries,UniqueIPs
1538863737,4215,4215
1538950840,4205,4205
1539037957,4197,4197
1539125096,4188,4188
1539212182,4241,4241
1539299309,4108,4108
1539386449,3980,3980
1539473581,3967,3967
1539560692,3938,3938
1539647783,3881,3881
1539734938,3835,3835
1539822036,3537,3537
1539909150,3508,3508
1539996524,3433,3433
1540083886,3368,3368
1540170995,3356,3356
1540258367,3322,3322
1540345514,3329,3329
1540432909,3344,3344
1540520203,3345,3345
1540607299,2298,2298
1540694428,2291,2291
1540781559,2302,2302
1540868699,2311,2311
1540956043,2331,2331
1541043401,2595,2595
1541130504,2582,2582
1541217669,2703,2703
1541305006,2702,2702
1541392381,2697,2697
1541479730,3602,3602
1541567151,3612,3612
1541654202,3611,3611
1541741331,3621,3621
1541828659,3505,3505
1541915817,3502,3502
1542003179,3513,3513
1542090285,3519,3519
1542177417,3532,3532
1542264739,3538,3538
1542352218,3525,3525
1542439227,3503,3503
1542526348,3483,3483
1542613476,3463,3463
1542700606,3471,3471
1542787727,3495,3495
1542874828,3482,3482
1542961956,3480,3480
1543049070,3448,3448
1543136183,3449,3449
1543223327,3203,3203
1543310703,3204,3204
1543397817,3204,3204
1543484896,3183,3183
1543572299,3177,3177
1543659645,3153,3153
1543746757,3142,3142
1543833883,3078,3078
1543921028,3075,3075
1544008132,3061,3061
1544095500,3072,3072
1544182832,3171,3171
1544270242,3175,3175
1544357319,3187,3187
1544444457,3191,3191
1544531813,3221,3221
1544619254,3208,3208
1544706292,3233,3233
1544793410,3241,3241
1544880750,3245,3245
1544967869,3236,3236
1545055013,3237,3237
1545142121,3290,3290
1545229290,3292,3292
1545316374,5303,5303
1545403482,5281,5281
1545490619,5284,5284
1545577725,5281,5281
1545664862,5280,5280
1545751980,5288,5288
1545839078,5284,5284
1545970396,5279,5279
1546057461,5242,5242
1546144577,5239,5239
1546231945,5234,5234
1546319067,5233,5233
1546406211,5241,5241
1546493312,5239,5239
1546580688,5226,5226
1546667787,5199,5199
1546754912,5191,5191
1546842074,5010,5010
1546929157,5075,5075
1547016276,5136,5136
1547103413,5143,5143
1547191038,5178,5178
1547278131,5202,5202
1547365243,5207,5207
1547452655,5235,5235
1547539719,5233,5233
1547627110,5237,5237
1547714185,5187,5187
1547801596,5182,5182
1547888731,3146,3146
1547975787,3147,3147
1548062900,3129,3129
1548150019,3121,3121
1548237317,3111,3111
1548324771,3110,3110
1548411888,3117,3117
1548499249,3109,3109
1548586379,3100,3100
1548673741,3095,3095
1548760840,3091,3091
1548847965,3080,3080
1548935056,3081,3081
1549022201,3084,3084
1549109551,3066,3066
1549196685,2952,2952
1549283797,2940,2940
1549370930,2942,2942
1549458097,2949,2949
1549545146,2921,2921
1549632279,2871,2871
1549719396,2848,2848
1549806519,2809,2809
1549893698,2550,2550
1549980739,1812,1812
1550067903,1800,1800
1550155007,1798,1798
1550242099,1800,1800
1550329304,2052,2052
1550416347,2052,2052
1550503476,2057,2057
1550590591,2059,2059
1550677727,2061,2061
1550764891,2069,2069
1550851963,2185,2185
1550939089,2327,2327
1551026189,2404,2404
1551113571,2517,2517
1551200710,2539,2539
1551287803,2548,2548
1551375170,2559,2559
1551462265,2575,2575
1551550416,2574,2574
1551637476,2588,2588
1551724612,2585,2585
1551811711,2582,2582
1551898923,2579,2579
1551985939,2579,2579
1552073102,2534,2534
1552160179,2522,2522
1552247306,2514,2514
1552334524,2505,2505
1552421545,2502,2502
1552508675,2483,2483
1552595801,2481,2481
1552682904,2476,2476
1552813711,2476,2476
1552900863,2470,2470
1552987979,3273,3273
1553075071,3273,3273
1553162254,3281,3281
1553249331,3286,3286
1553336456,3285,3285
1553423546,3274,3274
1553510689,3153,3153
1553597774,3069,3069
1553684922,4937,4937
1553772050,4863,4863
1553859178,4864,4864
1553946285,4670,4670
1554033760,4656,4656
1554120988,4628,4628
1554208135,4611,4611
1554295238,4618,4618
1554382335,4762,4762
1554469494,4850,4850
1554556595,4866,4866
1554643718,4870,4870
1554730836,4902,4902
1554817946,4908,4908
1554905332,4930,4930
1554992360,4932,4932
1555079546,4936,4936
1555166680,4939,4939
1555253809,4937,4937
1555340914,4935,4935
1555428042,4939,4939
1555515149,4935,4935
1555602287,4930,4930
1555689404,4924,4924
1555776514,4920,4920
1555863643,4916,4916
1555950759,4904,4904
1556037856,4886,4886
1556125005,4883,4883
1556212273,4882,4882
1556299455,2825,2825
1556386582,2802,2802
1556473699,2792,2792
1556560937,2748,2748
1556648207,2751,2751
1556735309,2742,2742
1556822427,2733,2733
1556909567,2693,2693
1556996686,2265,2265
1557083798,2229,2229
1557170924,2217,2217
1557258020,2208,2208
1557345143,1411,1411
1557432312,1376,1376
1557519382,1631,1631
1557606495,1628,1628
1557693624,1631,1631
1557780742,1581,1581
1557868143,1580,1580
1557955208,1604,1604
1558042368,1631,1631
1558129461,1659,1659
1558216584,1678,1678
1558303729,1738,1738
1558390832,1814,1814
1558477962,1923,1923
1558565071,1959,1959
1558652187,2017,2017
1558739318,2064,2064
1558826431,2091,2091
1558913585,2120,2120
1559000686,2136,2136
1559087769,2183,2183
1559174964,2211,2211
1559262029,2213,2213
1559349183,2300,2300
1559436284,2302,2302
1559523387,2309,2309
1559610543,2318,2318
1559697653,2329,2329
1559784742,2339,2339
1559871871,2338,2338
1559958984,2342,2342
1560046118,2349,2349
1560133259,2358,2358
1560220348,2349,2349
1560307482,2353,2353
1560394600,2350,2350
1560481708,2348,2348
1560568824,2336,2336
1560655961,2337,2337
1560743084,2329,2329
1560830200,3700,3700
1560917321,4428,4428
1561004440,4406,4406
1561091539,4390,4390
1561178675,4410,4410
1561265802,4432,4432
1561352937,4449,4449
1561440016,4469,4469
1561527170,4486,4486
1561614290,4502,4502
1561701399,4505,4505
1561788495,4512,4512
1561875658,4511,4511
1561962795,4436,4436
1562049865,4439,4439
1562137012,4436,4436
1562224116,4450,4450
1562311248,4466,4466
1562398367,4462,4462
1562485481,4473,4473
1562572609,4465,4465
1562659740,4459,4459
1562746842,4469,4469
1562833978,4465,4465
1562921082,4451,4451
1563008188,4476,4476
1563095331,4499,4499
1563182440,4517,4517
1563269561,4517,4517
1563356670,4512,4512
1563443812,4497,4497
1563530938,4491,4491
1563618055,4593,4593
1563705175,4623,4623
1563792286,2759,2759
1563879398,2762,2762
1563966526,2740,2740
1564053617,2714,2714
1564140744,2700,2700
1564227876,2430,2430
1564314990,2418,2418
1564402136,2436,2436
1564489207,2425,2425
1564576369,2421,2421
1564663488,2417,2417
1564750602,2215,2215
1564837723,2207,2207
1564924827,2189,2189
1565011952,2178,2178
1565099074,2179,2179
1565186197,2170,2170
1565273313,2156,2156
1565360434,2132,2132
1565447545,2116,2116
1565534679,2105,2105
1565621790,2084,2084
1565708928,2049,2049
1565796043,2030,2030
1565883144,2018,2018
1565970268,2026,2026
1566057388,2097,2097
1566144516,2081,2081
1566231621,1943,1943
1566318740,1935,1935
1566405887,1930,1930
1566493001,1923,1923
1566580343,1907,1907
1566667474,1910,1910
1566754584,1896,1896
1566841730,1894,1894
1566929126,1868,1868
1567016209,1842,1842
1567103298,1833,1833
1567190437,1808,1808
1567277538,1789,1789
1567364710,1779,1779
1567451781,1774,1774
1567539163,1769,1769
1567626515,1772,1772
1567713675,1769,1769
1567800770,1882,1882
1567887878,1884,1884
1567975250,1884,1884
1568062345,1885,1885
1568149546,1891,1891
1568236608,1891,1891
1568323978,1900,1900
1568411065,1901,1901
1568498211,1897,1897
1568585584,1893,1893
1568672676,1884,1884
1568759842,1898,1898
1568846911,1890,1890
1568934222,1885,1885
1569021383,1883,1883
1569108516,1882,1882
1569195872,1877,1877
1569326910,1891,1891
1569414101,1885,1885
1569501178,1893,1893
1569588283,1895,1895
1569675521,1899,1899
1569762899,1973,1973
1569850086,1970,1970
1569937113,1980,1980
1570024234,2031,2031
1570111426,2132,2132
1570198729,2122,2122
1570286076,2120,2120
1570373179,2119,2119
1570460307,2145,2145
1570547669,2153,2153
1570634975,2163,2163
1570722156,2157,2157
1570809264,2154,2154
1570896677,2137,2137
1570983801,2134,2134
1571071347,2144,2144
1571158465,2160,2160
1571245517,2168,2168
1571332580,2169,2169
1571419696,2197,2197
1571506816,2216,2216
1571594199,2210,2210
1571681323,2210,2210
1571768454,2213,2213
1571855540,2251,2251
1571942661,2261,2261
1572029792,2188,2188
1572117161,2190,2190
1572204278,2182,2182
1572291419,2114,2114
1572378509,2107,2107
1572509315,2117,2117
1572596455,2112,2112
1572683564,2051,2051
1572770662,2052,2052
1572857807,2061,2061
1572944938,2102,2102
1573032283,2152,2152
1573119410,2156,2156
1573206502,2141,2141
1573293778,2164,2164
1573381009,2170,2170
1573468100,2174,2174
1573555482,2173,2173
1573642943,2173,2173
1573729971,2171,2171
1573817073,2162,2162
1573904449,2175,2175
1573991538,2187,2187
1574078919,2171,2171
1574166032,2178,2178
1574253183,2178,2178
1574340269,2182,2182
1574427416,2167,2167
1574514523,2148,2148
1574601665,2142,2142
1574689013,2142,2142
1574776108,2142,2142
1574863342,2149,2149
1574950379,2142,2142
1575037501,2136,2136
1575124597,2134,2134
1575211972,2128,2128
1575299124,2124,2124
1575386186,2126,2126
1575473579,2116,2116
1575560656,2066,2066
1575647769,2042,2042
1575735163,1984,1984
1575822260,1931,1931
1575909641,1921,1921
1575996730,1919,1919
1576084676,1886,1886
1576171961,1871,1871
1576259066,1858,1858
1576346181,1850,1850
1576433313,1849,1849
1576520692,1772,1772
1576607794,1666,1666
1576694904,1670,1670
1576782099,1678,1678
1576869168,1688,1688
1576956282,1680,1680
1577043617,1680,1680
1577130740,1684,1684
1577217868,1684,1684
1577304981,1683,1683
1577392090,1681,1681
1577479214,1666,1666
1577566336,1663,1663
1577653826,1650,1650
1577741060,1641,1641
1577828435,1635,1635
1577915572,1631,1631
1578002915,1640,1640
1578090018,1635,1635
1578177185,1646,1646
1578264252,1649,1649
1578351372,1663,1663
1578438569,1669,1669
1578525610,1690,1690
1578612747,1686,1686
1578699869,1702,1702
1578787259,1707,1707
1578874377,1717,1717
1578961470,1715,1715
1579048595,2069,2069
1579135706,2103,2103
1579266751,2110,2110
1579353849,2113,2113
1579440995,2120,2120
1579528097,2128,2128
1579615278,2126,2126
1579702346,2124,2124
1579789487,2118,2118
1579876602,2131,2131
1579963715,2139,2139
1580050940,2138,2138
1580138197,2143,2143
1580225292,2140,2140
1580312417,2130,2130
1580399532,2123,2123
1580486744,2129,2129
1580573784,2128,2128
1580660894,2118,2118
1580748018,2107,2107
1580835143,2095,2095
1580922363,2087,2087
1581009385,2088,2088
1581096491,2081,2081
1581183613,2071,2071
1581270731,2055,2055
1581357889,2041,2041
1581444979,2038,2038
1581532094,2034,2034
1581619224,2058,2058
1581706336,2139,2139
1581793507,2146,2146
1581880576,2147,2147
1581967691,2139,2139
1582054817,2138,2138
1582141931,2137,2137
1582229049,2145,2145
1582316178,2151,2151
1582403290,2153,2153
