DateTime,AddedIPs,RemovedIPs
1580681576,0,1
1580683462,0,1
1580689229,1,10
1580691133,9,4
1580693073,0,11
1580694976,6,2
1580696897,1,1
1580699197,0,1
1580701223,1,0
1580705053,9,35
1580706974,17,8
1580708917,1,0
1580710824,11,8
1580712750,0,1
1580714666,1,0
1580718493,1,1
1580720562,0,2
1580726423,1,0
1580734113,3,0
1580763390,0,1
1580765305,1,0
1580767478,2,0
1580769390,1,0
1580771309,1,0
1580775173,5,3
1580777059,0,1
1580778980,0,9
1580781026,6,5
1580782893,0,1
1580784840,1,0
1580788601,1,1
1580792660,8,30
1580794594,1,1
1580796508,1,9
1580800437,0,1
1580804175,0,1
1580807841,1,0
1580811641,0,1
1580819858,0,3
1580844999,1,0
1580847173,2,0
1580850978,0,1
1580852911,0,1
1580854826,0,2
1580856734,0,1
1580862557,3,5
1580864663,0,2
1580866596,7,8
1580872348,1,1
1580874259,0,1
1580878107,35,10
1580880017,1,1
1580881941,0,1
1580883869,12,0
1580885773,1,0
1580895380,1,0
1580899214,1,0
1580901157,1,0
1580912655,1,0
1580929834,0,1
1580933851,0,2
1580947962,3,1
1580949858,0,2
1580951773,12,0
1580953710,16,7
1580955608,1,0
1580957554,1,0
1580959465,0,1
1580963291,4,0
1580966438,5,34
1580968345,9,0
1580970282,1,8
1580972178,0,1
1580974093,2,0
1580978195,2,0
1580980116,1,1
1580982060,0,1
1580985859,0,2
1580995809,1,0
1581023354,1,0
1581029059,1,0
1581030982,2,1
1581034816,6,2
1581036735,0,10
1581038670,6,15
1581040594,1,2
1581042526,0,1
1581044691,1,1
1581050420,21,17
1581052354,1,0
1581054259,3,7
1581056180,3,4
1581060054,0,1
1581061943,1,0
1581063882,0,1
1581065783,0,2
1581075622,0,1
1581101088,5,0
1581104915,1,0
1581108736,0,1
1581110683,2,0
1581114495,0,1
1581116812,1,2
1581120749,3,5
1581122677,0,1
1581124576,4,0
1581126509,2,7
1581128411,1,0
1581130329,0,1
1581136105,1,7
1581139222,20,16
1581141127,2,6
1581143052,12,0
1581147150,0,1
1581149142,1,0
1581150972,2,0
1581154812,4,0
1581158668,2,0
1581162503,2,0
1581174151,1,0
1581176170,17,0
1581185775,8,0
1581187695,1,3
1581197292,1,2
1581201392,0,1
1581205218,1,0
1581207148,0,3
1581209073,3,0
1581210977,3,4
1581212925,0,1
1581214827,11,0
1581216731,7,0
1581220575,1,0
1581222510,0,1
1581224635,0,1
1581226596,24,1
1581228493,0,3
1581230411,12,3
1581232348,1,0
1581236173,0,2
1581238107,0,1
1581240007,1,0
1581241934,0,4
1581245774,0,1
1581249843,0,5
1581259455,0,1
1581261376,0,18
1581272890,0,8
1581274966,0,1
1581279054,1,0
1581284897,0,1
1581290665,2,1
1581294493,3,2
1581296640,4,1
1581298603,9,1
1581300503,2,11
1581302416,0,4
1581306259,0,1
1581308430,1,0
1581312275,1,22
1581314181,0,1
1581316098,0,1
1581318167,0,40
1581324042,1,0
1581329778,0,1
1581341295,3,0
1581344177,2,0
1581365593,0,4
1581367479,2,0
1581369409,1,0
1581377095,0,2
1581380919,3,3
1581383143,3,6
1581384988,5,9
1581386896,2,2
1581390793,1,0
1581394834,0,1
1581396755,7,0
1581398678,0,1
1581402520,3,0
1581406586,1,0
1581408504,1,0
1581410418,0,1
1581412337,0,1
1581416178,2,0
1581420329,2,0
1581427233,1,3
1581429135,0,2
1581452434,0,2
1581456254,0,1
1581460095,1,0
1581466107,0,3
1581469934,8,1
1581471868,6,6
1581473774,0,1
1581477627,2,1
1581483397,6,7
1581488200,0,3
1581493952,0,2
1581497786,1,0
1581501737,1,0
1581503549,0,2
1581505510,0,2
1581513166,0,1
1581544131,1,0
1581546013,1,0
1581547931,0,1
1581549875,3,0
1581553693,3,0
1581556572,6,7
1581558502,4,7
1581564280,1,2
1581570540,11,7
1581574672,5,0
1581588173,0,1
1581592104,2,0
1581611567,1,0
1581630736,0,1
1581632660,0,1
1581636497,0,3
1581638646,0,1
1581640649,7,2
1581642558,3,4
1581644417,4,6
1581650197,1,1
1581655933,4,8
1581660740,6,6
1581662663,1,0
1581664672,1,0
1581668424,5,0
1581672258,7,0
1581679001,9,2
1581682823,1,0
1581692603,27,0
1581694577,4,0
1581696506,3,0
1581698413,0,1
1581723371,1,0
1581725326,2,6
1581727223,0,3
1581729139,7,2
1581731072,2,2
1581733028,3,0
1581736826,0,2
1581742581,3,5
1581744494,0,1
1581746461,3,1
1581748363,1,8
1581750501,3,0
1581752439,0,1
1581756256,0,5
1581758187,1,8
1581760110,2,0
1581763952,0,1
1581765871,0,7
1581767784,0,1
1581778333,0,27
1581780313,0,1
1581782193,0,7
1581787211,1,0
1581789128,1,0
1581794894,1,0
1581804984,1,0
1581808811,0,1
1581812670,7,2
1581814581,6,5
1581816493,1,1
1581818624,1,1
1581820594,1,2
1581822515,1,0
1581826341,1,0
1581828301,6,3
1581832099,0,2
1581834026,8,2
1581835940,11,3
1581837869,3,0
1581843750,1,1
1581845553,1,2
1581849379,1,0
1581870508,1,0
1581873626,0,1
1581875608,0,1
1581891132,0,1
1581898826,0,6
1581900736,0,7
1581902676,0,1
1581904586,0,1
1581906497,0,1
1581908646,0,1
1581910576,1,0
1581912505,0,1
1581914417,0,9
1581916333,2,0
1581920197,0,3
1581922100,0,1
1581929788,2,1
1581931690,5,1
1581935547,0,20
1581939615,3,0
1581941542,9,0
1581945385,3,0
1581947569,3,0
1581953293,1,0
1581956417,0,1
1581960279,1,0
1581962184,1,0
1581964093,5,0
1581983827,1,0
1581985695,8,0
1581987714,5,0
1581989534,6,0
1581991489,1,0
1581993398,1,0
1581997454,0,1
1582001343,4,2
1582005132,1,0
1582007079,7,0
1582008973,3,0
1582010897,2,0
1582014996,2,1
1582018817,0,5
1582022654,2,0
1582024573,0,3
1582028437,0,7
1582032281,0,3
1582034175,0,2
1582038307,2,1
1582044019,1,0
1582045955,0,1
1582047858,0,1
1582051725,0,5
1582053622,2,0
1582055546,5,0
1582064438,6,0
1582066395,1,0
1582070224,1,1
1582072156,2,7
1582074342,2,4
1582076193,4,6
1582078116,0,2
1582080017,1,0
1582081953,1,0
1582085794,1,0
1582087714,4,6
1582091534,0,1
1582093473,3,8
1582095384,1,3
1582097294,0,3
1582099392,2,0
1582101398,0,2
1582103310,0,1
1582109065,0,2
1582110984,1,0
1582124565,5,2
1582130412,2,1
1582140043,5,2
1582141931,0,5
1582145786,1,0
1582149625,0,5
1582151555,1,1
1582153544,1,1
1582157323,6,1
1582159219,0,1
1582161151,4,4
1582163061,2,4
1582164991,0,1
1582166900,1,1
1582172658,0,1
1582174592,16,2
1582176493,3,0
1582178609,1,0
1582180570,1,3
1582182506,0,1
1582184452,0,2
1582188269,1,0
1582190190,1,0
1582197849,4,1
1582205793,2,0
1582211540,0,5
1582215397,0,2
1582221137,3,0
1582226935,0,5
1582232901,0,1
1582234824,1,0
1582237692,1,1
1582239775,0,1
1582243703,3,3
1582245614,1,0
1582247546,5,5
1582249450,7,2
1582253311,0,1
1582255219,1,0
1582257146,1,0
1582260975,13,16
1582262916,0,3
1582264955,1,1
1582266785,0,1
1582268769,1,0
1582274415,0,1
1582276353,1,1
1582284257,0,4
1582286189,1,0
1582292188,0,2
1582307548,0,2
1582313293,4,0
1582322180,3,1
1582324095,4,1
1582328910,8,0
1582330813,0,6
1582332731,1,6
1582334669,6,4
1582336573,2,1
1582338491,2,0
1582341616,0,1
1582343546,3,1
1582347373,4,14
