DateTime,AddedIPs,RemovedIPs
1571457430,44,6
1571479476,12,2
1571501828,11,7
1571523900,12,12
1571545959,9,10
1571568013,7,6
1571589871,6,7
1571611962,4,10
1571645324,6,14
1571667175,12,2
1571689230,4,5
1571711086,11,6
1571733197,3,9
1571755216,10,10
1571777093,57,11
1571799158,6,12
1571821285,41,3
1571843578,54,1
1571865613,32,9
1571887471,25,2
1571909334,10,10
1571931399,9,1
1571953493,2,6
1571975340,5,11
1571997404,10,27
1572019460,7,30
1572041588,10,53
1572063885,6,49
1572085970,11,9
1572108043,3,10
1572129932,6,3
1572151983,4,10
1572173856,3,4
1572195899,2,5
1572217992,5,1
1572239837,2,4
1572261889,7,18
1572283969,11,7
1572306045,9,8
1572327898,8,4
1572349742,17,9
1572371788,10,11
1572393722,9,14
1572415711,6,1
1572437559,24,135
1572459644,9,53
1572481703,6,45
1572503571,9,24
1572525627,4,10
1572547492,6,8
1572569557,17,8
1572591729,12,11
1572613964,29,11
1572635824,8,9
1572657863,5,9
1572679712,8,6
1572701555,5,7
1572723632,5,6
1572745717,5,3
1572767774,1,6
1572789773,6,3
1572811961,4,7
1572834032,4,5
1572855916,5,6
1572877998,8,5
1572900037,5,14
1572922123,6,7
1572944202,120,5
1572966301,91,20
1572988336,104,9
1573010444,4,4
1573032796,7,11
1573054992,15,17
1573077160,11,7
1573099352,5,10
1573121326,34,9
1573143388,40,6
1573165383,24,10
1573187316,7,8
1573209161,11,20
1573231240,13,21
1573253322,18,6
1573275372,13,5
1573297392,20,8
1573319312,15,4
1573341398,9,7
1573363244,16,2
1573385544,17,2
1573407406,12,6
1573429458,10,5
1573451319,19,4
1573473449,7,4
1573495366,10,6
1573517555,10,3
1573539635,5,8
1573561486,7,71
1573583578,9,128
1573605630,10,3
1573627713,5,6
1573649774,10,7
1573682923,16,18
1573705012,8,3
1573727055,8,48
1573749142,7,58
1573771224,3,33
1573793064,5,5
1573815172,11,7
1573837350,7,22
1573859325,31,16
1573881635,62,12
1573903694,56,19
1573925561,64,19
1573947615,47,6
1573969724,27,17
1573991782,7,19
1574013752,51,17
1574035711,3,10
1574057563,5,18
1574079661,8,10
1574101949,10,12
1574123797,6,7
1574145868,3,7
1574167946,10,9
1574190151,11,7
1574212137,11,10
1574234444,14,6
1574256521,10,9
1574278361,5,6
1574300447,11,11
1574322520,6,6
1574344596,11,8
1574366477,3,5
1574388555,7,5
1574410824,5,6
1574432678,5,9
1574454561,6,4
1574476833,7,30
1574498913,2,43
1574521007,6,57
1574543017,1,83
1574565177,4,77
1574587507,8,66
1574609789,5,69
1574631684,7,3
1574653968,1,3
1574676272,8,8
1574698134,2,8
1574720430,11,10
1574742286,3,5
1574764364,2,10
1574786447,13,15
1574808498,15,11
1574830618,14,6
1574852561,11,13
1574874761,1,1
1574896825,5,21
1574918680,3,7
1574940767,10,12
1574962841,7,7
1574984911,10,5
1575006757,1,6
1575028987,4,3
1575051002,4,7
1575072997,9,6
1575095112,13,6
1575117147,5,8
1575139234,4,0
1575161077,4,4
1575183195,5,4
1575205475,2,5
1575227331,6,6
1575249384,4,5
1575271248,1,6
1575293580,3,5
1575315617,9,5
1575337464,1,7
1575359324,5,1
1575381373,3,7
1575414354,1,19
1575436355,2,19
1575458425,9,15
1575480565,3,3
1575502617,7,7
1575524659,4,3
1575546526,2,9
1575568572,4,9
1575590492,2,10
1575612565,0,2
1575634586,2,4
1575656710,4,5
1575678769,2,8
1575700819,2,13
1575722679,3,6
1575744754,1,4
1575777906,8,6
1575799959,5,2
1575822036,40,4
1575844106,4,3
1575866211,3,3
1575888252,5,4
1575910366,6,4
1575943481,2,8
1575965557,9,4
1575987735,4,3
1576009689,3,3
1576031537,6,2
1576053650,4,4
1576075953,7,5
1576098129,2,6
1576120131,6,7
1576142436,6,3
1576164284,8,2
1576186359,9,3
1576208421,2,1
1576230289,7,3
1576252359,15,2
1576274547,4,3
1576296512,3,1
1576318357,1,3
1576340438,4,0
1576362538,2,2
1576384837,8,2
1576407167,2,4
1576429017,4,44
1576450918,3,7
1576473173,1,2
1576495238,3,4
1576517292,6,3
1576539169,6,3
1576561213,4,6
1576583058,8,6
1576604916,3,1
1576626970,8,6
1576670943,5,5
1576693228,4,1
1576715072,3,2
1576736916,30,3
1576758990,4,7
1576780846,5,4
1576802913,10,9
1576824997,3,3
1576846907,7,9
1576868934,7,11
1576891217,1,1
1576913072,6,3
1576935166,5,2
1576957233,10,5
1576979315,3,4
1577001408,0,4
1577023525,3,3
1577045541,9,6
1577067630,2,3
1577089702,3,1
1577111566,4,3
1577133617,2,4
1577155473,1,5
1577177315,4,5
1577199183,6,5
1577221332,6,4
1577243321,3,3
1577265397,4,4
1577287449,1,3
1577309337,3,2
1577331392,2,6
1577353484,1,10
1577375536,5,7
1577397385,2,5
1577430291,7,7
1577452367,2,4
1577474223,5,6
1577496256,2,1
1577518105,4,6
1577540183,5,3
1577562035,5,18
1577584102,1,2
1577606170,1,1
1577628225,11,4
1577650107,12,10
1577672013,11,2
1577694273,19,3
1577716354,15,4
1577738500,4,2
1577760757,5,3
1577793945,1,6
1577815943,4,8
1577838030,7,0
1577860150,6,5
1577882451,7,4
