DateTime,AddedIPs,RemovedIPs
1581650415,17,52
1581652334,28,42
1581654288,25,36
1581656177,34,56
1581658093,29,31
1581660032,25,43
1581661948,30,46
1581663903,31,50
1581665797,34,21
1581667705,41,52
1581669633,54,77
1581671537,23,61
1581673454,42,74
1581675393,41,64
1581677296,29,53
1581679251,58,40
1581681135,37,32
1581683054,44,31
1581684977,49,44
1581686891,33,24
1581688939,60,39
1581690740,54,31
1581692710,52,33
1581694579,52,71
1581696509,45,24
1581698416,32,65
1581700339,30,44
1581702268,25,45
1581704202,38,26
1581706096,32,20
1581708029,37,29
1581709932,38,24
1581711875,78,28
1581713788,84,31
1581715693,84,22
1581717765,80,26
1581719773,70,23
1581721744,79,26
1581723615,65,27
1581725797,93,34
1581727694,80,28
1581729627,84,24
1581731531,75,26
1581733452,71,14
1581735386,64,28
1581737293,57,16
1581740181,94,42
1581742129,85,28
1581744020,69,31
1581745934,85,31
1581747873,77,24
1581749781,74,32
1581751959,79,31
1581753918,66,36
1581755794,74,47
1581757712,91,20
1581759874,84,43
1581761800,68,38
1581763744,110,26
1581765622,67,42
1581767555,59,39
1581769475,81,34
1581771382,61,40
1581773300,67,25
1581775481,79,48
1581777391,55,54
1581779322,59,44
1581781245,58,47
1581783192,60,38
1581785064,64,23
1581786984,76,21
1581788919,54,22
1581790848,86,40
1581792750,79,23
1581794696,68,41
1581796598,62,37
1581798505,48,69
1581800730,61,80
1581802854,88,79
1581804986,71,81
1581806902,56,58
1581808817,63,60
1581810747,65,62
1581812674,76,74
1581814585,50,83
1581816497,86,66
1581818695,113,84
1581820597,57,69
1581822517,50,55
1581824443,56,50
1581826346,72,70
1581828319,81,75
1581830186,68,70
1581832102,65,69
1581834029,57,67
1581835944,62,68
1581837872,58,73
1581839788,69,60
1581841696,59,81
1581843867,73,80
1581845775,41,75
1581847717,24,67
1581849620,39,88
1581851543,41,71
1581853484,22,56
1581855383,20,62
1581857561,37,80
1581859470,25,67
1581861386,29,70
1581863293,45,58
1581865381,52,53
1581867373,45,68
1581869322,38,61
1581871220,28,62
1581873137,36,85
1581875072,52,46
1581876974,36,87
1581878895,45,68
1581880827,35,76
1581882730,42,75
1581884665,43,55
1581886588,29,59
1581888491,42,66
1581891379,79,122
1581893298,37,53
1581895232,19,62
1581897132,52,73
1581899060,32,74
1581901008,31,65
1581902908,38,91
1581904958,34,97
1581906779,32,65
1581908700,50,55
1581910579,41,55
1581912506,44,68
1581914421,45,84
1581916334,29,80
1581918299,48,84
1581920226,30,67
1581922103,42,75
1581924032,19,70
1581925961,21,77
1581927856,21,71
1581929792,24,73
1581931693,39,55
1581933758,40,30
1581935774,29,38
1581937725,43,45
1581939616,37,24
1581941543,33,32
1581943466,45,35
1581945386,34,18
1581947570,50,42
1581949456,34,40
1581951392,41,50
1581953295,37,51
1581956419,49,59
1581958336,44,34
1581960280,29,44
1581962186,20,47
1581964094,11,35
1581966296,22,54
1581968193,25,39
1581970094,33,52
1581972016,26,27
1581974210,38,47
1581976104,32,49
1581978051,12,56
1581979941,22,30
1581981858,17,24
1581983830,16,65
1581985720,19,36
1581987813,43,40
1581989801,33,50
1581991966,39,37
1581993855,25,54
1581995783,26,45
1581997733,26,46
1581999615,24,51
1582001532,24,40
1582003482,22,45
1582005374,44,49
1582007297,42,36
1582009419,20,50
1582011396,20,35
1582013331,31,31
1582015220,25,38
1582017163,22,46
1582019057,29,51
1582020992,23,56
1582022918,18,58
1582024812,18,62
1582026768,33,59
1582028686,36,67
1582030573,46,60
1582032492,23,76
1582034681,25,91
1582036623,47,78
1582038515,25,71
1582040416,82,86
1582042352,18,86
1582044256,69,52
1582046191,32,31
1582048114,69,17
1582050016,27,11
1582051953,21,13
1582053878,23,26
1582055778,40,33
1582057694,75,30
1582059774,44,24
1582061772,74,41
1582064054,82,20
1582065886,33,19
1582067779,76,18
1582069734,27,14
1582071610,30,19
1582073528,31,38
1582075482,26,33
1582077369,29,34
1582079288,29,26
1582081386,55,31
1582083392,36,21
1582085324,49,27
1582087217,54,19
1582089148,37,23
1582091054,47,36
1582092974,47,39
1582094913,38,27
1582096810,8,15
1582098733,14,24
1582100667,13,29
1582102573,23,25
1582104526,26,26
1582106438,30,22
1582108334,23,20
1582110220,28,26
1582112184,11,25
1582114110,37,38
1582116014,53,43
1582117940,46,33
1582119871,67,25
1582121773,53,30
1582123696,79,46
1582125624,70,66
1582127532,60,20
1582129455,34,43
1582131406,49,48
1582133293,64,40
1582135347,46,63
