DateTime,Entries,UniqueIPs
1537906347,305,305
1537993724,304,304
1538080837,303,303
1538168202,299,299
1538255315,296,296
1538342435,297,297
1538429561,295,295
1538516680,179,179
1538603797,180,180
1538691161,180,180
1538778279,175,175
1538865382,179,179
1538952489,176,176
1539039673,174,174
1539126992,173,173
1539214097,171,171
1539301220,168,168
1539388364,163,163
1539475479,164,164
1539562617,161,161
1539649968,164,164
1539737076,167,167
1539824481,165,165
1539911545,163,163
1539998650,155,155
1540085801,153,153
1540172937,157,157
1540260265,159,159
1540347422,160,160
1540434748,161,161
1540522120,157,157
1540609267,161,161
1540696368,159,159
1540783476,158,158
1540870826,159,159
1540957957,160,160
1541045309,279,279
1541132419,280,280
1541219559,289,289
1541306656,294,294
1541393812,297,297
1541481157,301,301
1541568262,305,305
1541655386,308,308
1541742742,311,311
1541829854,312,312
1541916971,317,317
1542004341,326,326
1542091473,326,326
1542178879,332,332
1542266202,334,334
1542353294,339,339
1542440677,336,336
1542527791,334,334
1542614926,332,332
1542702265,336,336
1542789385,331,331
1542876505,327,327
1542963653,324,324
1543050759,321,321
1543137849,320,320
1543224977,321,321
1543312106,322,322
1543442934,317,317
1543530297,318,318
1543617402,318,318
1543704505,315,315
1543791716,310,310
1543878992,304,304
1543966383,302,302
1544053463,298,298
1544140941,292,292
1544228201,291,291
1544315325,285,285
1544402441,282,282
1544489800,279,279
1544576919,275,275
1544664076,263,263
1544751160,299,299
1544838539,295,295
1544969312,290,290
1545056438,292,292
1545143822,290,290
1545231140,290,290
1545318293,2528,2528
1545405381,2531,2531
1545492745,2531,2531
1545579893,2533,2533
1545667558,2535,2535
1545754842,2536,2536
1545841943,2537,2537
1545929056,2533,2533
1546016168,2529,2529
1546103557,2530,2530
1546190658,2533,2533
1546365142,2533,2533
1546452290,2535,2535
1546626524,2534,2534
1546713618,2534,2534
1546801010,2433,2433
1546888354,2434,2434
1546975497,2433,2433
1547062834,2434,2434
1547149962,2430,2430
1547237346,2431,2431
1547324439,2399,2399
1547411552,2397,2397
1547498654,2399,2399
1547585770,2397,2397
1547672936,2398,2398
1547760024,2400,2400
1547847146,1982,1982
1547934273,137,137
1548021379,135,135
1548108525,135,135
1548195626,128,128
1548282744,124,124
1548369856,120,120
1548457297,117,117
1548544610,119,119
1548631713,122,122
1548718848,124,124
1548806222,129,129
1548893330,131,131
1548980568,130,130
1549068050,129,129
1549155152,128,128
1549242531,131,131
1549329621,132,132
1549416783,132,132
1549503859,133,133
1549591329,137,137
1549678353,134,134
1549765478,131,131
1549852607,134,134
1549939940,134,134
1550070745,130,130
1550157865,128,128
1550245007,130,130
1550332094,250,250
1550419283,249,249
1550506731,250,250
1550593939,250,250
1550681059,249,249
1550768185,248,248
1550855310,249,249
1550942418,249,249
1551029553,249,249
1551116691,247,247
1551203794,250,250
1551291149,250,250
1551378268,248,248
1551465302,242,242
1551552505,238,238
1551683324,240,240
1551770420,241,241
1551857551,239,239
1551944679,241,241
1552031799,240,240
1552118921,242,242
1552206026,242,242
1552293166,241,241
1552380253,241,241
1552467383,240,240
1552554499,239,239
1552641651,240,240
1552728762,234,234
1552815862,228,228
1552903015,225,225
1552990118,222,222
1553077212,220,220
1553164355,218,218
1553251483,216,216
1553338581,216,216
1553425983,215,215
1553513072,216,216
1553600183,218,218
1553687298,2489,2489
1553774502,2489,2489
1553861783,2485,2485
1553948904,2385,2385
1554036025,2388,2388
1554123164,2387,2387
1554210198,2389,2389
1554297394,2389,2389
1554384499,2387,2387
1554471873,2386,2386
1554559139,2385,2385
1554646141,2384,2384
1554733287,2382,2382
1554820352,2380,2380
1554907458,2382,2382
1555081699,2381,2381
1555168830,2377,2377
1555255943,2377,2377
1555343079,2376,2376
1555430187,2377,2377
1555517400,2376,2376
1555778657,2377,2377
1555865768,2374,2374
1555952929,2374,2374
1556040035,2372,2372
1556127165,2370,2370
1556214357,2369,2369
1556301368,75,75
1556388499,76,76
1556475630,74,74
1556562791,76,76
1556736971,78,78
1556824123,76,76
1556911259,78,78
1557085457,75,75
1557172583,74,74
1557259694,71,71
1557346842,68,68
1557433937,67,67
1557521054,193,193
1557608172,194,194
1557695328,195,195
1557782457,196,196
1557869543,195,195
1557956654,195,195
1558043808,194,194
1558131142,193,193
1558218297,192,192
1558305370,194,194
1558392750,191,191
1558479802,191,191
1558567000,193,193
1558654112,197,197
1558741212,195,195
1558828374,195,195
1558915558,194,194
1559002581,195,195
1559089717,193,193
1559176987,193,193
1559308376,190,190
1559395482,190,190
1559482573,189,189
1559656956,191,191
1559744221,194,194
1559831541,194,194
1559918663,193,193
1560005786,197,197
1560093159,195,195
1560180500,196,196
1560267628,195,195
1560354744,192,192
1560441772,191,191
1560528974,196,196
1560616117,196,196
1560703240,199,199
1560790334,197,197
1560877358,2481,2481
1560964576,2482,2482
1561051730,2483,2483
1561138830,2492,2492
1561225934,2524,2524
1561313087,2534,2534
1561400201,2559,2559
1561487316,2576,2576
1561574444,2595,2595
1561661533,2613,2613
1561748571,2622,2622
1561835811,2633,2633
1561923170,2642,2642
1562010294,2647,2647
1562097392,2657,2657
1562184524,2671,2671
1562271637,2677,2677
1562358751,2683,2683
1562445882,2688,2688
1562533000,2691,2691
1562620135,2694,2694
1562707226,2699,2699
1562794334,2705,2705
1562881473,2710,2710
1562968570,2712,2712
1563055722,2713,2713
1563142841,2716,2716
1563230788,2719,2719
1563318078,2723,2723
1563405132,2723,2723
1563492279,2725,2725
1563579383,2726,2726
1563666523,2725,2725
1563797347,667,667
1563884445,666,666
1563971564,657,657
1564058654,647,647
1564145802,635,635
1564232923,490,490
1564320054,472,472
1564407179,475,475
1564494264,471,471
1564581384,464,464
1564668534,468,468
1564755617,248,248
1564842760,245,245
