DateTime,AddedIPs,RemovedIPs
1579727158,1,1
1579730930,0,2
1579738576,1,0
1579742449,0,2
1579748197,1,0
1579758047,0,1
1579769560,0,1
1579771482,2,0
1579781573,1,0
1579783459,1,0
1579785430,1,0
1579789225,1,0
1579791217,0,1
1579793063,0,1
1579795003,0,1
1579804820,0,1
1579807021,1,0
1579812745,1,0
1579814662,0,1
1579818497,1,0
1579820736,1,0
1579824494,1,1
1579826415,1,0
1579832197,1,0
1579834098,0,1
1579847793,1,0
1579859317,0,1
1579868895,0,2
1579873089,0,2
1579886656,1,0
1579893637,0,1
1579899380,0,1
1579903383,1,0
1579905385,0,1
1579907251,0,1
1579911142,0,1
1579913081,0,1
1579916915,2,0
1579918814,0,1
1579943086,1,1
1579950750,1,0
1579964174,0,1
1579968198,1,0
1579970191,1,0
1579974045,0,1
1579975940,1,0
1579979796,1,0
1579981704,1,0
1579989392,0,1
1580002816,1,2
1580004748,0,1
1580028020,0,1
1580031862,0,1
1580033776,1,0
1580041465,1,0
1580045292,1,0
1580055149,0,1
1580057073,0,1
1580058985,1,0
1580064737,0,1
1580068591,1,0
1580079417,1,0
1580081296,1,0
1580089214,0,1
1580104600,1,0
1580108697,0,1
1580110577,1,0
1580114433,0,1
1580122355,0,1
1580128098,0,1
1580136063,0,2
1580145856,0,1
1580154731,0,1
1580156657,1,0
1580158593,1,0
1580166760,1,3
1580190019,0,1
1580221716,1,0
1580223888,0,1
1580225779,1,1
1580227731,0,2
1580229615,0,1
1580235409,1,0
1580241137,2,0
1580243058,0,1
1580246931,1,0
1580249123,1,0
1580252914,2,0
1580281938,2,0
1580312656,0,1
1580314578,1,0
1580318416,2,0
1580322294,1,1
1580324173,0,1
1580334775,0,2
1580336683,1,0
1580338576,0,2
1580348442,1,0
1580361870,1,0
1580365952,2,2
1580379378,1,0
1580383221,2,0
1580387059,1,0
1580400526,0,2
1580404365,1,0
1580406368,0,1
1580410095,0,1
1580413932,1,0
1580419692,0,1
1580423790,1,1
1580449000,1,0
1580452813,1,1
1580464590,0,1
1580468611,0,1
1580470573,0,1
1580474420,0,1
1580484016,1,0
1580487890,1,1
1580491901,0,1
1580494011,0,1
1580499881,0,1
1580509476,0,1
1580511388,1,0
1580516425,1,0
1580535634,0,1
1580539503,0,1
1580550987,1,0
1580556987,1,0
1580559165,1,0
1580567083,1,0
1580570898,0,1
1580576927,2,0
1580584862,1,0
1580596593,0,1
1580598504,0,1
1580602392,0,1
1580635213,1,0
1580652748,1,1
1580664256,0,2
1580676031,0,1
1580679881,1,0
1580705315,1,0
1580712988,1,0
1580722822,0,1
1580724757,1,0
1580726662,0,1
1580730514,1,2
1580748021,0,1
1580777062,1,0
1580784844,0,1
1580790496,1,1
1580798418,0,1
1580800468,1,0
1580804178,0,3
1580806005,1,1
1580813560,1,0
1580815468,2,0
1580817997,2,1
1580819861,1,0
1580829415,1,1
1580833274,1,0
1580847177,2,0
1580849059,1,0
1580854830,1,0
1580876177,1,1
1580878112,1,0
1580891783,1,0
1580897541,0,1
1580899486,1,0
1580901380,1,1
1580903315,0,2
1580905215,0,1
1580909057,0,1
1580916035,1,1
1580917937,0,1
1580919858,1,1
1580933898,0,2
1580939788,1,1
1580951774,1,0
1580965290,0,1
1580978662,1,0
1580980580,0,1
1581002202,0,1
1581004110,0,1
1581006031,0,1
1581011787,1,0
1581024495,1,1
1581036260,0,1
1581038189,0,1
1581040118,1,0
1581043935,2,0
1581045873,3,0
1581047779,1,0
1581052578,1,0
1581060273,1,0
1581081613,1,0
1581099156,1,1
1581101093,1,0
1581110684,1,1
1581116817,0,1
1581120752,1,0
1581126510,0,1
1581130330,0,2
1581132267,0,3
1581134174,0,1
1581140176,1,0
1581144016,1,0
1581145938,0,1
1581147877,1,0
1581149820,1,0
1581151943,1,0
1581159849,0,1
1581180989,1,0
1581186971,1,2
1581198525,4,0
1581200421,0,1
1581202335,1,1
1581206174,0,1
1581218182,1,0
1581222011,0,1
1581227787,0,1
1581231787,1,0
1581235692,1,0
1581237615,1,1
1581241452,1,0
1581253001,0,1
1581270514,0,1
1581278172,0,1
1581284172,0,3
1581286119,0,2
1581289954,1,0
1581307418,1,0
1581311310,1,0
1581319052,0,1
1581322835,0,1
1581326673,0,1
1581332756,1,0
1581334593,0,1
1581344181,0,2
1581348023,0,1
1581351892,2,0
1581371319,1,0
1581373223,1,0
1581377101,0,1
1581394837,1,0
1581398681,0,1
1581418396,0,1
1581424097,1,0
1581433711,1,1
1581435616,1,0
1581437537,0,1
1581445249,1,0
1581450987,1,1
1581452896,0,3
1581464894,1,0
1581466827,1,0
1581480507,0,1
1581499694,1,0
1581501806,1,0
1581509807,7,1
1581511704,0,1
1581519385,1,1
1581531376,0,1
1581535212,1,0
1581546976,1,0
1581550843,0,1
1581552737,1,1
1581554653,1,0
1581560413,2,0
1581574677,0,1
1581578491,1,0
1581586141,0,1
1581595973,2,7
1581607774,0,1
1581609905,1,0
1581615616,2,0
1581617544,1,0
1581619482,1,0
1581621388,0,1
1581627153,1,0
1581635022,1,0
1581640816,0,1
1581642795,0,1
1581644666,1,0
1581646571,1,0
1581650415,0,1
1581652335,1,0
1581660971,1,0
1581672495,2,0
1581674597,1,0
1581678496,1,1
1581682336,0,1
1581695776,1,2
1581701787,0,1
1581705622,0,1
1581709704,0,1
1581713557,0,1
1581717395,1,0
1581721556,1,1
1581725329,2,2
1581738738,0,1
1581746478,0,1
1581752206,1,0
1581754091,1,0
1581757953,0,1
1581759874,0,1
1581763745,0,1
1581769476,2,0
1581777391,0,1
1581781245,1,0
1581783193,5,1
1581786984,2,0
1581788920,1,0
1581804987,0,1
1581806902,0,1
1581812674,0,2
1581830187,2,0
1581834029,0,1
1581835944,0,1
1581839788,0,1
1581841696,0,1
1581849621,1,0
1581851544,0,1
1581855383,0,1
1581861387,1,0
1581863293,1,0
1581869323,0,6
1581873138,0,2
1581875073,0,1
1581888492,0,1
1581890490,1,0
1581892347,1,0
1581894190,1,0
1581896170,1,0
1581911541,1,0
1581917293,0,2
1581919361,1,0
1581921372,1,0
1581926917,1,0
1581934624,1,0
1581938439,0,1
1581948364,0,1
1581954038,2,0
1581956002,1,0
1581959785,1,0
1581961727,1,0
1581965541,1,0
1581969402,1,0
1581971303,2,0
1581977360,1,1
1581979221,1,2
1581983081,1,1
1581984986,1,0
1581986919,2,0
1581998583,1,1
