DateTime,Entries,UniqueIPs
1579727158,25,25
1579730930,23,23
1579738576,24,24
1579742449,22,22
1579748197,23,23
1579758047,22,22
1579769560,21,21
1579771482,23,23
1579781573,24,24
1579783459,25,25
1579785430,26,26
1579789225,27,27
1579791217,26,26
1579793063,25,25
1579795003,24,24
1579804820,23,23
1579807021,24,24
1579812745,25,25
1579814662,24,24
1579818497,25,25
1579820736,26,26
1579824494,26,26
1579826415,27,27
1579832197,28,28
1579834098,27,27
1579847793,28,28
1579859317,27,27
1579868895,25,25
1579873089,23,23
1579886656,24,24
1579893637,23,23
1579899380,22,22
1579903383,23,23
1579905385,22,22
1579907251,21,21
1579911142,20,20
1579913081,19,19
1579916915,21,21
1579918814,20,20
1579943086,20,20
1579950750,21,21
1579964174,20,20
1579968198,21,21
1579970191,22,22
1579974045,21,21
1579975940,22,22
1579979796,23,23
1579981704,24,24
1579989392,23,23
1580002816,22,22
1580004748,21,21
1580028020,20,20
1580031862,19,19
1580033776,20,20
1580041465,21,21
1580045292,22,22
1580055149,21,21
1580057073,20,20
1580058985,21,21
1580064737,20,20
1580068591,21,21
1580079417,22,22
1580081296,23,23
1580089214,22,22
1580104600,23,23
1580108697,22,22
1580110577,23,23
1580114433,22,22
1580122355,21,21
1580128098,20,20
1580136063,18,18
1580145856,17,17
1580154731,16,16
1580156657,17,17
1580158593,18,18
1580166760,16,16
1580190019,15,15
1580221716,16,16
1580223888,15,15
1580225779,15,15
1580227731,13,13
1580229615,12,12
1580235409,13,13
1580241137,15,15
1580243058,14,14
1580246931,15,15
1580249123,16,16
1580252914,18,18
1580281938,20,20
1580312656,19,19
1580314578,20,20
1580318416,22,22
1580322294,22,22
1580324173,21,21
1580334775,19,19
1580336683,20,20
1580338576,18,18
1580348442,19,19
1580361870,20,20
1580365952,20,20
1580379378,21,21
1580383221,23,23
1580387059,24,24
1580400526,22,22
1580404365,23,23
1580406368,22,22
1580410095,21,21
1580413932,22,22
1580419692,21,21
1580423790,21,21
1580449000,22,22
1580452813,22,22
1580464590,21,21
1580468611,20,20
1580470573,19,19
1580474420,18,18
1580484016,19,19
1580487890,19,19
