DateTime,AddedIPs,RemovedIPs
1581654289,2,0
1581656178,1,3
1581658093,3,1
1581660043,3,1
1581661949,1,1
1581663912,7,1
1581665797,6,1
1581667706,5,4
1581669643,2,1
1581671537,3,1
1581673455,2,3
1581675393,6,3
1581677296,5,4
1581679251,10,2
1581681136,12,2
1581683054,7,2
1581684977,7,0
1581686892,2,2
1581688960,4,5
1581690971,9,4
1581692912,4,4
1581694827,7,14
1581696735,3,0
1581698654,5,3
1581700653,11,1
1581702498,4,5
1581704425,3,4
1581706338,6,2
1581708256,3,1
1581710211,3,1
1581712119,2,0
1581715953,5,11
1581717777,4,5
1581719774,7,4
1581721748,6,3
1581723616,3,7
1581725798,5,6
1581727694,1,8
1581729627,3,6
1581731532,1,3
1581733452,2,4
1581735387,4,10
1581737294,4,1
1581740181,4,5
1581742129,3,1
1581744021,1,3
1581745935,0,1
1581747873,3,4
1581749781,4,2
1581751959,8,9
1581753918,5,6
1581755794,7,4
1581757712,3,3
1581759875,2,2
1581761801,2,6
1581763745,7,5
1581765623,5,8
1581767555,7,13
1581769476,2,7
1581771382,2,7
1581773301,5,3
1581775484,1,4
1581777392,2,9
1581779324,1,4
1581781246,6,7
1581783193,3,2
1581785064,6,5
1581786984,5,14
1581788920,5,3
1581790849,11,3
1581792751,6,4
1581794697,2,4
1581796599,8,3
1581798505,8,2
1581800732,2,4
1581802855,11,3
1581804987,5,5
1581806903,4,6
1581808817,2,6
1581810748,9,2
1581812674,4,6
1581814586,5,2
1581816498,5,0
1581818705,3,2
1581820597,2,2
1581822518,1,5
1581824444,1,2
1581826347,4,3
1581828324,1,2
1581830187,5,2
1581832103,1,0
1581834031,1,2
1581835945,2,2
1581837872,9,5
1581839789,1,5
1581841697,1,4
1581843878,2,2
1581845776,2,0
1581847718,2,3
1581849621,2,7
1581851544,3,2
1581853485,5,9
1581855384,3,2
1581857562,1,2
1581859471,2,1
1581861387,2,4
1581863294,2,2
1581865409,15,2
1581867374,5,3
1581869323,3,5
1581871221,6,6
1581873138,7,6
1581875073,1,5
1581876975,6,6
1581878896,2,9
1581880828,2,4
1581882731,1,7
1581884666,5,8
1581886589,3,3
1581888492,1,8
1581890510,4,6
1581892348,2,5
1581894202,2,4
1581896171,3,5
1581898119,3,8
1581900020,10,1
1581901940,1,4
1581903875,1,4
1581905780,2,2
1581907696,3,1
1581909626,2,2
1581911542,3,1
1581913457,3,3
1581915410,2,1
1581917294,1,6
1581919373,2,0
1581921373,0,4
1581923183,3,2
1581925016,1,8
1581926917,3,1
1581928833,2,4
1581930775,4,1
1581932696,3,3
1581934627,6,5
1581936519,5,3
1581938439,3,8
1581940341,2,4
1581942275,1,4
1581944209,1,2
1581946126,4,1
1581948365,4,3
1581950179,1,1
1581952143,1,19
1581954039,1,4
1581956003,4,2
1581957878,4,6
1581959785,5,8
1581961727,0,1
1581963646,2,5
1581965541,3,2
1581967484,4,4
1581969403,3,3
1581971303,3,4
1581973488,4,5
1581975388,1,1
1581977360,4,4
1581979221,9,1
1581981145,5,3
1581983082,3,2
1581984986,6,2
1581986919,1,10
1581988827,5,0
1581990780,4,2
1581992683,2,1
1581994574,0,1
1581996505,1,3
1581998598,2,3
1582000595,4,1
1582002547,3,3
1582004414,4,3
1582006358,3,0
1582008253,4,0
1582010207,2,1
1582012128,3,1
