DateTime,AddedIPs,RemovedIPs
1581652335,9,17
1581654289,10,8
1581656178,12,5
1581658094,2,6
1581660059,2,9
1581661949,5,16
1581663919,8,12
1581665798,21,3
1581667707,15,11
1581669644,7,11
1581671537,7,8
1581673455,7,8
1581675394,19,5
1581677297,5,11
1581679251,10,8
1581681137,6,16
1581683054,4,13
1581684978,17,4
1581686893,6,4
1581688977,6,8
1581690971,5,11
1581692912,10,12
1581694828,18,12
1581696736,8,3
1581698654,2,5
1581700654,8,11
1581702498,7,15
1581704425,7,2
1581706339,6,1
1581708257,5,8
1581710211,2,11
1581712120,8,8
1581715953,24,17
1581717787,6,5
1581719774,4,12
1581721750,8,10
1581723617,10,8
1581725798,11,5
1581727695,7,3
1581729627,4,4
1581731533,10,8
1581733453,11,9
1581735388,6,1
1581737294,5,4
1581740182,5,16
1581742130,6,15
1581744022,11,5
1581745935,7,3
1581747874,4,4
1581749782,11,6
1581751960,10,22
1581753918,10,16
1581755795,6,7
1581757713,4,7
1581759875,9,10
1581761801,9,19
1581763746,7,6
1581765624,4,9
1581767556,5,8
1581769477,6,3
1581771383,3,19
1581773301,27,4
1581775485,11,6
1581777393,3,5
1581779324,8,8
1581781246,4,19
1581783194,8,7
1581785065,27,3
1581786985,3,8
1581788920,1,7
1581790850,10,8
1581792752,8,6
1581794697,22,5
1581796600,2,2
1581798506,3,8
1581800733,7,12
1581802855,16,10
1581804988,14,8
1581806904,3,4
1581808818,3,6
1581810748,6,9
1581812675,24,7
1581814587,3,6
1581816498,1,6
1581818711,3,10
1581820598,9,6
1581822518,22,7
1581824444,2,3
1581826348,1,5
1581828326,2,4
1581830187,13,13
1581832104,16,7
1581834031,5,4
1581835946,4,14
1581837873,4,11
1581839789,19,14
1581841697,13,6
1581843880,5,6
1581845777,5,8
1581847718,13,8
1581849622,10,9
1581851544,8,3
1581853486,5,6
1581855384,6,3
1581857562,10,6
1581859471,12,21
1581861387,16,18
1581863294,9,2
1581865435,7,9
1581867374,12,6
1581869323,8,7
1581871223,17,24
1581873139,5,3
1581875074,7,1
1581876975,12,6
1581878896,7,10
1581880829,11,21
1581882732,3,4
1581884667,3,2
1581886589,7,5
1581888493,8,5
