DateTime,Entries,UniqueIPs
1571448989,154,154
1571470838,156,156
1571492916,158,158
1571514972,158,158
1571547907,158,158
1571570074,157,157
1571592021,157,157
1571613881,156,156
1571635955,160,160
1571657800,160,160
1571679949,160,160
1571701948,154,154
1571735117,147,147
1571756963,149,149
1571779010,147,147
1571801067,139,139
1571822909,138,138
1571844767,138,138
1571866834,135,135
1571888916,132,132
1571910974,126,126
1571932927,125,125
1571954915,123,123
1571976760,123,123
1571998612,120,120
1572020475,119,119
1572042848,117,117
1572064817,107,107
1572086907,104,104
1572108750,102,102
1572131001,100,100
1572152927,100,100
1572174776,104,104
1572196848,105,105
1572218910,106,106
1572241042,106,106
1572263073,108,108
1572285162,112,112
1572318277,126,126
1572340167,126,126
1572362196,127,127
1572384038,127,127
1572406113,130,130
1572427955,132,132
1572450028,130,130
1572472111,137,137
1572494191,133,133
1572516165,140,140
1572538160,145,145
1572560182,147,147
1572582330,147,147
1572604384,150,150
1572626450,153,153
1572648543,159,159
1572670596,163,163
1572703473,168,168
1572725318,166,166
1572747164,168,168
1572769008,163,163
1572791082,162,162
1572813142,159,159
1572835229,158,158
1572857338,157,157
1572879407,153,153
1572901378,145,145
1572923568,142,142
1572945481,143,143
1572967719,148,148
1572989562,147,147
1573011615,144,144
1573033721,143,143
1573056317,142,142
1573078351,138,138
1573100205,139,139
1573122277,141,141
1573144370,140,140
1573166221,145,145
1573188253,147,147
1573210380,146,146
1573232699,146,146
1573254757,147,147
1573276825,154,154
1573299057,154,154
1573321263,153,153
1573343576,151,151
1573365447,152,152
1573387446,156,156
1573409313,159,159
1573431155,158,158
1573453014,161,161
1573475077,158,158
1573497163,166,166
1573519006,169,169
1573541068,171,171
1573563143,168,168
1573584987,164,164
1573606941,165,165
1573628963,162,162
1573650993,162,162
1573672836,159,159
1573694902,154,154
1573716769,151,151
1573738632,146,146
1573760665,141,141
1573782512,142,142
1573804355,143,143
1573826634,142,142
1573848761,139,139
1573870614,136,136
1573892676,127,127
1573914761,126,126
1573936830,128,128
1573958903,127,127
1573980986,127,127
1574003106,123,123
1574025154,122,122
1574047001,114,114
1574068890,109,109
1574091149,103,103
1574112995,101,101
1574134836,99,99
1574156911,101,101
1574178757,102,102
1574212138,104,104
1574234445,103,103
1574256522,99,99
1574278362,97,97
1574300447,99,99
1574322521,99,99
1574344600,100,100
1574366486,97,97
1574388556,96,96
1574410825,99,99
1574432680,98,98
1574454562,101,101
1574476837,99,99
1574498914,100,100
1574521012,101,101
1574543094,101,101
1574565178,101,101
1574587508,101,101
1574609790,99,99
1574631689,95,95
1574653969,98,98
1574676275,103,103
1574698135,104,104
1574720431,103,103
1574742287,107,107
1574764365,110,110
1574786448,106,106
1574808499,108,108
1574830620,112,112
1574863720,113,113
1574885565,111,111
1574907630,110,110
1574929502,109,109
1574951562,111,111
1574973622,113,113
1574995487,111,111
1575017335,113,113
1575039747,109,109
1575062046,110,110
1575084019,114,114
1575105931,113,113
1575127945,113,113
1575150046,111,111
1575172121,112,112
1575193968,107,107
1575216149,109,109
1575238128,108,108
1575260224,107,107
1575282256,105,105
1575304345,105,105
1575326194,101,101
1575348260,99,99
1575370370,98,98
1575403728,94,94
1575425789,93,93
1575447855,94,94
1575469705,94,94
1575491578,98,98
1575513629,95,95
1575535714,94,94
1575557804,93,93
1575590777,92,92
1575613006,94,94
1575635084,95,95
1575657186,97,97
1575679223,92,92
1575701329,93,93
1575723389,94,94
1575745379,92,92
1575767319,98,98
1575789405,101,101
1575811463,102,102
1575833312,106,106
1575855167,111,111
1575877007,108,108
1575899082,109,109
1575921136,114,114
1575943022,113,113
1575976121,114,114
1575997969,113,113
1576019835,113,113
1576041884,111,111
1576063941,111,111
1576086285,112,112
