DateTime,AddedIPs,RemovedIPs
1581529460,2,1
1581531377,1,0
1581535214,2,0
1581537133,2,0
1581539079,0,2
1581541042,1,0
1581542904,1,1
1581545033,0,1
1581546978,2,0
1581550844,1,3
1581554654,1,0
1581556575,3,1
1581558507,2,4
1581560414,1,1
1581564283,0,1
1581566617,0,1
1581568445,1,0
1581572447,1,0
1581576504,0,1
1581578492,1,1
1581580339,0,1
1581582298,0,1
1581584200,1,1
1581586142,0,3
1581588188,3,0
1581590175,1,1
1581595974,3,1
1581603867,1,1
1581607775,3,4
1581609919,1,1
1581611773,2,2
1581615617,0,1
1581617545,2,2
1581619484,1,0
1581621389,1,2
1581623295,1,2
1581627154,0,1
1581629061,1,1
1581630977,1,0
1581632892,0,2
1581636978,0,1
1581638906,2,0
1581640817,0,1
1581642808,1,3
1581644668,1,2
1581646572,2,1
1581654289,0,1
1581656179,2,0
1581658095,2,0
1581660971,1,1
1581664813,0,1
1581670583,1,1
1581674601,2,3
1581676574,0,1
1581682336,1,3
1581684258,1,0
1581686179,1,0
1581688096,1,0
1581690054,0,1
1581691958,1,0
1581693859,0,2
1581695777,2,2
1581697696,0,2
1581699836,1,0
1581703705,0,2
1581705622,2,1
1581707787,3,1
1581709706,1,1
1581711656,2,0
1581713557,1,0
1581715454,1,1
1581717395,2,1
1581719303,1,0
1581721557,4,0
1581723375,1,0
1581725329,3,2
1581727226,3,0
1581729143,1,1
1581731076,3,1
1581733032,1,2
1581736828,1,0
1581738738,1,0
1581742583,0,2
1581744497,1,2
1581747388,0,1
1581749316,2,0
1581751224,1,0
1581753137,1,0
1581755071,1,0
1581756976,1,1
1581761001,0,2
1581764902,1,0
1581766816,1,0
1581768759,0,1
1581770663,1,1
1581772595,3,1
1581774514,3,1
1581776422,3,0
1581778336,1,1
1581780316,1,0
1581782195,0,2
1581784109,4,0
1581786309,3,1
1581788190,1,0
1581790095,1,0
1581792014,3,2
1581793949,0,3
1581795856,2,1
1581797784,3,2
1581799714,1,1
1581801634,2,1
1581803546,1,2
1581805462,2,1
1581807386,1,4
1581809294,3,0
1581811420,2,4
1581813387,2,3
1581815305,3,1
1581817216,0,2
1581819152,4,2
1581821059,1,0
1581823130,0,1
1581825159,1,1
1581830898,3,1
1581832986,3,0
1581834978,1,2
1581836935,2,0
1581838815,0,2
1581840738,2,1
1581844575,1,1
1581846498,1,0
1581848428,4,0
1581850344,3,0
1581852261,3,2
1581856099,0,1
1581859005,0,3
1581860912,1,3
1581862833,0,3
1581864759,3,1
1581866667,2,1
1581868601,1,0
1581870511,2,4
1581872628,1,3
1581874571,2,1
1581876511,1,1
1581878415,1,3
1581882270,2,2
1581884176,1,3
1581886096,1,1
1581888029,2,2
1581889949,1,1
1581891865,3,2
1581893792,1,1
1581895697,2,3
1581897979,1,2
1581900021,3,3
1581901941,1,2
1581903876,3,2
1581905781,1,3
1581907697,2,0
1581909627,2,0
1581911543,2,1
1581913458,2,0
1581915411,1,0
1581917295,1,3
1581919398,2,3
1581921373,1,1
1581923184,1,2
1581925017,4,0
1581926918,2,2
1581930776,2,1
1581932697,0,1
1581934629,3,4
1581936520,3,3
1581938440,2,2
1581940341,2,1
1581942276,2,0
1581946127,2,0
1581948367,1,1
1581950180,0,1
1581952144,3,2
1581954039,3,2
1581956004,4,2
1581957879,2,1
1581959787,3,2
1581961728,1,1
1581963647,5,1
1581965542,4,1
1581967485,1,1
1581969404,2,1
1581971305,1,1
1581973491,1,1
1581975389,4,2
1581977361,2,2
1581979222,5,3
1581981146,0,1
1581983083,2,1
1581984987,3,1
1581986920,0,3
1581988828,3,3
1581990780,6,1
1581992683,3,2
1581994575,1,1
1581996506,0,2
1581998651,2,3
1582000595,1,2
1582004415,2,1
1582006359,5,3
1582008254,5,1
1582010208,1,1
1582012129,2,4
1582014028,1,1
1582015939,1,0
1582017908,1,2
1582019774,0,1
1582021690,3,3
1582023807,3,3
1582025793,3,1
1582027692,0,4
1582031557,1,2
1582033455,4,1
1582035374,2,0
1582037325,3,2
1582039212,0,3
1582041131,3,3
1582043121,1,3
1582045001,2,3
1582046896,3,1
1582049063,2,3
1582050993,3,3
1582052910,2,5
1582054820,2,1
1582056753,1,1
1582058654,1,2
1582060606,1,2
1582062497,1,2
1582064441,2,3
1582066398,1,4
1582068278,3,2
1582070228,1,1
1582072159,3,2
1582074366,1,2
1582076196,2,4
1582078119,1,6
1582080020,2,1
1582081957,1,0
1582083866,2,1
1582085798,1,1
1582087717,1,1
1582089622,1,1
1582091536,1,2
1582093477,1,7
1582095388,3,3
1582097297,2,2
1582099400,4,0
1582101401,1,1
1582103313,5,2
1582105241,2,0
1582107146,3,2
1582109069,2,1
1582110988,2,5
1582112917,1,1
1582114834,2,0
1582116745,1,1
1582120628,3,4
1582122545,0,2
1582124634,3,3
1582126578,5,3
1582128511,2,1
1582130416,2,2
1582132364,1,1
1582134269,0,3
1582136178,1,1
1582138096,4,4
1582140047,2,1
1582141935,4,2
1582143864,1,1
1582145790,1,1
1582147692,0,2
1582150883,4,2
1582152750,2,1
1582154669,3,3
1582156570,0,1
1582158500,4,3
1582160678,4,1
1582162616,2,2
1582164516,1,1
1582166435,4,2
1582168345,0,1
1582170257,1,2
1582172188,2,1
1582174105,3,1
1582176032,3,1
1582177941,4,1
1582179876,1,1
1582181810,1,3
1582183735,0,2
1582185891,3,4
1582187777,4,1
1582189714,2,5
1582191621,2,2
1582193858,2,3
1582195702,1,2
1582197640,2,2
1582199545,0,2
1582201465,1,1
1582203397,0,1
1582205300,2,0
1582208181,2,3
1582210105,0,1
1582212058,1,5
1582213939,1,3
1582215859,2,2
1582217797,2,2
1582221884,2,0
1582223777,1,4
1582225960,1,3
1582227856,0,3
1582229778,1,2
1582231717,2,1
1582233619,2,0
1582235550,1,1
1582237471,0,3
1582239372,2,3
1582241293,0,2
1582243457,3,1
1582245423,0,3
1582247311,2,4
1582249218,3,2
1582251149,1,2
1582253059,0,3
1582256916,1,1
1582258814,3,2
1582260748,0,3
1582262681,0,5
1582264575,2,2
1582266830,1,2
1582270817,0,1
1582272750,0,4
1582274654,0,2
1582276637,1,2
1582278541,1,3
1582280426,1,1
1582282345,0,1
1582284261,2,2
1582286192,2,0
1582288128,0,1
1582290359,1,0
1582292192,0,2
1582294109,0,2
1582299874,0,1
1582301777,0,3
1582303726,1,2
1582305614,1,0
1582307552,1,1
1582309475,0,1
1582311396,0,2
1582315524,0,1
1582317392,0,1
1582320272,0,4
1582327217,2,2
1582329132,0,2
1582331085,0,1
1582332976,1,1
1582334893,1,4
1582336956,0,1
1582338988,1,0
1582340907,1,0
1582342821,1,0
1582344753,1,3
1582346663,1,1
1582348578,1,0
1582350532,1,1
1582352442,2,2
1582354337,2,0
1582360094,2,0
1582363964,0,2
1582365823,1,1
1582369716,1,2
1582371648,2,2
1582373587,2,0
1582375471,2,1
1582377374,1,0
1582379293,1,0
1582381227,1,0
1582386986,3,0
1582388892,1,1
1582392972,2,2
1582394907,2,0
1582398736,4,0
1582400666,2,0
1582402592,1,0
1582404498,3,0
1582406425,3,0
1582408335,1,0
1582410273,1,0
1582412185,1,1
1582414090,0,1
1582418914,1,1
1582420815,2,1
1582422734,3,0
1582424668,0,1
1582426575,0,1
1582430602,1,1
1582432588,0,2
1582434527,1,0
1582436417,0,2
1582438354,1,2
1582440255,1,0
1582442176,1,2
1582444137,2,0
1582446039,1,1
1582447945,1,1
1582451773,0,1
1582453963,1,0
1582456822,1,3
1582458736,1,0
1582460677,0,2
1582462576,0,3
1582466583,0,1
1582468591,3,1
1582470513,1,0
1582472429,5,1
1582474360,2,3
1582476263,1,0
1582478180,1,0
1582480117,4,3
1582482015,4,1
1582485867,3,4
1582487772,0,2
1582489694,0,2
1582491805,0,4
1582493829,1,1
1582495695,1,2
1582497614,2,0
1582499559,2,1
1582505331,1,1
1582507239,1,2
1582509140,0,3
1582511070,2,0
1582512987,1,0
1582515145,1,0
1582517095,1,1
1582518992,1,0
1582520910,4,1
1582522822,2,0
1582524751,1,1
1582526663,0,1
1582528608,3,1
1582530525,3,2
1582532420,4,0
1582534341,0,2
1582536273,2,0
1582538196,2,0
1582540139,2,1
1582542290,2,1
1582544189,1,1
1582546098,1,0
1582548017,3,0
1582549965,7,0
1582552167,4,0
1582554052,2,2
1582555952,2,2
1582557862,0,1
1582559825,3,5
1582561698,0,2
1582563821,3,0
1582565798,2,2
1582567709,1,5
1582569667,3,2
1582571562,3,3
1582573472,3,0
1582575378,1,0
1582577312,4,0
1582579212,2,1
1582581164,1,0
1582583080,0,3
1582584973,2,2
1582587078,4,0
