DateTime,AddedIPs,RemovedIPs
1580137464,1,0
1580142261,1,1
1580146096,0,1
1580148229,1,0
1580150174,1,1
1580154018,2,0
1580155936,0,1
1580157878,1,0
1580161708,1,0
1580167453,1,0
1580171323,1,0
1580173406,2,0
1580186919,1,0
1580188815,1,0
1580190732,3,0
1580199626,1,7
1580201532,0,1
1580205378,0,1
1580207303,1,2
1580209385,0,1
1580217155,1,0
1580224829,1,1
1580226770,1,0
1580228670,1,1
1580232527,1,0
1580236361,1,1
1580239237,0,1
1580241138,0,2
1580243059,3,0
1580250998,1,0
1580254818,1,0
1580268299,1,0
1580278111,1,0
1580281953,1,0
1580287721,0,13
1580289625,1,0
1580291535,2,0
1580293472,0,1
1580297319,1,0
1580303558,0,1
1580311221,0,1
1580313133,1,1
1580315068,0,1
1580318907,2,1
1580321045,1,0
1580322991,0,1
1580328750,0,2
1580330656,1,1
1580332583,1,0
1580338332,1,0
1580340268,1,0
1580344135,1,0
1580350108,2,0
1580352017,1,0
1580355868,1,0
1580359713,1,0
1580363544,1,0
1580365472,2,0
1580367378,1,0
1580371389,1,0
1580373384,1,0
1580375295,0,6
1580379146,0,2
1580383223,1,1
1580393092,2,0
1580398606,0,1
1580406369,0,3
1580410097,1,0
1580415856,1,1
1580425716,1,0
1580439136,1,0
1580442988,3,0
1580450899,0,1
1580452815,1,0
1580458582,0,1
1580460766,1,13
1580466501,1,0
1580470574,0,1
1580472523,1,0
1580476367,1,0
1580480179,0,2
1580491932,1,0
1580496070,1,1
1580503699,1,1
1580513296,2,0
1580515338,2,0
1580519066,4,0
1580520999,1,0
1580524817,1,0
1580526753,2,0
1580528657,3,0
1580534416,1,0
1580538269,1,0
1580540183,1,0
1580544169,1,0
1580546173,0,5
1580551981,1,1
1580553858,1,0
1580557972,1,0
1580559867,0,1
1580563691,1,1
1580565755,2,0
1580569722,1,0
1580579305,0,1
1580581239,0,1
1580588907,1,0
1580591039,0,1
1580598507,1,0
1580600424,3,0
1580604279,1,0
1580606182,2,0
1580610022,1,0
1580611935,0,1
1580613871,0,2
1580615777,3,0
1580619979,0,1
1580625621,1,1
1580633315,2,16
1580635216,1,0
1580639076,1,2
1580642913,1,1
1580646994,1,0
1580648896,1,0
1580650817,0,1
1580652752,3,2
1580656582,1,1
1580658522,1,0
1580672184,1,0
1580674127,1,0
1580676046,1,1
1580679884,1,0
1580683953,1,1
1580685864,2,0
1580687789,0,2
1580691913,0,2
1580695700,0,1
1580699571,1,0
1580701463,0,1
1580703383,0,2
1580707243,1,0
1580709138,2,0
1580714908,1,0
1580719001,1,0
1580720913,0,5
1580726665,0,1
1580730517,0,1
1580732423,1,0
1580734356,0,1
1580736279,0,1
1580738183,1,2
1580740100,1,1
1580742368,0,1
1580744191,1,2
1580746121,1,0
1580753785,1,0
1580757623,1,1
1580759541,0,1
1580765312,1,0
1580767545,1,0
1580771337,1,2
1580775181,1,0
1580778987,1,0
1580784846,1,0
1580786699,0,1
1580792785,0,1
1580796513,1,2
1580798421,1,0
1580802278,0,1
1580804181,0,3
1580806008,0,1
1580815471,2,0
1580818009,0,1
1580821723,1,0
1580823631,1,0
1580825580,0,2
1580829418,0,1
1580833277,0,1
1580839008,0,1
1580840943,1,0
1580843149,1,1
1580845005,1,0
1580847179,2,0
1580849061,1,0
1580850984,1,1
1580854832,1,0
1580858666,1,0
1580860593,1,1
1580862563,1,0
1580864755,4,0
1580866601,1,0
1580868517,1,0
1580870422,2,0
1580881947,2,0
1580883875,0,1
1580885781,1,0
1580893711,0,5
1580897543,2,0
1580901383,0,2
1580905217,1,0
1580907153,1,0
1580909059,1,1
1580910995,0,1
1580916038,1,0
1580921794,1,0
1580923710,1,0
1580925929,0,1
1580929837,2,1
1580931874,0,1
1580933933,1,2
1580935949,0,1
1580941699,2,0
1580944021,1,0
1580946023,1,1
1580947966,0,1
1580949861,2,1
1580951777,0,1
1580953713,1,0
1580955612,0,1
1580961378,3,0
1580965403,2,0
1580967391,0,1
1580971215,1,0
1580973180,0,1
1580975057,1,0
1580977014,1,0
1580978910,0,9
1580982749,2,0
1580984673,1,2
1580986575,1,0
1580988495,4,0
1580991614,5,1
1580993544,0,1
1580995462,0,1
1581003374,0,1
1581005324,1,0
1581007227,0,1
1581011125,0,1
1581012979,1,0
1581016839,0,2
1581020677,0,1
1581036263,0,2
1581040120,0,1
1581047781,0,2
1581052580,1,1
1581056414,1,0
1581066234,0,9
1581070113,0,3
1581073955,1,2
1581075858,0,4
1581077800,0,3
1581079714,1,1
1581083543,1,0
1581085472,3,0
1581091502,1,1
1581099158,0,1
1581108740,1,0
1581120754,2,0
1581128414,1,0
1581130332,1,0
1581136109,1,0
1581138280,0,1
1581144018,0,1
1581151945,1,0
1581159936,0,1
1581165617,0,1
1581171394,0,4
1581177146,0,1
1581188922,1,0
1581190861,1,0
1581194660,0,1
1581196588,1,0
1581206198,0,1
1581208100,0,1
1581214360,0,1
1581216255,0,1
1581223961,0,1
1581237616,0,1
1581239571,1,0
1581241454,1,0
1581245311,1,0
1581266659,1,0
1581274335,1,0
1581276281,0,2
1581282359,0,1
1581291865,1,0
1581293779,1,0
1581324738,1,0
1581326675,0,2
1581330522,0,1
1581338423,1,0
1581351929,1,0
