DateTime,AddedIPs,RemovedIPs
1581338423,0,2
1581340453,2,0
1581342268,2,3
1581344184,2,1
1581346118,0,3
1581348026,0,2
1581351929,1,0
1581353779,1,0
1581357935,1,0
1581359824,1,1
1581361722,2,0
1581363625,3,0
1581365627,3,0
1581367489,1,0
1581369418,2,0
1581371324,1,0
1581373245,0,2
1581377106,0,3
1581378991,0,2
1581380945,2,0
1581383179,1,2
1581384998,4,1
1581386914,1,4
1581388824,3,1
1581390801,2,1
1581392680,5,1
1581394850,1,1
1581396770,0,3
1581398686,4,4
1581400586,4,2
1581402536,3,4
1581404798,2,1
1581406820,2,1
1581408751,0,4
1581410675,1,2
1581412581,0,6
1581414512,0,4
1581416433,0,1
1581418399,1,1
1581420336,1,2
1581422194,1,0
1581424138,3,0
1581426260,1,2
1581428179,3,3
1581430114,1,2
1581432040,2,0
1581433942,1,0
1581435887,1,0
1581437774,2,1
1581439698,1,1
1581441629,1,0
1581443533,1,0
1581445520,2,1
1581447392,1,3
1581449292,1,3
1581451422,0,1
1581453374,1,2
1581455321,1,2
1581457216,0,1
1581464896,1,0
1581468734,0,3
1581470672,0,3
1581472630,0,2
1581474552,3,3
1581476740,1,1
1581478577,1,3
1581480509,4,5
1581482417,2,0
1581484335,0,4
1581486273,1,3
1581488205,0,4
1581490099,2,1
1581492033,1,2
1581493959,1,1
1581495859,3,1
1581497791,1,0
1581501888,2,0
1581503782,2,1
1581507621,0,1
1581509809,2,3
1581513645,1,3
1581515565,1,2
1581519387,2,2
1581521316,1,1
1581523433,1,1
1581525395,3,2
1581527558,1,0
1581529461,0,1
1581531378,0,2
1581533314,5,2
1581535215,0,1
1581541042,1,2
1581542905,0,1
1581545068,1,0
1581552739,1,1
1581554655,1,0
1581556576,4,0
1581558508,1,0
1581560415,2,2
1581562353,1,2
1581564284,5,1
1581566618,0,3
1581568446,3,0
1581570547,2,2
1581572448,3,1
1581574680,2,1
1581576505,3,1
1581578493,3,1
1581580340,3,1
1581582299,1,3
1581584201,5,1
1581586143,0,1
1581588189,0,2
1581590176,4,2
1581592110,1,0
1581594067,1,0
1581595974,1,2
1581597882,1,0
1581599790,0,1
1581601944,1,1
1581603868,1,0
1581605825,2,2
1581607776,0,1
1581609937,1,1
1581611774,0,2
1581613698,0,2
1581615618,1,0
1581617546,1,0
1581619485,0,5
1581623296,2,0
1581625231,1,0
1581627155,1,0
1581630978,1,1
1581640818,1,3
1581642808,1,3
1581644669,1,2
1581646573,2,2
1581648496,1,1
1581650417,3,4
1581652337,3,0
1581654290,1,1
1581656179,2,3
1581658096,1,2
1581660089,3,3
1581661950,3,2
1581663922,1,5
1581665800,2,3
1581667708,0,2
1581669645,4,1
1581671538,2,3
1581673456,1,0
1581675395,0,1
1581677298,0,3
1581679252,1,1
1581681137,0,1
1581683055,1,1
1581684979,1,1
1581686894,1,2
1581689026,2,1
1581690972,2,1
1581692913,0,1
1581694828,1,0
1581696736,1,0
1581698655,0,1
1581702499,0,1
1581704426,3,1
1581710212,1,1
1581712121,0,1
1581715954,1,1
1581719775,0,1
1581721753,2,0
1581727696,0,2
1581729654,1,0
1581731533,1,1
1581733454,1,2
1581735388,0,2
1581737295,0,3
1581740182,0,3
1581742131,0,2
1581744022,1,0
1581745936,0,4
1581747874,3,3
1581749783,0,1
1581751960,1,2
1581753920,2,0
1581755795,1,4
1581757714,1,1
1581759877,0,1
1581763748,1,0
1581765626,1,1
1581767558,1,0
1581769479,1,2
1581771384,1,1
1581773303,0,1
1581775488,1,2
1581777395,1,2
1581779326,3,0
1581781247,3,1
1581783196,2,0
1581785066,1,1
1581786986,1,1
1581788945,1,0
1581790861,0,3
1581792753,2,0
1581794699,1,0
1581796602,1,1
1581798507,1,0
1581802867,0,1
1581806905,1,0
1581808819,0,2
1581810750,1,0
1581818721,0,2
1581822558,1,0
1581826349,1,0
1581828327,1,0
1581830189,1,1
1581834033,1,3
1581835948,1,0
1581837874,1,1
1581839791,1,1
1581841699,1,2
1581843882,2,1
1581849624,0,1
1581853488,0,2
1581855385,1,0
1581857565,1,2
1581861389,3,1
1581863296,1,1
1581865502,0,3
1581867376,2,3
1581869325,0,2
1581871224,2,1
1581873141,1,0
1581875075,0,1
1581876977,1,1
1581878898,0,2
1581882734,0,2
1581884669,1,0
1581886591,0,1
1581892572,1,0
1581894517,0,1
1581896415,2,1
1581898336,1,2
1581904093,3,0
1581906026,3,0
1581907929,1,1
1581909855,1,0
1581913707,0,1
1581916578,3,2
1581920443,0,1
1581922335,1,1
1581924269,0,1
1581926192,4,1
1581928116,2,1
1581930092,1,1
1581931954,1,1
1581933795,1,0
1581935775,1,0
1581937726,3,0
1581941544,0,1
1581943468,1,1
1581947573,1,2
1581949458,0,2
1581953298,1,1
1581956431,0,2
1581958339,1,1
1581960283,1,0
1581964096,0,2
1581966311,1,0
1581970097,0,1
1581978054,1,0
1581979944,1,1
1581981861,3,1
1581983832,2,2
1581985723,1,0
1581987899,2,0
1581989821,1,2
1581991968,1,2
1581993858,6,3
1581995785,3,1
1581997735,3,0
1581999618,2,0
1582001534,1,0
1582003484,0,3
1582005376,1,0
1582007299,1,0
1582009483,1,2
1582011431,0,1
1582013333,1,3
1582015222,2,2
1582017165,0,2
1582020994,1,2
1582022920,1,0
1582024814,3,3
1582026770,2,0
1582030575,2,0
1582032514,1,1
1582034687,2,0
1582038517,1,0
1582040418,2,1
1582044259,0,1
1582046193,1,1
1582050018,1,0
1582051955,1,1
1582053880,2,0
1582055816,1,0
1582059868,1,0
1582064066,1,0
1582065888,3,2
1582067781,1,2
1582069736,1,2
1582071612,1,1
1582073529,2,1
1582075484,0,1
1582079290,3,4
1582081501,2,6
1582083394,1,2
1582085327,0,3
1582087220,1,1
1582089158,2,0
1582091056,2,1
1582094915,1,2
1582098737,2,0
1582100669,1,1
1582102576,0,2
1582104528,1,0
1582106484,0,1
1582108336,0,1
1582112187,0,4
1582114111,1,1
1582116015,1,2
1582117941,1,0
1582119872,1,2
1582121774,2,1
1582123697,1,0
1582125626,1,2
1582127533,2,1
1582131407,0,1
1582135408,0,1
1582137372,1,0
1582139329,0,3
1582141241,1,1
1582143140,0,1
1582145073,1,1
1582146991,2,0
1582149153,2,1
1582152993,0,3
1582154894,1,2
1582158013,0,1
1582159952,0,2
1582163777,1,0
1582165984,0,4
1582168009,0,1
1582170034,1,2
1582173876,1,1
1582175791,0,2
1582177946,0,2
1582181811,1,1
1582185908,0,2
1582187778,0,1
1582189715,1,1
1582191622,1,0
1582199546,2,0
1582201466,0,1
1582203398,1,2
1582205301,2,1
1582208182,1,2
1582210106,1,1
1582212059,0,1
1582213939,1,1
1582215860,1,0
1582217798,1,0
1582221884,1,0
1582223778,0,1
1582225961,1,0
1582227857,0,1
1582231718,0,2
1582233620,0,1
1582235551,0,2
1582241294,0,1
1582245424,1,0
1582249219,0,1
1582253060,2,0
1582256917,1,1
1582258815,0,1
1582260749,1,0
1582262682,1,0
1582266853,1,0
1582268800,0,1
1582276649,1,1
1582278542,0,1
1582282345,1,0
1582284262,1,1
1582286193,0,1
1582290360,1,1
1582292193,3,2
1582294110,1,1
1582297980,1,1
1582301778,0,1
1582303727,2,2
1582305615,1,0
1582307553,1,0
1582311397,2,1
1582317393,1,0
1582322201,1,0
1582324099,1,0
1582327218,1,0
1582329133,1,0
1582331086,1,0
1582334894,1,0
1582338989,0,2
1582340909,0,1
1582342822,1,0
1582344754,2,1
1582348579,0,2
1582354338,1,1
1582363965,0,1
1582367772,0,1
1582369717,0,1
1582375472,2,0
1582377375,1,3
1582379294,0,1
1582381228,0,1
1582385052,0,1
1582388893,1,0
1582391058,1,3
1582392973,2,0
1582394908,0,1
1582396826,2,0
1582400667,1,0
1582402593,0,3
1582404499,2,0
1582406426,0,1
1582408336,0,1
1582410274,0,1
1582414091,0,2
1582416988,1,1
1582420816,1,1
1582422735,0,1
1582426576,2,0
1582430677,0,2
1582432590,0,1
1582436418,1,0
1582438355,1,0
1582440256,1,1
1582442177,2,0
1582451773,2,0
1582455926,2,0
1582461615,0,1
1582463547,0,1
1582467377,2,0
1582469308,1,0
1582471214,1,1
1582476973,0,1
1582478894,1,2
1582480993,2,1
1582482992,2,1
1582484906,2,0
1582486814,0,1
1582490658,3,2
1582494512,1,0
1582500268,1,0
1582504092,0,1
1582508185,0,1
1582513948,0,1
1582515857,1,0
1582519712,1,1
1582525483,0,2
1582527396,1,1
1582529291,0,1
1582536275,1,0
1582538212,0,1
1582540141,2,0
1582542298,1,2
1582544191,0,1
1582548019,0,1
1582552178,0,1
1582554054,1,2
1582555955,0,1
1582557864,1,1
1582561700,1,0
1582565800,2,2
1582567711,0,1
1582569726,1,3
1582571564,0,1
1582575382,2,0
1582577314,3,3
1582581176,0,1
1582587080,0,1
1582589068,1,1
1582590991,2,0
1582594816,2,0
1582602510,2,1
