DateTime,AddedIPs,RemovedIPs
1571529164,13,4
1571551489,3,2
1571573792,10,15
1571595873,6,6
1571617935,209,41
1571640031,59,271
1571662093,273,14
1571683936,6,5
1571705780,12,12
1571727756,11,916
1571749739,23,10
1571771804,1377,82
1571793863,5,5
1571815957,6,25
1571838016,4,11
1571859866,6,8
1571881953,20,5
1571904265,13,7
1571926373,17,11
1571948430,7,15
1571970502,7,6
1571992362,5,9
1572014211,6,5
1572036296,11,8
1572058368,14,7
1572080535,4,7
1572102520,5,6
1572124376,11,12
1572146417,8,5
1572168270,7,9
1572190673,12,9
1572212657,9,5
1572234550,8,6
1572256458,7,21
1572278696,16,7
1572300745,9,13
1572322601,5,10
1572344465,8,28
1572366517,24,1378
1572388621,4,6
1572410659,1815,2
1572432804,9672,9
1572454970,4,2
1572477160,6,4
1572499242,16,21
1572521084,6,11
1572543152,9,4
1572565102,5,6
1572587356,8,2
1572609399,6,3
1572631499,1728,11
1572653580,4,7
1572675635,7,3
1572697482,18,7
1572719569,8,3
1572741652,6,5
1572763727,4,3
1572785778,3196,4
1572807771,952,21
1572829707,19,10
1572851588,34,6
1572873446,5,18
1572895483,12,22
1572917536,8,4
1572939449,1,7
1572961541,6,4
1572983573,9,5
1573005674,6,6
1573027971,18,8
1573050029,13,22
1573071873,12,8
1573093946,4,7611
1573116041,10,1242
1573138368,23,7
1573160229,4,5
1573182103,6,3
1573203980,9,6
1573225942,5,2120
1573247792,3,1702
1573269649,46,5
1573291703,72,5
1573313801,67,15
1573335877,49,7
1573357937,3,4
1573380287,6,1760
1573402375,7,2937
1573424682,7,5
1573446754,39,181
1573468605,187,34
1573490688,127,12
1573512558,4,7
1573534575,142,9
1573556693,5,3
1573578780,6,10
1573600857,8,6
1573622913,6,9
1573644777,16,22
1573666840,1368,7
1573689037,112,10
1573710983,5,2
1573733130,11,10
1573755462,5,14
1573777452,1,2
1573799315,9,5
1573821370,4,13
1573843224,10,5
1573865323,9,22
1573887371,8,52
1573909502,7,73
1573931563,3,33
1573953621,4,8
1573975705,6,7
1573997559,2,6
1574019629,2,3
1574041487,6,11
1574063593,4,46
1574085671,13,10
1574107717,2,113
1574129803,3,9
1574151878,1,8
1574173952,6,11
1574195802,4,6
1574217857,4,33
1574239708,5,14
1574261560,6,11
1574283762,6,5
1574305775,18,305
1574327823,8110,5
1574350105,256,8
1574371968,6,4
1574394017,9,12
1574416114,6,6
1574438171,85,4
1574460174,99,1345
1574482130,10,5
1574504193,7,10
1574526069,9,5
1574548098,9,4
1574570183,10,27
1574592277,10,3
1574614346,6,6
1574636187,8,6
1574658125,15,3
1574680368,21,17
1574702429,86,1
1574724276,89,4
1574746334,38,3
1574768175,6,5
1574790055,4,7
1574812178,6,3
1574834171,7,6
1574856372,7,5
1574878349,3,5
1574900444,6,28
1574922510,9,1199
1574944581,6,7176
1574966429,6,5
1574988281,8,4
1575010363,11,8
1575043576,7,90
1575065803,9,75
1575087878,7,7
1575109949,20,9
1575132017,13,12
1575153882,6,3
1575175965,7,5
1575198285,5,66
1575220129,66,5
1575241970,6,5
1575264028,8,366
1575286099,373,485
1575308035,464,95
1575330055,7,110
1575351899,9,40
1575373964,9,8
1575396162,1414,5
1575418378,10,6
1575440449,4635,8
1575462343,7676,6
1575484346,11,3
1575506192,2,6
1575528276,7,8
1575550123,8,9
1575572195,11,6
1575594211,5,5
1575616144,6,11
1575638447,10048,7
1575660535,10617,1
1575682612,6,6
1575704462,12,16
1575726518,9,6
1575748363,5,7
1575770215,14,7
1575792311,9,6
1575814343,12,8
1575836452,3,3
1575858512,11,7
1575880369,6,6
1575902436,12,6
1575924523,11,8
1575946606,7,4
1575968508,38,5
1575990630,7,3
1576012586,12,1
1576034659,17,1523
1576056780,7,6281
1576079069,12,2133
1576100918,86,3
1576122804,21,5
1576145003,3,3
1576166895,5,12
1576188776,7,3
