DateTime,Entries,UniqueIPs
1571424262,432,432
1571446136,437,437
1571468190,437,437
1571501109,434,434
1571523145,433,433
1571545230,427,427
1571567309,432,432
1571589382,430,430
1571611233,672,672
1571633084,671,671
1571655174,670,670
1571677018,677,677
1571698938,675,675
1571720923,675,675
1571743035,673,673
1571765077,2088,2088
1571787149,2087,2087
1571808993,2084,2084
1571831097,2065,2065
1571853387,2057,2057
1571875303,2057,2057
1571897339,2070,2070
1571919615,2062,2062
1571941481,2052,2052
1571963567,2053,2053
1571985657,2052,2052
1572007984,2050,2050
1572030098,2053,2053
1572052097,2054,2054
1572074220,2054,2054
1572096281,2055,2055
1572118377,2055,2055
1572140427,2058,2058
1572162276,2066,2066
1572184357,2070,2070
1572217502,2072,2072
1572239390,2076,2076
1572261428,2075,2075
1572283271,2072,2072
1572305313,2071,2071
1572327156,2070,2070
1572349015,2068,2068
1572371066,652,652
1572392938,659,659
1572414973,660,660
1572437104,658,658
1572459164,657,657
1572481239,654,654
1572503293,656,656
1572525152,654,654
1572547214,655,655
1572569301,657,657
1572591237,658,658
1572613344,657,657
1572635325,652,652
1572657393,658,658
1572679255,656,656
1572701573,656,656
1572723656,653,653
1572745719,653,653
1572767777,654,654
1572789810,5721,5721
1572811966,6092,6092
1572834034,6291,6291
1572855935,6293,6293
1572878002,6292,6292
1572900040,6290,6290
1572922126,6289,6289
1572944209,6290,6290
1572966309,6287,6287
1572988338,6282,6282
1573010449,6280,6280
1573032798,6274,6274
1573054996,6249,6249
1573077162,6242,6242
1573099448,6242,6242
1573121331,6244,6244
1573143396,6246,6246
1573165385,6247,6247
1573187318,6247,6247
1573209164,6246,6246
1573231243,6250,6250
1573253327,6251,6251
1573275374,6253,6253
1573297487,6254,6254
1573319811,6254,6254
1573341861,6255,6255
1573363959,6253,6253
1573385814,3009,3009
1573407855,593,593
1573429714,591,591
1573451570,591,591
1573473452,594,594
1573495419,743,743
1573517563,749,749
1573539637,751,751
1573561490,754,754
1573583582,757,757
1573605632,756,756
1573627716,756,756
1573649777,757,757
1573682931,2212,2212
1573705015,2537,2537
1573727059,2537,2537
1573749144,2535,2535
1573771227,2534,2534
1573793306,2546,2546
1573815175,2541,2541
1573837433,2537,2537
1573859327,2534,2534
1573881638,2532,2532
1573903696,2535,2535
1573925564,2530,2530
1573947617,2530,2530
