DateTime,AddedIPs,RemovedIPs
1581654291,4,3
1581656181,7,6
1581658121,11,8
1581661250,4,6
1581663137,3,3
1581665069,3,3
1581666975,6,6
1581668891,7,3
1581671090,9,8
1581672974,4,11
1581674934,5,5
1581676817,1,4
1581678761,3,1
1581680660,6,6
1581682605,5,7
1581684495,2,2
1581686442,4,4
1581688365,6,2
1581690267,5,5
1581692191,5,6
1581694118,4,1
1581696272,8,5
1581698179,4,8
1581700160,7,3
1581702037,4,3
1581703942,1,4
1581705876,5,2
1581707789,5,9
1581709708,2,5
1581711658,6,3
1581713559,12,6
1581715456,4,9
1581717397,8,4
1581719306,2,5
1581721559,8,6
1581723377,3,4
1581725332,9,3
1581727229,4,5
1581729144,4,5
1581731078,6,5
1581733034,4,5
1581734907,5,6
1581736830,5,8
1581738741,2,6
1581740720,8,4
1581742594,3,7
1581744499,1,11
1581747616,10,4
1581749550,5,3
1581751519,12,4
1581753389,8,5
1581755313,13,7
1581757389,10,9
1581759406,9,4
1581761309,8,5
1581763215,16,1
1581765155,7,3
1581767081,8,7
1581769234,7,4
1581771134,4,3
1581773070,8,3
1581774971,12,6
1581776891,9,6
1581779100,10,4
1581781030,7,4
1581782896,5,8
1581784816,7,4
1581786751,4,8
1581788653,3,3
1581790598,5,2
1581792511,6,4
1581794415,4,6
1581796358,3,1
1581798269,8,6
1581800176,10,12
1581802095,7,6
1581804264,5,6
1581806186,7,3
1581808366,4,7
1581810272,10,7
1581812194,6,6
1581814117,8,3
1581816015,3,6
1581817934,7,5
1581819958,4,5
1581821774,5,6
1581823731,3,2
1581825811,6,3
1581827672,2,8
1581829716,3,3
1581831625,8,3
1581833550,7,6
1581835479,7,5
1581837408,2,11
1581839301,5,7
1581841242,10,14
1581843154,4,10
1581845062,7,7
1581846991,8,11
1581848896,3,15
1581851106,7,9
1581852973,8,6
1581854911,4,4
1581856816,9,9
1581858737,6,8
1581860673,5,7
1581862576,5,10
1581864760,5,11
1581866668,1,9
1581868602,3,3
1581870512,6,8
1581872686,3,4
1581874572,6,4
1581876512,8,4
1581878416,7,7
1581880336,3,3
1581882274,8,2
1581884177,7,9
1581886097,5,10
1581888030,5,8
1581889950,9,3
1581891866,5,6
1581893793,6,4
1581895698,10,12
1581898000,10,6
1581900022,9,8
1581901942,8,3
1581903877,5,9
1581905782,5,4
1581907699,4,3
1581909629,7,4
1581911544,5,6
1581913462,8,2
1581915412,3,2
1581917295,10,7
1581919431,2,9
1581921374,2,8
1581923185,6,2
1581925018,2,1
1581926919,3,12
1581928835,10,4
1581930776,7,4
1581932698,5,10
1581934633,5,5
1581936521,5,6
1581938441,5,6
1581940342,11,6
1581942277,7,7
1581944210,6,6
1581946128,5,6
1581948370,3,6
1581950181,10,4
1581952145,5,3
1581954040,6,4
1581956005,7,1
1581957880,5,4
1581959787,8,5
1581961729,3,7
1581963648,6,6
1581965543,4,6
1581967486,7,7
1581969405,6,6
1581971308,7,5
1581973492,9,6
1581975390,7,6
1581977362,4,10
1581979223,7,5
1581981147,4,11
1581983083,1,4
1581984988,12,10
1581986921,2,10
1581988873,4,7
1581990781,4,4
1581992684,5,5
1581994576,2,5
1581996509,7,6
1581998690,8,9
1582000596,7,4
1582002548,4,6
1582004416,6,7
1582006359,6,2
1582008256,5,2
1582010208,6,6
1582012130,5,3
1582014032,4,3
1582015939,5,9
1582017909,9,8
1582019774,6,5
1582021691,2,6
1582023843,6,4
1582025794,3,10
1582027694,5,5
1582029613,3,8
1582031557,6,7
1582033458,3,3
1582035375,9,10
1582037326,6,3
1582039214,4,7
1582041132,5,4
1582043122,7,10
1582045004,6,5
1582046898,3,5
1582049086,5,5
1582050996,6,6
1582052912,8,5
1582054821,9,7
1582056753,7,5
1582058656,7,8
1582060606,5,10
1582062498,8,5
1582064442,4,3
1582066400,4,8
1582068280,7,3
1582070228,3,1
1582072160,4,13
1582074368,4,3
1582076197,5,4
1582078121,9,3
1582080021,6,4
1582081958,5,2
1582083867,6,10
1582085799,4,7
1582087717,4,5
1582089624,6,5
1582091537,6,7
1582093477,3,3
1582095391,6,8
1582097325,11,5
1582099432,2,4
1582101402,3,5
1582103314,3,9
1582105241,6,5
1582107146,1,5
1582109070,2,5
1582110992,3,3
1582112919,7,4
1582114835,2,5
1582116746,3,1
1582118678,3,7
1582120628,5,6
1582122545,6,7
1582124686,8,7
1582126579,4,2
1582128512,5,10
1582130418,6,4
1582132366,3,4
1582134270,2,4
1582136181,3,6
1582138097,7,6
1582140048,3,9
1582141938,2,7
1582143866,4,6
1582145791,8,6
1582147695,5,9
1582149813,6,8
1582151776,4,1
1582153963,9,7
1582155859,3,5
1582157790,1,4
1582159713,7,4
1582161618,8,4
1582163566,3,6
1582165476,4,7
