DateTime,AddedIPs,RemovedIPs
1581375203,0,1
1581377111,0,1
1581378993,3,2
1581380949,1,0
1581383180,2,0
1581385000,1,0
1581386919,2,0
1581388825,6,2
1581390802,0,1
1581392681,2,0
1581394852,0,1
1581396772,2,1
1581398688,1,0
1581400590,4,2
1581404800,3,3
1581406822,1,6
1581410743,0,5
1581412583,0,2
1581414559,0,7
1581416439,0,1
1581418400,0,3
1581422195,0,5
1581424140,48,0
1581426310,0,6
1581428180,0,6
1581432041,1,1
1581435888,0,4
1581437776,0,1
1581439699,1,6
1581441630,0,1
1581443534,1,0
1581445524,0,1
1581447394,1,0
1581449293,1,0
1581451451,1,0
1581455326,1,0
1581457221,0,3
1581459141,0,1
1581464897,0,3
1581468735,0,3
1581470674,0,1
1581472631,0,2
1581474556,2,0
1581476745,0,6
1581478581,1,2
1581482419,0,2
1581484336,1,1
1581486276,0,4
1581490103,54,3
1581492035,803,1
1581495861,1,0
1581501917,1,0
1581505728,1,0
1581509815,1,0
1581515567,2,0
1581517490,0,1
1581519388,1,0
1581521317,1,0
1581523439,2,0
1581525396,1,0
1581527559,0,1
1581529465,1,1
1581535218,2,1
1581537138,1,1
1581541044,0,1
1581545096,2,0
1581546982,1,0
1581550846,2,0
1581554657,1,0
1581558509,1,0
1581560416,0,1
1581562354,0,1
1581564285,1,0
1581566621,1,0
1581568451,2,0
1581570549,1,1
1581572449,2,0
1581576510,3,35
1581578495,0,872
1581580345,51,0
1581582306,0,1
1581584202,2,0
1581588227,2,1
1581590177,2,0
1581592111,0,1
1581594069,3,0
1581595976,0,1
1581597885,2,0
1581599792,1,0
1581601956,2,2
1581603871,1,0
1581605827,2,1
1581607788,0,1
1581609959,2,2
1581611775,0,1
1581615619,1,1
1581617548,1,0
1581621391,1,2
1581623297,2,0
1581625233,1,0
1581629064,2,0
1581630981,3,2
1581635142,0,1
1581636983,1,2
1581640819,1,1
1581644673,1,1
1581646575,3,0
1581648498,2,0
1581650418,1,1
1581652338,0,1
1581654292,1,2
1581656181,1,1
1581661251,0,3
1581663138,0,1
1581671093,2,56
