DateTime,AddedIPs,RemovedIPs
1581639177,1,4
1581641062,0,5
1581642996,2,5
1581644898,1,3
1581646841,2,1
1581648758,3,8
1581650661,1,1
1581652634,2,4
1581654525,0,2
1581656629,1,0
1581658639,2,1
1581660501,4,6
1581662425,6,4
1581664345,2,1
1581666263,3,5
1581668245,4,1
1581670125,0,2
1581672042,3,2
1581673936,0,2
1581675857,0,3
1581677825,3,2
1581679696,1,3
1581682605,7,3
1581684495,2,2
1581686443,2,1
1581688366,3,0
1581690268,3,3
1581692192,2,3
1581694119,1,0
1581696284,1,1
1581698180,2,1
1581700178,1,5
1581702041,1,0
1581703943,2,3
1581705876,1,7
1581707789,0,6
1581711659,4,2
1581713560,1,1
1581715456,3,0
1581717398,1,6
1581719306,0,2
1581721560,3,6
1581723378,2,5
1581725333,4,1
1581727231,3,0
1581729145,3,1
1581731078,1,2
1581733035,1,1
1581734908,2,4
1581736831,4,1
1581738741,2,1
1581740721,5,1
1581742596,1,1
1581744509,1,1
1581747617,3,10
1581749551,3,2
1581751520,2,3
1581753389,3,4
1581755315,1,1
1581757427,5,1
1581759407,2,2
1581761310,1,0
1581763216,1,2
1581765155,3,2
1581767082,1,2
1581769234,0,5
1581771135,4,2
1581773070,4,3
1581774972,2,2
1581776892,3,3
1581779138,2,2
1581781031,2,1
1581782897,3,2
1581784817,1,1
1581786752,1,1
1581788654,3,1
1581790599,1,2
1581792512,1,1
1581794416,10,0
1581796359,3,1
1581798270,5,4
1581800177,4,2
1581802096,1,1
1581804287,2,1
1581806187,3,0
1581808367,3,3
1581810273,4,2
1581812194,5,4
1581814118,5,3
1581816016,4,3
1581817934,2,1
1581819959,1,1
1581821775,3,2
1581823732,2,5
1581825842,3,2
1581827673,3,4
1581829716,2,1
1581831625,3,3
1581833551,2,1
1581835479,2,3
1581837408,1,1
1581839302,1,2
1581841242,5,3
1581843154,3,3
1581845063,4,3
1581846992,1,2
1581848896,1,1
1581851154,12,2
1581852974,8,2
1581854911,2,0
1581856817,2,4
1581858738,2,2
1581860673,4,3
1581862577,1,2
1581864762,2,3
1581866669,3,3
1581868602,2,0
1581870513,5,3
1581872703,3,1
1581874573,7,1
1581876513,4,3
1581878417,1,1
1581880336,8,7
1581882275,7,6
1581884178,7,4
1581886099,9,2
1581888031,1,5
1581889951,3,2
1581891866,2,2
1581893793,2,3
1581895699,5,4
1581898005,2,5
1581900024,6,6
1581901942,4,2
1581903879,6,3
1581905783,2,1
1581907700,2,3
1581909630,1,3
1581911546,8,2
1581913463,3,3
1581915413,6,2
1581917296,4,4
1581919473,5,1
1581921376,3,3
1581923186,6,0
1581925019,6,2
1581926920,9,4
1581928835,6,4
1581930777,4,3
1581932700,3,2
1581934634,5,0
1581936522,2,7
1581938441,5,11
1581940343,3,5
1581942278,2,1
1581944212,3,3
1581946130,3,1
1581948372,7,4
1581950182,1,0
1581952146,0,2
1581954041,1,4
1581956006,3,4
1581957881,1,3
1581959789,6,3
1581961730,4,8
1581963649,3,3
1581965544,8,3
1581967486,3,7
1581969406,2,8
1581971309,0,8
1581973493,6,6
1581975391,1,2
1581977363,0,3
1581979224,3,1
1581981148,5,4
1581983084,5,3
1581984989,1,1
1581986921,3,6
1581988879,2,5
1581990782,3,5
1581992685,3,2
1581994577,1,3
1581996510,3,3
1581998703,10,5
1582000597,1,7
1582002549,4,4
1582004416,5,4
1582006360,5,4
1582008257,3,5
1582010210,5,5
1582012131,1,9
1582014034,4,6
1582015940,3,7
1582017910,3,3
1582019775,2,1
1582021692,3,7
1582023885,8,3
1582025795,2,2
1582027694,4,4
1582029614,3,3
1582031558,5,2
1582033459,2,7
1582035375,7,2
1582037327,0,1
1582039215,1,1
1582041133,6,1
1582043123,4,3
1582045005,3,3
1582046899,2,3
1582049095,1,5
1582051020,2,5
1582052913,3,7
1582054821,2,1
1582056754,3,2
1582058657,2,1
1582060607,3,6
1582062499,1,0
1582064443,1,1
1582066401,3,5
1582068281,2,4
1582070229,2,4
1582072161,4,1
1582074369,4,3
1582076199,2,1
1582078122,1,4
1582080022,2,3
1582081959,3,1
1582083868,3,6
1582085800,3,6
1582087718,5,3
1582089624,4,4
1582091538,2,6
1582093478,3,4
1582095392,3,3
1582097325,2,3
1582099475,1,5
1582101403,2,0
1582103315,3,6
1582105243,2,1
1582107147,1,2
1582109070,1,4
1582110993,1,6
1582112920,4,3
1582114836,1,5
1582116746,1,5
1582118678,0,1
1582120629,1,7
1582122547,0,2
1582124708,1,1
1582126580,1,4
1582128513,5,5
1582130419,5,3
1582132366,2,2
1582134271,1,2
1582136182,3,1
1582138098,0,2
1582140049,6,2
1582141939,1,4
