DateTime,AddedIPs,RemovedIPs
1567421596,1,0
1567433615,0,1
1567472623,0,1
1567491872,0,1
1567493812,1,0
1567503855,1,0
1567507746,0,1
1567525479,1,0
1567531463,1,0
1567567490,1,0
1567579729,0,1
1567584298,1,0
1567590073,0,1
1567596063,1,0
1567597980,1,0
1567609788,1,0
1567611671,0,1
1567617662,0,1
1567654609,0,1
1567670008,0,1
1567675712,1,0
1567683666,0,2
1567689669,1,0
1567697341,1,1
1567745814,1,0
1567763622,0,1
1567771547,1,0
1567775580,0,1
1567783472,0,1
1567832715,0,1
1567856654,0,1
1567920290,1,0
1567947786,1,0
1567953642,1,0
1568005363,1,0
1568007165,0,1
1568033557,0,1
1568039307,0,1
1568057295,1,0
1568078898,1,0
1568082047,1,0
1568091176,0,1
1568142770,0,1
1568166034,0,1
1568168019,1,1
1568178284,1,0
1568182372,1,0
1568190288,1,0
1568200602,1,0
1568254359,0,1
1568264724,0,1
1568268750,0,1
1568276678,0,1
1568284851,0,1
1568339325,1,0
1568393817,86,0
1568427164,0,1
1568438691,1,0
1568446619,1,0
1568480691,0,86
1568523893,0,1
1568531547,0,1
1568606710,1,0
1568618471,1,0
1568648445,1,0
1568693321,0,1
1568704858,0,1
1568724594,1,0
1568779946,0,1
1568783810,1,0
1568811409,0,1
1568868533,0,1
1568880768,1,0
1568913170,1,0
1568967162,0,1
1568996980,1,0
1568999112,0,1
1569082131,0,1
1569159148,1,0
1569211554,1,0
1569219672,1,0
1569221587,1,0
1569247590,0,1
1569297925,0,1
1569306046,0,1
1569313225,1,1
1569397473,1,0
1569399484,0,1
1569456539,81,0
1569462299,1,0
1569483888,0,1
1569543666,0,81
1569545569,0,1
1569550109,1,0
1569569559,1,0
1569637240,0,1
1569652829,0,1
1569673957,1,0
1569675895,6,0
1569678025,373,0
1569764425,0,352
1569787992,0,28
1570241560,1,0
1570328720,0,1
1570764298,1,0
1570787570,1,0
1570854039,0,1
1570877686,0,1
1571162925,1,0
1571170830,1,0
1571250289,0,1
1571254130,0,1
1571584831,1,0
1571670320,0,1
1571714187,1,0
1571716131,1,0
1571734128,1,0
1571800109,0,1
1571802055,0,1
1571819321,0,1
1571982980,1,0
1572067717,0,1
1572106376,1,0
1572121250,1,0
1572193987,0,1
1572205736,0,1
1572410416,1,0
1572416446,1,0
1572492059,1,0
1572497827,0,1
1572503779,0,1
1572555763,1,0
1572581073,0,1
1572615642,1,0
1572621639,1,0
1572641554,0,1
1572651382,1,0
1572691721,1,0
1572701575,0,1
1572709240,0,1
1572738747,0,1
1572748604,1,0
1572772112,2,0
1572777865,0,1
1572793721,1,0
1572835960,0,1
1572845802,1,0
1572857348,0,1
1572859303,0,1
1572881226,0,1
1572931241,0,1
1572979482,1,0
1572981408,1,0
1573004908,1,0
1573066603,0,2
1573090108,0,1
1573096818,1,0
