DateTime,Entries,UniqueIPs
1567421596,4,4
1567433615,3,3
1567472623,2,2
1567491872,1,1
1567493812,2,2
1567503855,3,3
1567507746,2,2
1567525479,3,3
1567531463,4,4
1567567490,5,5
1567579729,4,4
1567584298,5,5
1567590073,4,4
1567596063,5,5
1567597980,6,6
1567609788,7,7
1567611671,6,6
1567617662,5,5
1567654609,4,4
1567670008,3,3
1567675712,4,4
1567683666,2,2
1567689669,3,3
1567697341,3,3
1567745814,4,4
1567763622,3,3
1567771547,4,4
1567775580,3,3
1567783472,2,2
1567832715,1,1
1567856654,0,0
1567920290,1,1
1567947786,2,2
1567953642,3,3
1568005363,4,4
1568007165,3,3
1568033557,2,2
1568039307,1,1
1568057295,2,2
1568078898,3,3
1568082047,4,4
1568091176,3,3
1568142770,2,2
1568166034,1,1
1568168019,1,1
1568178284,2,2
1568182372,3,3
1568190288,4,4
1568200602,5,5
1568254359,4,4
1568264724,3,3
1568268750,2,2
1568276678,1,1
1568284851,0,0
1568339325,1,1
1568393817,87,87
1568427164,86,86
1568438691,87,87
1568446619,88,88
1568480691,2,2
1568523893,1,1
1568531547,0,0
1568606710,1,1
1568618471,2,2
1568648445,3,3
1568693321,2,2
1568704858,1,1
1568724594,2,2
1568779946,1,1
1568783810,2,2
1568811409,1,1
1568868533,0,0
1568880768,1,1
1568913170,2,2
1568967162,1,1
1568996980,2,2
1568999112,1,1
1569082131,0,0
1569159148,1,1
1569211554,2,2
1569219672,3,3
1569221587,4,4
1569247590,3,3
1569297925,2,2
1569306046,1,1
1569313225,1,1
1569397473,2,2
1569399484,1,1
1569456539,82,82
1569462299,83,83
1569483888,82,82
1569543666,1,1
1569545569,0,0
1569550109,1,1
1569569559,2,2
1569637240,1,1
1569652829,0,0
1569673957,1,1
1569675895,7,7
1569678025,380,380
1569764425,28,28
1569787992,0,0
1570241560,1,1
1570328720,0,0
1570764298,1,1
1570787570,2,2
1570854039,1,1
1570877686,0,0
1571162925,1,1
1571170830,2,2
1571250289,1,1
1571254130,0,0
1571584831,1,1
1571670320,0,0
1571714187,1,1
1571716131,2,2
1571734128,3,3
1571800109,2,2
1571802055,1,1
1571819321,0,0
1571982980,1,1
1572067717,0,0
1572106376,1,1
1572121250,2,2
1572193987,1,1
1572205736,0,0
1572410416,1,1
1572416446,2,2
1572492059,3,3
1572497827,2,2
1572503779,1,1
1572555763,2,2
1572581073,1,1
1572615642,2,2
1572621639,3,3
1572641554,2,2
1572651382,3,3
1572691721,4,4
1572701575,3,3
1572709240,2,2
1572738747,1,1
1572748604,2,2
1572772112,4,4
1572777865,3,3
1572793721,4,4
1572835960,3,3
1572845802,4,4
1572857348,3,3
1572859303,2,2
1572881226,1,1
1572931241,0,0
1572979482,1,1
1572981408,2,2
1573004908,3,3
1573066603,1,1
1573090108,0,0
1573096818,1,1
1573181554,0,0
1573282602,1,1
1573367571,0,0
1573473453,1,1
1573558655,0,0
1573572302,1,1
1573584277,2,2
1573595800,3,3
1573655077,4,4
1573659408,3,3
1573673065,2,2
1573682938,1,1
1573733136,2,2
1573741006,1,1
1573817811,0,0
1573825215,1,1
1573861959,2,2
1573911622,1,1
1573947393,0,0
1574348219,1,1
1574433676,0,0
1574521731,1,1
1574539944,2,2
1574563939,3,3
1574609794,2,2
1574627078,1,1
1574689477,0,0
1574760491,1,1
1574773750,2,2
1574832078,3,3
1574860411,2,2
1574917984,3,3
1574919885,2,2
1574928349,5,5
1574969329,4,4
1575004136,3,3
1575013706,1,1
1575228496,1,1
1575314697,0,0
1575811000,1,1
1575895983,0,0
1576657729,1,1
1576659689,2,2
1576893133,1,1
1576922717,2,2
1576981247,1,1
1577006653,0,0
1577106145,1,1
1577146347,2,2
1577193432,1,1
1577230601,0,0
1577245456,1,1
1577255571,2,2
1577259620,3,3
1577263478,5,5
1577265398,6,6
1577267306,7,7
1577269234,8,8
1577273062,10,10
1577275001,11,11
1577279068,12,12
1577281244,13,13
1577283144,14,14
1577285080,16,16
1577287004,19,19
1577299007,20,20
1577310776,22,22
1577312803,23,23
1577314604,25,25
1577326587,27,27
1577332347,26,26
1577338113,28,28
1577342211,28,28
1577346056,27,27
1577348228,29,29
1577350384,29,29
1577352314,30,30
1577356120,31,31
1577358372,33,33
1577360452,35,35
1577362371,35,35
1577364274,36,36
1577366183,36,36
1577368146,36,36
1577370062,38,38
1577371967,39,39
1577373879,36,36
1577383970,37,37
1577385862,38,38
1577387808,40,40
1577389740,42,42
1577391622,44,44
1577393575,46,46
1577395471,48,48
1577397392,48,48
1577399309,49,49
1577401552,48,48
1577413222,47,47
1577423140,46,46
1577427141,45,45
1577433150,43,43
1577436996,42,42
1577438898,41,41
1577441145,39,39
1577443226,37,37
1577445397,35,35
1577447550,34,34
1577449499,31,31
1577451395,29,29
1577453304,27,27
1577457403,24,24
1577459345,23,23
1577461268,22,22
1577463159,21,21
1577468916,20,20
1577470863,18,18
1577472766,17,17
1577474702,15,15
1577476587,13,13
1577478504,11,11
1577480684,8,8
1577482585,6,6
1577484531,3,3
1577486446,1,1
1577532025,1,1
1577557455,2,2
1577561290,3,3
1577565194,5,5
1577618658,4,4
1577644361,3,3
1577648203,2,2
1577701244,1,1
1577786196,0,0
1577923009,1,1
1577928808,2,2
1577934502,3,3
1577938586,4,4
1577940494,5,5
1577944344,6,6
1577946252,7,7
1577948193,9,9
1577956368,10,10
1577981840,11,11
1577985640,13,13
1577989496,14,14
1577991401,15,15
1577993596,16,16
1578003193,17,17
1578005091,19,19
1578011075,18,18
1578014909,17,17
1578019279,16,16
1578023068,15,15
1578027176,14,14
1578030981,13,13
1578032959,12,12
1578035156,10,10
1578042762,9,9
1578052346,10,10
1578058107,11,11
1578062924,12,12
1578068937,11,11
1578071092,10,10
1578073009,9,9
1578074920,8,8
1578076824,7,7
1578078787,6,6
1578082838,7,7
1578086685,8,8
1578088597,8,8
1578090519,8,8
1578092775,8,8
1578138578,7,7
1578144278,6,6
1578148841,5,5
1578170446,4,4
1578172350,3,3
1578174279,2,2
1578176197,1,1
1578178354,0,0
1578190589,1,1
1578198254,2,2
1578207134,3,3
1578213152,4,4
1578221054,5,5
1578277241,4,4
1578284894,3,3
1578293543,2,2
1578299556,1,1
1578305328,0,0
1578364813,2,2
1578367012,3,3
1578378494,4,4
1578386174,5,5
1578392235,6,6
1578396313,7,7
1578400095,9,9
1578402326,13,13
1578404193,15,15
1578406105,18,18
1578408032,20,20
1578426263,21,21
1578428199,22,22
1578430120,23,23
1578432304,24,24
1578436106,25,25
1578438432,26,26
1578440434,27,27
1578442371,28,28
1578452183,26,26
1578463983,25,25
1578473810,24,24
1578480024,23,23
1578483883,22,22
1578485804,21,21
1578487731,20,20
1578489629,16,16
1578491634,15,15
1578493506,13,13
1578495392,12,12
1578503662,13,13
1578513152,11,11
1578515093,10,10
