DateTime,AddedIPs,RemovedIPs
1581652636,13,1
1581654525,10,1
1581656714,11,10
1581658640,19,10
1581660502,8,9
1581662426,19,6
1581664346,15,1
1581666264,16,13
1581668246,14,9
1581670136,9,5
1581672043,3,1
1581673937,6,16
1581675858,7,11
1581677826,11,27
1581679697,2,21
1581682606,5,21
1581684496,4,3
1581686444,5,3
1581688367,2,0
1581690269,4,3
1581692193,2,3
1581694120,2,13
1581696290,4,6
1581698182,5,8
1581700207,5,11
1581702059,5,10
1581703945,3,9
1581705878,4,7
1581707791,10,21
1581709711,15,13
1581711690,10,11
1581713567,7,7
1581715457,6,14
1581717399,10,9
1581719307,11,7
1581721561,9,15
1581723379,6,17
1581725334,5,18
1581727232,4,19
1581729146,5,12
1581731079,5,19
1581733036,9,9
1581734909,6,17
1581736832,10,18
1581738742,16,11
1581740722,14,16
1581742597,11,11
1581744510,10,16
1581746538,12,15
1581748367,9,10
1581750271,4,21
1581752209,9,19
1581754093,10,14
1581756023,9,12
1581757958,4,4
1581759880,11,9
1581761805,9,3
1581763750,24,14
1581765628,22,8
1581767560,15,2
1581769481,18,4
1581771385,7,3
1581773304,1,4
1581775490,1,3
1581777397,1,2
1581779327,9,2
1581781249,4,5
1581783198,4,2
1581785067,6,4
1581786987,5,6
1581788947,7,3
1581790864,9,2
1581792755,5,6
1581794700,3,14
1581796604,7,13
1581798508,9,7
1581800737,1,9
1581802869,8,10
1581804990,7,10
1581806907,6,11
1581808821,5,5
1581810752,10,6
1581812679,4,4
1581814602,2,3
1581816502,1,6
1581818726,1,4
1581820601,1,7
1581822560,8,6
1581824447,18,16
1581826351,16,12
1581828330,14,12
1581830191,2,11
1581832108,9,12
1581834034,2,9
1581835949,5,5
1581837875,4,9
1581839792,0,10
1581841701,2,12
1581843885,1,8
1581845780,1,8
1581847721,18,7
1581849627,27,18
1581851548,49,22
1581853489,34,18
1581855387,12,20
1581857566,7,19
1581859474,5,0
1581861391,3,0
1581863297,16,0
1581865506,5,10
1581867378,5,5
1581869326,6,6
1581871243,15,5
1581873144,14,6
1581875078,22,8
1581876979,14,7
1581878900,15,2
1581880832,13,4
1581882736,15,9
1581884671,12,10
1581886593,24,1
1581888498,16,9
1581890688,13,4
1581892575,14,6
1581894519,11,4
1581896417,16,9
1581898338,12,7
1581900274,10,3
1581902176,8,1
1581904096,6,1
1581906028,4,0
1581907932,6,1
1581909857,6,18
1581911788,2,14
1581913709,6,19
1581916580,9,4
1581918500,9,10
1581920445,9,3
1581922337,8,3
1581924272,8,4
1581926194,8,0
1581928118,1,2
1581930162,0,1
1581932172,1,1
1581934139,0,18
1581936022,5,26
1581937940,5,46
1581939870,6,22
1581941786,6,10
1581943698,7,5
1581945674,5,7
1581947575,5,4
1581949460,0,8
1581951397,3,4
1581953300,16,12
1581956433,9,13
1581958341,7,14
1581960285,4,16
1581962200,11,19
1581964099,12,6
1581966317,9,16
1581968198,3,15
1581970099,3,10
1581972021,3,21
1581974215,2,25
1581976109,4,14
1581978057,3,15
1581979946,2,17
1581981863,4,19
1581983835,4,15
1581985725,3,13
1581987949,0,10
1581989824,0,6
1581991970,0,4
1581993861,1,9
1581995787,5,7
1581997738,4,4
1581999620,22,7
1582001537,18,10
1582003486,18,7
1582005379,13,10
1582007300,19,7
1582009490,20,12
1582011433,20,12
1582013335,16,5
1582015224,29,0
1582017166,17,1
1582019060,13,0
1582020995,16,2
1582022921,12,5
1582024816,10,7
1582026772,11,10
1582028710,15,2
1582030576,14,6
1582032515,13,4
1582034688,13,5
1582036628,7,1
1582038519,3,7
1582040420,8,13
1582042356,7,5
1582044261,17,9
1582046194,10,3
1582048118,10,12
1582050020,8,10
1582051958,4,9
1582053881,7,6
1582055819,7,1
1582057698,5,5
1582059889,9,4
1582061785,15,5
1582064069,14,2
1582065891,13,3
1582067782,52,6
1582069738,24,2
1582071613,15,4
1582073562,9,0
1582075485,16,0
1582077393,17,0
1582079291,18,0
1582081523,15,4
1582083396,10,3
1582085328,12,5
1582087222,11,15
1582089160,14,15
1582091059,20,10
1582092978,16,16
1582094916,23,10
1582096814,29,9
1582098739,21,12
1582100671,18,13
1582102578,20,14
1582104530,13,10
1582106543,13,10
1582108574,11,11
1582110525,27,7
1582112426,19,6
1582114351,29,10
1582116272,25,8
1582118177,17,10
1582120097,16,10
1582122037,6,12
1582123940,3,0
1582125861,10,3
1582127786,13,4
1582129698,9,4
1582132600,15,6
1582134506,10,5
1582136428,7,5
1582138337,12,1
1582140259,5,4
1582142194,0,5
1582144093,4,3
1582146198,2,0
1582148174,2,5
1582150138,1,4
1582152012,1,2
1582154003,15,20
1582155861,6,18
1582157793,4,14
1582159715,3,7
1582161620,4,12
1582163568,1,7
1582165478,1,13
1582167377,2,20
1582169315,16,13
1582171550,17,23
1582173374,19,21
1582175308,28,20
1582177234,22,26
1582179138,15,18
1582181076,16,28
1582182978,11,28
1582185146,17,23
1582187058,16,22
1582188994,15,19
1582190902,9,9
1582193158,12,7
1582194977,10,4
1582196912,22,25
1582198842,21,17
1582200744,16,15
1582202682,21,21
1582204646,17,14
1582206500,16,6
1582208435,13,8
