DateTime,AddedIPs,RemovedIPs
1579364425,4,2
1579365150,4,0
1579365871,1,3
1579366583,5,2
1579367316,3,0
1579368025,3,0
1579368761,1,4
1579369467,1,0
1579370188,2,0
1579370907,0,2
1579371623,1,1
1579372347,0,2
1579373065,1,4
1579373782,1,2
1579374503,3,7
1579375222,2,0
1579375952,3,5
1579376667,1,0
1579377382,4,3
1579378120,1,0
1579378827,1,3
1579379547,5,0
1579380264,0,2
1579380986,1,3
1579381710,0,3
1579382422,2,3
1579383152,0,1
1579383876,3,3
1579384572,2,2
1579385287,2,1
1579386013,4,4
1579386742,4,0
1579387469,3,5
1579388166,1,0
1579388915,1,3
1579389625,2,2
1579390345,4,1
1579391064,1,0
1579391805,0,1
1579394186,12,15
1579394908,3,6
1579395659,2,4
1579396345,3,0
1579397066,8,5
1579397782,1,4
1579398509,5,0
1579399223,0,7
1579399950,4,4
1579400664,5,3
1579401382,10,7
1579402113,5,8
1579402828,6,6
1579403552,6,9
1579404302,1,3
1579404981,8,1
1579405711,4,3
1579406425,3,3
1579407146,6,6
1579407874,3,6
1579408582,3,3
1579409311,2,3
1579410029,1,5
1579416502,14,17
1579423710,21,19
1579431634,30,22
1579438825,19,9
1579446041,19,20
1579453225,20,21
1579461140,18,14
1579468109,23,27
1579475541,19,22
1579482732,17,24
1579490177,43,57
1579496915,33,28
1579504584,15,20
1579512006,20,15
1579519208,14,19
1579527142,20,28
1579534585,22,19
1579541287,18,22
1579548765,23,21
1579556652,24,12
1579563394,16,18
1579571315,30,34
1579578727,57,52
1579586166,24,30
1579593370,19,20
1579600575,23,18
1579608021,20,28
1579615942,27,18
1579622902,22,21
1579630109,18,15
1579637563,21,23
1579644735,14,22
1579652649,18,23
1579659853,31,32
1579667068,55,56
1579674253,22,20
1579682170,19,18
1579689616,17,20
1579696329,14,26
1579703535,20,25
1579710820,21,24
1579718664,20,23
1579725862,24,31
1579733062,17,25
1579740264,18,24
1579747471,40,50
1579754674,38,44
1579761877,19,25
1579769293,15,20
1579776517,25,17
1579784435,17,20
1579791614,17,24
1579798832,18,20
1579806523,16,13
1579813690,23,15
1579821148,24,19
1579828330,18,30
1579835054,41,54
1579842502,39,39
