DateTime,Entries,UniqueIPs
1579364425,17964,18056
1579365150,17968,18060
1579365871,17966,18058
1579366583,17969,18061
1579367316,17972,18064
1579368025,17975,18067
1579368761,17972,18064
1579369467,17973,18065
1579370188,17975,18067
1579370907,17973,18065
1579371623,17973,18065
1579372347,17971,18063
1579373065,17968,18060
1579373782,17967,18059
1579374503,17963,18055
1579375222,17965,18057
1579375952,17963,18055
1579376667,17964,18056
1579377382,17965,18057
1579378120,17966,18058
1579378827,17964,18056
1579379547,17969,18061
1579380264,17967,18059
1579380986,17965,18057
1579381710,17962,18054
1579382422,17961,18053
1579383152,17960,18052
1579383876,17960,18052
1579384572,17960,18052
1579385287,17961,18053
1579386013,17961,18053
1579386742,17965,18057
1579387469,17963,18055
1579388166,17964,18056
1579388915,17962,18054
1579389625,17962,18054
1579390345,17965,18057
1579391064,17966,18058
1579391805,17965,18057
1579394186,17962,18054
1579394908,17959,18051
1579395659,17957,18049
1579396345,17960,18052
1579397066,17963,18055
1579397782,17960,18052
1579398509,17965,18057
1579399223,17958,18050
1579399950,17958,18050
1579400664,17960,18052
1579401382,17963,18055
1579402113,17960,18052
1579402828,17960,18052
1579403552,17957,18049
1579404302,17955,18047
1579404981,17962,18054
1579405711,17963,18055
1579406425,17963,18055
1579407146,17963,18055
1579407874,17960,18052
1579408582,17960,18052
1579409311,17959,18051
1579410029,17955,18047
1579416502,17951,18044
1579423710,17953,18046
1579431634,17961,18054
1579438825,17971,18064
1579446041,17970,18063
1579453225,17968,18062
1579461140,17973,18066
1579468109,17968,18062
1579475541,17965,18059
1579482732,17958,18052
1579490177,17944,18038
1579496915,17947,18043
1579504584,17942,18038
1579512006,17946,18043
1579519208,17941,18038
1579527142,17933,18030
1579534585,17936,18033
1579541287,17932,18029
1579548765,17934,18031
1579556652,17946,18043
1579563394,17944,18041
1579571315,17940,18037
1579578727,17943,18042
1579586166,17934,18036
1579593370,17933,18035
1579600575,17938,18040
1579608021,17930,18032
1579615942,17940,18041
1579622902,17941,18042
1579630109,17943,18045
1579637563,17941,18043
1579644735,17933,18035
1579652649,17928,18030
1579659853,17927,18029
1579667068,17926,18028
1579674253,17928,18030
1579682170,17928,18031
1579689616,17925,18028
1579696329,17913,18016
1579703535,17909,18011
1579710820,17906,18008
1579718664,17903,18005
1579725862,17896,17998
1579733062,17888,17990
1579740264,17882,17984
1579747471,17872,17974
1579754674,17868,17968
1579761877,17862,17962
1579769293,17857,17957
1579776517,17864,17965
1579784435,17861,17962
1579791614,17854,17955
1579798832,17852,17953
1579806523,17856,17956
1579813690,17864,17964
1579821148,17869,17969
1579828330,17857,17957
1579835054,17843,17944
1579842502,17843,17944
1579850407,17846,17947
1579857605,17844,17945
1579864808,17840,17941
1579872039,17852,17953
1579879933,17852,17953
1579887150,17848,17949
1579894349,17852,17953
1579901782,17850,17951
1579908508,17846,17947
1579916189,17841,17942
1579923379,17846,17947
1579930581,17839,17940
