DateTime,Entries,UniqueIPs
1581783308,7967,7967
1581784093,8778,8778
1581785714,8769,8769
1581786912,8767,8767
1581788430,8764,8764
1581789371,8765,8765
1581790515,8763,8763
1581792135,8761,8761
1581794051,8758,8758
1581795310,8759,8759
1581796574,8758,8758
1581797715,8753,8753
1581799336,8748,8748
1581801317,8746,8746
1581802091,8749,8749
1581802934,8742,8742
1581804854,8740,8740
1581805992,8740,8740
1581808348,8743,8743
1581809712,8745,8745
1581810972,8747,8747
1581812052,8742,8742
1581813734,8738,8738
1581814571,8741,8741
1581815650,8740,8740
1581816490,8745,8745
1581817607,8743,8743
1581818830,8738,8738
1581820209,7967,7967
1581820932,8737,8737
1581821776,8738,8738
1581822917,8736,8736
1581824713,8732,8732
1581826453,8734,8734
1581828133,8728,8728
1581829821,8726,8726
1581831733,8720,8720
1581832572,8721,8721
1581833716,8722,8722
1581834910,8720,8720
1581836171,8716,8716
1581837332,8711,8711
1581838528,8706,8706
1581840854,8700,8700
1581841693,8701,8701
1581842535,8694,8694
1581843371,8697,8697
1581844518,8695,8695
1581846029,8688,8688
1581847240,8678,8678
1581849730,7967,7967
1581851663,8670,8670
1581852491,8672,8672
1581854170,8662,8662
1581855316,8657,8657
1581857416,8648,8648
1581858613,8645,8645
1581861636,8629,8629
1581862827,8631,8631
1581864137,8625,8625
1581864974,8626,8626
1581866089,8622,8622
1581867626,8616,8616
1581869402,7967,7967
1582023372,8039,8039
1582024516,8036,8036
1582026134,8035,8035
1582026974,8037,8037
1582028115,8037,8037
1582029306,8038,8038
1582029730,8042,8042
1582030571,8046,8046
1582031651,8047,8047
1582033334,8046,8046
1582035252,8043,8043
1582036930,8033,8033
1582038138,8033,8033
1582039813,8038,8038
1582041292,8041,8041
1582042453,8049,8049
1582044130,8059,8059
1582044970,8067,8067
1582046051,8069,8069
1582047730,8074,8074
1582049023,8077,8077
1582050494,8084,8084
1582051892,8086,8086
1582053256,8092,8092
1582054363,8095,8095
1582055535,8101,8101
1582056850,8105,8105
1582058533,8106,8106
1582059382,8108,8108
1582060453,8113,8113
1582062131,8125,8125
1582062975,8131,8131
1582064054,8136,8136
1582064891,8137,8137
1582065735,8141,8141
1582066840,8147,8147
1582068490,8152,8152
1582070116,8157,8157
1582071311,8162,8162
1582072090,8165,8165
1582073771,8169,8169
1582074850,8171,8171
1582076536,8178,8178
1582077876,8187,8187
1582079111,8193,8193
1582080314,8197,8197
1582082050,8204,8204
1582083311,8210,8210
1582084930,8216,8216
1582086493,8226,8226
1582089256,8243,8243
1582090829,8251,8251
1582092334,8257,8257
1582092851,8260,8260
1582094549,8268,8268
1582096217,8275,8275
1582097420,8282,8282
1582098912,8295,8295
1582100050,8299,8299
1582100894,8304,8304
1582102178,8316,8316
1582103415,8325,8325
1582104524,8337,8337
1582106191,8349,8349
1582107251,8354,8354
1582108936,8363,8363
1582110853,8374,8374
1582112372,8384,8384
1582113376,8389,8389
1582114515,8394,8394
1582115646,8402,8402
1582118050,8412,8412
1582119737,8430,8430
1582120570,8433,8433
1582121716,8440,8440
1582123335,8448,8448
1582124770,8456,8456
1582126192,8460,8460
1582127396,8466,8466
1582128850,8474,8474
1582130003,8478,8478
1582131311,8484,8484
1582132451,8492,8492
1582134135,8494,8494
1582134970,8497,8497
1582136116,8503,8503
1582136899,8507,8507
1582138215,8510,8510
1582139653,8517,8517
1582141338,8520,8520
1582143249,8522,8522
1582144090,8524,8524
1582146854,8528,8528
1582148337,8532,8532
1582150514,8539,8539
1582152136,8541,8541
1582154051,8545,8545
1582155736,8547,8547
1582157655,8551,8551
1582159356,8552,8552
1582161015,8554,8554
1582162090,8555,8555
1582163710,8561,8561
1582166111,8563,8563
1582168215,8565,8565
1582168450,8566,8566
1582169295,8567,8567
1582170916,8571,8571
1582172117,8577,8577
1582173638,8585,8585
1582175714,8593,8593
1582176491,8595,8595
1582177340,8597,8597
1582179255,8605,8605
1582180766,8617,8617
1582181785,8620,8620
1582182916,8622,8622
1582184622,8631,8631
1582185373,8633,8633
1582186518,8640,8640
1582187713,8647,8647
1582188975,8656,8656
1582190115,8661,8661
1582192847,8671,8671
1582194018,8676,8676
1582195248,8676,8676
1582197567,8683,8683
1582198954,8685,8685
1582200854,8686,8686
1582202537,8686,8686
1582204453,8689,8689
1582206139,8690,8690
1582206976,8691,8691
1582208074,8690,8690
1582209639,8686,8686
1582211318,8689,8689
1582212787,8683,8683
1582214111,8681,8681
1582215251,8682,8682
1582216516,8683,8683
1582217870,8681,8681
1582219217,8681,8681
1582220536,8678,8678
1582222013,8676,8676
1582223211,8677,8677
1582224337,8672,8672
1582226051,8670,8670
1582228065,8671,8671
1582229652,8670,8670
1582230817,8667,8667
1582233254,8669,8669
1582234347,8666,8666
1582235770,8664,8664
1582236913,8658,8658
1582237695,8659,8659
1582238963,8656,8656
1582240219,8653,8653
1582241418,8648,8648
1582244052,8648,8648
1582245312,8646,8646
1582247652,8640,8640
1582249341,8636,8636
1582250766,8632,8632
1582252217,8627,8627
1582252938,8625,8625
1582253775,8626,8626
1582254859,8625,8625
1582256541,8617,8617
1582258451,8614,8614
1582260036,8606,8606
1582262052,8605,8605
1582262894,8606,8606
1582264238,8599,8599
1582265414,8595,8595
1582267334,8585,8585
1582269017,8576,8576
1582270220,8564,8564
1582271775,8562,8562
1582272914,8563,8563
1582274324,8620,8620
1582276216,8569,8569
1582276451,8568,8568
1582277934,8566,8566
1582278975,8560,8560
1582280056,8556,8556
1582280893,8557,8557
1582282513,8552,8552
1582283719,8544,8544
1582284913,8538,8538
1582286160,8535,8535
1582287256,8529,8529
1582288948,8525,8525
1582290854,8523,8523
1582292549,8519,8519
1582293376,8518,8518
1582294516,8511,8511
1582296467,8507,8507
1582297817,8502,8502
1582298970,8499,8499
1582300112,8498,8498
1582301416,8493,8493
1582303342,8486,8486
1582305257,8485,8485
1582306652,8472,8472
1582307809,8474,8474
1582308854,8469,8469
1582309695,8474,8474
1582311012,8473,8473
1582312456,8474,8474
1582314036,8474,8474
1582316057,8473,8473
1582317633,8468,8468
1582319332,8467,8467
1582321357,8455,8455
1582322177,8456,8456
1582323283,8456,8456
1582324949,8452,8452
1582326620,8449,8449
1582328997,8446,8446
1582330217,8448,8448
1582331296,8450,8450
1582333405,8453,8453
1582335017,8463,8463
1582336572,8465,8465
1582337653,8469,8469
1582339336,8470,8470
1582340538,8472,8472
1582342217,8466,8466
1582342933,8468,8468
1582344618,8467,8467
1582346534,8465,8465
1582348514,8461,8461
1582350134,8447,8447
1582351236,8445,8445
1582352892,8452,8452
1582353731,8443,8443
1582355412,8442,8442
1582356616,8431,8431
1582358175,8432,8432
1582359249,8429,8429
1582361109,8422,8422
1582362916,8421,8421
1582364128,8417,8417
1582365272,8414,8414
1582366513,8413,8413
1582367293,8414,8414
1582368910,8409,8409
1582370052,8407,8407
1582371314,8400,8400
1582372513,8401,8401
1582373715,8401,8401
1582374911,8401,8401
1582376600,8399,8399
1582378092,8401,8401
1582378935,8406,8406
1582379772,8407,8407
1582380850,8399,8399
1582382533,8403,8403
1582384451,8407,8407
1582386030,8407,8407
1582386973,8410,8410
1582388119,8416,8416
1582389914,8426,8426
1582390570,8428,8428
1582391714,8433,8433
1582393333,8433,8433
1582395012,8437,8437
1582396219,8439,8439
1582397710,8450,8450
1582398856,8457,8457
1582400428,8463,8463
1582402450,8472,8472
1582404130,8478,8478
1582405814,8492,8492
1582407018,8495,8495
1582408212,8500,8500
1582409413,8491,8491
1582409653,8492,8492
1582410492,8495,8495
1582412172,8503,8503
1582413314,8506,8506
1582415537,8514,8514
1582416851,8517,8517
1582418430,8527,8527
1582420213,8531,8531
1582422134,8539,8539
1582422989,8541,8541
1582424115,8545,8545
1582425314,8553,8553
1582426533,8556,8556
1582427653,8564,8564
1582429232,8565,8565
1582431018,8570,8570
1582432932,8575,8575
1582433783,8578,8578
1582434851,8579,8579
1582436428,8582,8582
1582437624,8591,8591
1582438451,8594,8594
1582439683,8596,8596
1582441411,8595,8595
1582443015,8590,8590
1582445653,8586,8586
1582446494,8591,8591
1582448664,8596,8596
1582450226,8600,8600
1582450935,8602,8602
1582452614,8606,8606
1582454384,8609,8609
1582456450,8617,8617
1582457783,8620,8620
1582458910,8620,8620
1582460113,8629,8629
1582460890,8631,8631
1582461731,8632,8632
1582463651,8638,8638
1582465334,8650,8650
1582466535,8652,8652
1582468095,8660,8660
1582468933,8660,8660
1582470094,8661,8661
1582471231,8666,8666
1582472326,8665,8665
1582474228,8668,8668
1582476056,8707,8707
1582478053,8715,8715
1582479310,8720,8720
1582481651,8723,8723
1582482491,8726,8726
1582484174,8729,8729
1582484439,8728,8728
1582486090,8733,8733
1582486931,8735,8735
1582488620,8739,8739
1582490532,8745,8745
1582491732,8747,8747
1582493114,8752,8752
1582494971,8759,8759
1582496116,8764,8764
1582497731,8767,8767
1582499652,8768,8768
1582501229,8769,8769
1582502858,8772,8772
1582504090,8775,8775
1582504931,8773,8773
1582506614,8775,8775
1582507690,8778,8778
1582509372,8774,8774
1582510516,8775,8775
1582512610,8774,8774
1582513815,8774,8774
1582515013,8773,8773
1582515732,8778,8778
1582516571,8783,8783
1582517714,8783,8783
1582518863,8783,8783
1582521255,8788,8788
1582522934,8789,8789
1582524041,8790,8790
1582525219,8794,8794
1582526429,8795,8795
1582527591,8796,8796
1582528816,8796,8796
1582530025,8797,8797
1582532051,8806,8806
1582533733,8815,8815
1582535416,8827,8827
1582537332,8828,8828
1582539252,8828,8828
1582540462,8836,8836
1582541758,8841,8841
1582542853,8839,8839
1582544116,8846,8846
1582545330,8848,8848
1582546531,8853,8853
1582547926,8852,8852
1582549048,8854,8854
1582551774,8850,8850
1582553652,8851,8851
1582555195,8848,8848
1582556878,8843,8843
1582558217,8840,8840
1582560853,8839,8839
1582561691,8841,8841
1582563314,8833,8833
1582563640,8831,8831
1582564817,8833,8833
1582565290,8835,8835
1582568054,8832,8832
1582568893,8833,8833
1582569733,8826,8826
1582570981,8827,8827
1582572325,8831,8831
1582574171,8836,8836
1582575253,8834,8834
1582577113,8828,8828
1582578615,8825,8825
1582580856,8819,8819
1582582215,8816,8816
1582583292,8818,8818
1582584931,8817,8817
1582586118,8816,8816
1582587628,8813,8813
1582588575,8814,8814
1582589717,8815,8815
1582591336,8810,8810
1582593019,8812,8812
1582594935,8805,8805
