DateTime,AddedIPs,RemovedIPs
1580584515,1,1
1580587815,0,1
1580593766,1,1
1580595252,1,3
1580596947,1,0
1580598854,1,0
1580602214,0,1
1580612456,1,0
1580616854,1,0
1580618545,0,2
1580625312,1,1
1580627415,1,0
1580628491,1,0
1580629355,0,1
1580639955,4,1
1580645716,2,0
1580646491,1,0
1580648174,1,0
1580651399,1,0
1580652854,0,3
1580654532,1,0
1580656454,1,0
1580658976,1,0
1580660115,1,0
1580663652,1,0
1580665471,1,0
1580668214,1,1
1580670372,1,0
1580671815,0,1
1580674451,0,1
1580675291,1,0
1580676975,0,4
1580679615,0,3
1580681037,0,2
1580683690,0,4
1580686217,1,0
1580690531,0,3
1580692011,1,0
1580694912,0,1
1580702159,0,1
1580703257,2,0
1580706852,1,0
1580711415,0,1
1580714057,1,1
1580719167,1,0
1580732115,0,2
1580733314,1,1
1580737981,0,1
1580739254,0,3
1580741345,0,1
1580755337,0,1
1580758114,2,0
1580760853,1,0
1580764214,0,1
1580765417,0,1
1580766169,0,1
1580773341,1,0
1580776946,0,1
1580846204,14,22
1580847315,1,0
1580854214,1,0
1580855419,0,1
1580863337,0,1
1580866935,0,1
1580872217,1,0
1580874614,0,1
1580877020,0,1
1580881334,1,0
1580883256,0,1
1580890455,1,1
1580896572,1,0
1580900957,1,0
1580902933,0,1
1580904854,1,0
1580910134,2,0
1580912119,1,0
1580915009,1,0
1580916662,0,2
1580919311,2,0
1580920508,1,0
1580921706,1,0
1580927563,0,1
1580929814,0,2
1580931732,2,0
1580940852,1,0
1580944452,2,1
1580953701,1,0
1580955253,0,1
1580958852,1,0
1580960534,0,1
1580962452,1,0
1580966115,3,0
1580967345,0,1
1580972359,1,1
1580975774,1,0
1580976920,3,0
1580979284,0,2
1580980455,0,2
1580982916,1,0
1580984051,2,0
1580988939,1,0
1580990831,1,0
1580994259,0,2
1580995659,1,0
1580999665,0,1
1581001907,0,1
1581004233,0,1
1581005431,1,1
1581011405,0,1
1581018133,0,1
1581024492,1,0
1581025334,0,1
1581027315,1,0
1581028091,1,0
1581031810,1,0
1581032963,1,0
1581036916,0,1
1581039734,2,0
1581046933,0,1
1581050534,0,1
1581051985,1,0
1581056054,1,0
1581057732,1,0
1581059653,0,1
1581063254,1,0
1581070454,0,1
1581073630,0,1
1581077654,1,0
1581079337,1,0
1581080444,2,0
1581086533,1,0
1581089607,0,5
1581091469,0,2
1581093734,1,0
1581100093,1,0
1581100932,0,2
1581102502,1,0
1581106456,1,0
1581111315,0,1
1581113658,1,1
1581124455,0,1
1581127821,0,1
1581133332,1,0
1581135256,0,3
1581142455,0,1
1581145818,1,1
1581147050,3,2
1581155345,0,1
1581158532,0,1
1581171753,1,0
1581173149,2,0
1581174855,1,0
1581175953,0,2
1581178519,0,1
1581179718,1,0
1581182051,1,0
