DateTime,AddedIPs,RemovedIPs
1581808335,137,93
1581809703,85,84
1581810963,86,41
1581812043,68,84
1581813723,124,95
1581814563,72,0
1581815643,58,62
1581816483,49,0
1581817599,63,127
1581818818,70,68
1581820203,62,112
1581820923,30,26
1581821766,48,0
1581822907,56,57
1581824704,90,109
1581826444,65,75
1581827284,40,0
1581828124,33,98
1581829806,63,60
1581831724,105,111
1581832564,36,0
1581833707,44,52
1581834903,51,79
1581836163,158,34
1581837307,104,58
1581838513,118,87
1581839771,59,21
1581840843,37,78
1581841684,45,0
1581842525,35,103
1581843364,39,1
1581844506,65,101
1581846017,67,100
1581847225,46,66
1581848046,35,0
1581849724,76,83
1581851655,96,39
1581852483,84,1
1581854163,151,94
1581855307,100,41
1581856083,61,0
1581857405,89,107
1581858604,59,48
1581859705,68,1
1581861624,86,162
1581862818,67,0
1581864123,65,124
1581864966,48,0
1581866081,55,69
1581867616,70,114
1581869402,0,17929
1582023362,4891,0
1582024504,464,740
1582026124,465,516
1582026964,226,0
1582028105,255,217
1582029293,264,287
1582029723,93,111
1582030564,198,2
1582031643,229,179
1582033323,296,394
1582034164,208,1
1582035243,188,297
1582036923,312,778
1582038126,251,245
1582039805,322,0
1582041285,254,1
1582042443,228,0
1582044123,350,1
1582044963,185,0
1582046043,204,2
1582047723,323,3
1582049016,213,0
1582050484,250,2
1582051884,231,3
1582053243,242,1
1582054356,195,0
1582055526,168,4
1582056843,187,0
1582058524,224,0
1582059366,100,0
1582060444,139,0
1582062124,199,0
1582062963,91,0
1582064045,113,0
1582064883,99,0
1582065724,69,0
1582066827,109,0
1582068483,175,0
1582070105,134,0
1582071303,122,0
1582072083,86,0
1582073764,168,0
1582074843,114,1
1582076523,160,0
1582077869,127,1
1582079103,104,1
1582080304,90,1
1582082043,156,1
1582083304,123,0
1582084916,133,1
1582086483,152,1
1582089245,236,0
1582090818,138,1
1582092325,117,0
1582092844,42,1
1582094537,143,0
1582096204,152,2
1582097407,96,0
1582098904,111,0
1582100043,87,1
1582100886,52,1
1582102172,87,1
1582103404,90,0
1582104517,94,0
1582106164,121,1
1582107244,81,2
1582108924,103,1
1582110845,158,2
1582112364,101,0
1582113364,82,0
1582114504,80,0
1582115636,96,1
1582118043,187,1
1582119726,110,2
1582120563,45,1
1582121704,83,0
1582123324,98,1
1582124761,94,3
1582126185,124,0
1582127389,91,0
1582128843,122,0
1582129996,132,1
1582131304,136,1
1582132443,113,1
1582134124,165,1
1582134963,65,0
1582136106,92,2
1582136885,44,0
1582138206,77,0
1582139644,102,0
1582141326,98,0
1582142171,37,1
1582143243,67,1
1582144082,67,0
1582146843,183,1
1582148331,78,1
1582150505,136,0
1582152125,130,0
1582154044,157,0
1582154883,67,0
1582155725,52,2
1582157645,129,0
1582159342,96,1
1582161003,113,0
1582162083,73,0
1582163703,96,0
1582164906,50,2
1582166103,75,0
1582168204,110,1
1582168443,16,0
1582169283,30,0
1582170903,66,1
1582172107,68,2
1582173621,84,1
1582175704,95,0
1582176483,39,0
1582177327,30,1
1582179244,95,0
1582180758,65,0
1582181774,32,1
1582182903,51,0
1582184610,59,3
1582185364,31,2
1582186506,54,0
1582187704,49,0
1582188964,56,0
1582190105,42,0
1582192828,106,25
1582194003,38,2
1582195220,73,116
1582197559,97,70
1582198939,70,117
1582200843,87,66
1582202525,67,121
