DateTime,AddedIPs,RemovedIPs
1581460936,8,6
1581467719,0,1
1581471627,0,1
1581473717,5,0
1581476173,1,0
1581480615,1,1
1581482534,2,1
1581484457,4,0
1581487166,0,7
1581489738,4,0
1581490574,2,0
1581491722,1,0
1581494447,3,0
1581495622,1,0
1581496940,1,0
1581500538,1,0
1581502456,2,0
1581504139,3,0
1581506125,1,0
1581507314,0,1
1581509660,2,1
1581511519,1,0
1581514224,1,0
1581518543,3,4
1581520453,2,0
1581522138,0,4
1581522976,1,0
1581525740,0,4
1581527437,1,3
1581529336,1,0
1581532940,0,4
1581538454,2,0
1581540140,1,0
1581543618,6,0
1581545419,0,1
1581546617,4,0
1581550940,3,2
1581551776,2,0
1581552853,2,1
1581558141,3,0
1581559822,0,6
1581601241,58,31
1581603253,1,0
1581604940,1,1
1581606854,0,2
1581607700,1,0
1581608813,2,0
1581612143,1,0
1581617027,0,3
1581618915,1,2
1581620020,0,6
1581621260,2,2
1581622092,2,0
1581622941,7,0
1581624855,1,0
1581625694,2,0
1581628221,2,1
1581630133,2,5
1581632052,3,0
1581635656,4,0
1581639256,2,0
1581641102,2,0
1581641779,2,0
1581642854,1,4
1581644433,1,0
1581645644,2,0
1581646820,1,0
1581649817,1,0
1581651737,1,3
1581653656,1,4
1581654918,3,0
1581657252,2,0
1581658935,1,5
1581659773,1,0
1581660855,1,3
1581662115,1,0
1581663933,4,1
1581666133,0,2
1581669320,1,0
1581671660,0,1
1581673333,3,5
1581675258,2,1
1581676351,1,0
1581677713,3,0
1581678919,2,2
1581681050,0,1
1581682219,3,1
1581684136,3,1
1581686057,1,0
1581687632,3,2
1581689657,1,0
1581691231,1,1
1581693015,2,1
1581694215,1,0
1581698715,2,2
1581700453,1,0
1581704118,3,0
1581706514,1,0
1581707657,2,0
1581709336,1,2
1581711256,2,1
1581712095,2,0
1581713774,1,4
1581714855,2,1
1581715696,1,0
1581717006,0,5
1581720137,2,1
1581722058,0,3
1581722894,1,0
1581724232,2,2
1581727334,5,2
1581728893,1,0
1581730096,1,0
1581731454,2,0
1581732624,1,0
1581734538,2,1
1581736226,3,0
1581738134,4,4
1581739819,2,1
1581741025,0,3
1581742213,3,1
1581744620,0,1
1581746175,0,1
1581747254,0,1
1581748095,1,0
1581748939,2,1
1581751697,4,0
1581752842,1,6
1581754454,4,4
1581755939,0,4
1581757853,4,0
1581759022,2,3
1581760337,2,1
1581761720,2,1
1581763340,0,1
1581765023,0,2
1581766938,4,5
1581768616,1,5
1581770538,1,3
1581772457,1,3
1581774499,0,1
1581775822,3,1
1581779416,1,1
1581781332,1,1
1581782173,1,0
