DateTime,AddedIPs,RemovedIPs
1581796575,11,9
1581797718,19,9
1581799337,14,14
1581800173,7,4
1581801320,17,7
1581802093,8,2
1581802936,2,7
1581804855,9,6
1581805995,10,9
1581808351,14,5
1581809713,9,3
1581810973,9,5
1581812054,6,13
1581813736,8,4
1581814572,3,0
1581815652,6,6
1581816492,7,0
1581817608,4,15
1581818834,3,5
1581820214,10,22
1581820934,3,5
1581821777,10,5
1581822921,10,4
1581824715,4,6
1581826454,7,7
1581827293,7,0
1581828135,5,5
1581829822,9,3
1581831734,12,13
1581832573,4,3
1581833717,8,4
1581834912,7,6
1581836172,12,3
1581837334,8,6
1581838530,6,11
1581839780,10,4
1581840855,9,7
1581841694,10,2
1581842536,3,11
1581843372,5,3
1581844520,11,7
1581846031,10,7
1581847245,4,6
1581848057,8,2
1581851664,14,18
1581852493,7,5
1581854172,13,14
1581855317,13,7
1581856093,6,1
1581857418,4,19
1581858615,6,17
1581859713,10,2
1581861638,16,25
1581862829,32,4
1581864138,12,13
1581864976,6,3
1581866090,10,15
1581867627,5,23
1582031653,74,904
1582033337,29,44
1582034176,22,1
1582035254,8,22
1582036932,17,43
1582038140,14,14
1582039816,17,1
1582041293,23,3
1582042454,11,6
1582044131,15,4
1582044971,10,1
1582046052,5,0
1582047731,13,2
1582049024,12,5
1582050495,13,4
1582051893,10,1
1582053257,12,4
1582054365,15,3
1582055537,11,4
1582056852,10,2
1582058535,13,1
1582059384,9,3
1582060454,28,2
1582062132,14,6
1582062977,11,1
1582064055,14,2
1582064893,12,4
1582065737,6,3
1582066843,8,4
1582068491,20,2
1582070117,7,4
1582071312,9,3
1582072092,9,5
1582073772,12,4
1582074851,15,12
1582076538,16,2
1582077877,10,3
1582079113,16,5
1582080315,9,3
1582082051,19,4
1582083313,8,6
1582084933,14,2
1582086494,11,2
1582089258,23,4
1582090832,11,4
1582092335,11,3
1582092853,3,2
1582094551,8,5
1582096219,19,2
1582097422,11,6
1582098913,16,4
1582100052,14,0
1582100895,8,2
1582102180,8,1
1582103417,10,1
1582104526,10,2
1582106193,15,1
1582107253,11,2
1582108938,17,5
1582110855,21,4
1582112374,7,4
1582113378,12,4
1582114517,9,1
1582115648,7,2
1582118051,29,2
1582119740,10,3
1582120572,9,2
1582121718,12,1
1582123338,15,3
1582124772,23,1
1582126193,14,3
1582127399,7,0
1582128851,6,4
1582130005,9,3
1582131312,5,4
1582132453,14,3
1582134139,17,6
1582134972,7,0
1582136117,8,3
1582136900,5,5
1582138217,11,2
1582139655,20,1
1582141340,12,2
1582142185,6,4
1582143251,4,2
1582144091,6,2
1582146856,18,7
1582148339,11,1
1582150516,14,7
1582152138,10,2
1582154052,14,4
1582154891,4,0
1582155739,2,6
1582157657,9,5
1582159359,13,7
1582161017,6,3
1582162092,8,2
1582163711,6,4
1582164918,5,4
1582166113,6,1
1582168217,11,6
1582168452,5,0
1582169297,3,3
1582170918,2,5
1582172119,17,5
1582173642,7,4
1582175716,3,5
1582176492,1,0
1582177344,1,2
1582179257,4,0
1582180767,7,1
1582181786,6,0
1582182919,5,2
1582184627,2,6
1582185376,6,0
1582186521,7,3
1582187715,2,1
1582188977,5,2
1582190118,5,4
1582192851,15,5
1582194021,6,6
1582195251,6,17
1582197568,14,9
1582198958,12,15
1582200855,10,8
1582202541,7,30
1582204455,11,27
1582206142,12,18
1582206978,5,3
1582208076,7,9
1582209642,6,19
1582211321,5,19
1582212792,12,8
1582214113,7,3
1582215252,5,12
1582216518,11,6
1582217872,7,3
1582219221,8,11
1582220540,9,17
1582222016,12,8
1582223213,9,2
1582224341,7,16
1582226053,8,14
1582228066,14,19
1582229654,10,17
1582230819,11,25
1582233256,15,20
1582234349,12,13
1582235772,14,9
1582236916,10,12
1582237696,10,0
1582238964,9,18
1582240221,9,3
1582241421,7,11
1582244054,18,15
1582245313,11,19
1582247654,32,10
1582249345,8,12
1582250770,9,5
1582252220,9,16
1582252941,6,4
1582253777,11,1
1582254860,4,9
1582256544,8,14
1582257372,10,4
1582258453,6,12
1582260043,13,16
1582262054,13,14
1582262896,7,1
1582264240,11,6
1582265416,7,8
1582267335,18,23
1582269018,10,11
1582270222,8,10
1582271777,10,6
1582272916,8,8
1582274326,4,25
1582276217,6,13
1582276453,4,0
1582277936,8,24
1582278976,11,7
1582280058,9,9
1582280895,10,2
1582282515,13,20
1582283721,11,16
1582284915,15,8
1582286162,15,7
1582287258,10,14
1582288094,8,2
1582288952,9,22
1582290856,18,11
1582292554,16,20
1582293378,4,1
1582294518,9,20
1582296469,18,23
1582297819,8,8
1582298974,4,17
1582300113,5,5
1582301417,6,10
1582301656,1,0
1582303347,11,22
1582305259,11,11
1582306654,6,12
1582307811,10,7
1582308856,5,10
1582309699,5,2
1582311014,5,15
1582312458,9,7
1582314038,8,10
1582316059,14,9
1582317641,8,17
1582319334,10,7
1582319655,0,1
1582321362,6,13
1582322178,3,3
1582323285,7,8
1582324954,6,7
1582326621,11,8
1582327695,5,1
1582329001,13,12
1582330219,11,6
1582331298,4,4
1582333408,14,17
1582335020,10,14
1582336573,12,2
1582337655,10,9
1582339338,9,15
1582340543,4,3
1582342220,9,17
1582342935,1,2
1582344619,3,6
1582346536,5,6
1582347143,3,3
1582348517,6,4
1582350136,5,11
1582351241,3,3
1582352894,4,3
1582353733,8,7
1582355413,7,10
1582356620,12,6
1582358176,3,6
1582359250,8,7
1582361110,9,8
1582362918,3,7
1582364130,13,5
1582365274,9,14
1582366514,8,10
1582367295,6,3
1582368912,7,13
1582370054,8,9
1582371316,6,8
1582372515,5,4
1582373716,4,5
1582374913,5,3
1582376601,4,18
1582378093,5,3
1582378937,3,14
1582379774,5,1
1582380851,5,9
1582382535,8,13
1582384453,15,10
1582386032,10,12
1582386975,7,6
1582388122,3,10
1582389916,18,13
1582390571,4,0
1582391715,4,7
1582393334,10,10
1582395013,9,9
1582396224,4,7
1582397711,11,6
1582398857,3,7
1582400430,6,10
1582402451,5,10
1582404132,7,19
1582405816,6,14
1582407020,6,12
1582408214,8,5
1582409415,4,5
1582409654,2,1
1582410493,7,5
1582412174,5,18
1582413315,7,10
1582415538,17,17
1582416852,6,23
1582418432,7,10
1582420215,5,10
1582422136,13,17
1582422990,2,3
1582424117,8,16
1582425316,6,7
1582426535,7,8
1582427655,4,11
1582429233,3,16
1582431019,6,8
1582432933,9,11
1582433785,1,3
1582434853,7,11
1582436430,8,18
1582437627,5,9
1582438452,4,3
1582439686,4,9
1582441413,9,12
1582443016,10,7
1582445655,10,9
1582446496,5,0
1582448665,12,18
1582450227,5,14
1582450936,5,7
1582452615,13,11
1582454386,17,16
1582456451,8,21
1582457787,7,12
1582458912,6,10
1582460115,6,12
1582460892,3,0
1582461732,6,12
1582463653,16,9
1582465336,7,21
1582466538,9,12
1582468096,9,5
1582468934,11,10
1582470095,12,11
1582471233,9,2
1582472328,3,7
1582474230,7,8
1582474456,0,1
1582476057,11,11
1582478055,6,13
1582479312,8,12
1582481653,20,6
1582482492,4,3
1582484175,5,11
1582484442,1,11
1582486092,13,2
1582486932,3,10
1582488621,10,10
1582490533,7,8
1582491734,10,6
1582493115,9,0
1582494972,14,11
1582496117,7,5
1582497732,9,13
1582499653,11,13
1582501231,9,10
1582502859,9,6
1582504093,7,4
1582504933,9,13
1582506616,4,5
1582507692,4,3
1582509373,16,14
1582510519,5,9
1582511292,4,2
1582512611,10,8
1582513818,5,2
1582515015,14,4
1582515733,6,3
1582516572,4,4
1582517717,6,5
1582518864,8,5
1582521257,12,2
1582522936,8,9
1582524044,10,2
1582525220,9,1
1582526431,14,6
1582527594,12,2
1582528819,11,5
1582530028,8,17
1582532053,11,4
1582533735,13,11
1582535418,5,10
1582537333,11,10
1582539254,16,6
1582540464,13,12
1582541760,6,5
1582542854,10,6
1582544118,9,4
1582545332,9,4
1582546533,10,0
1582547928,18,4
1582549050,9,5
1582550420,11,7
1582551780,6,7
1582553653,29,11
1582555197,24,8
1582556880,14,11
1582558219,14,15
1582560855,25,10
1582561693,11,6
1582563315,27,8
1582563643,4,4
1582564819,22,3
1582565292,6,3
1582568055,34,20
1582568894,11,2
1582569736,8,8
1582570984,8,7
1582572327,19,5
1582574172,23,9
1582575254,25,6
1582577115,16,5
1582578618,19,10
1582579694,14,3
1582580857,24,9
1582582217,22,6
1582583294,16,5
1582584932,27,16
1582586120,17,5
1582587631,12,11
1582588576,13,3
1582589719,21,6
1582591338,14,13
1582593020,26,1
1582594937,25,17
1582595772,16,2
1582596913,9,5
1582598112,12,8
1582600216,28,5
1582601437,13,7
1582602585,16,3
1582603814,18,5
1582605018,12,5
1582606573,23,5
1582607650,16,7
1582608491,17,1
1582609337,6,6
1582610586,13,10
1582611774,15,1
1582613127,14,8
1582613771,5,1
1582614928,8,6
1582615694,14,0
1582617013,12,6
1582618236,18,8
1582619291,9,2
1582620971,11,8
1582622051,4,5
1582622893,4,0
1582624849,12,13
1582626017,9,1
1582627232,7,14
1582629020,12,8
