DateTime,AddedIPs,RemovedIPs
1581747254,1,0
1581748095,1,1
1581748939,2,3
1581749775,1,4
1581751698,0,3
1581752842,1,2
1581754454,0,2
1581757853,4,4
1581759024,0,3
1581760337,2,2
1581761721,1,0
1581763341,0,1
1581765023,1,0
1581766938,2,2
1581768616,2,1
1581770539,2,392
1581772458,2,209
1581773296,0,1
1581774500,0,1
1581775823,1,0
1581777736,0,2
1581779416,1,0
1581781333,1,0
1581782174,6,1
1581783311,2,0
1581785717,2,2
1581786915,1,2
1581788433,1,2
1581789374,1,0
1581790519,1,0
1581792138,1,2
1581794054,0,1
1581795313,1,2
1581797719,1,0
1581799338,4,1
1581800174,2,1
1581801322,1,1
1581802094,2,1
1581802937,2,1
1581804856,3,0
1581805996,0,1
1581808352,0,3
1581809714,2,1
1581810974,0,1
1581812055,1,0
1581813737,0,1
1581815653,1,0
1581816493,0,1
1581818835,2,2
1581820216,0,2
1581822923,0,1
1581824716,0,1
1581826456,2,0
1581829823,1,1
1581831735,0,1
1581832574,1,0
1581834913,2,0
1581836173,1,1
1581837335,0,2
1581838531,1,1
1581839781,0,1
1581840856,0,1
1581842537,0,2
1581843374,1,1
1581844521,0,1
1581846032,0,1
1581848058,1,0
1581852494,1,0
1581854173,2,0
1581855335,0,1
1581856094,0,1
1581857419,2,1
1581858616,0,1
1581861642,0,1
1581864977,1,0
1581866091,0,1
1581867628,1,0
1582031654,3,80
1582033338,3,1
1582034177,1,1
1582035255,0,1
1582036933,1,2
1582038142,1,1
1582039817,1,0
1582041294,1,0
1582042455,2,0
1582044132,2,0
1582046054,1,0
1582047732,3,2
1582049026,2,0
1582050497,2,1
1582053259,3,1
1582054366,1,0
1582055538,1,0
1582058536,2,1
1582059385,1,0
1582062133,0,1
1582062978,3,0
1582064056,4,1
1582065739,3,0
1582066848,2,0
1582068492,5,0
1582070118,2,2
1582071315,1,1
1582072093,3,0
1582073773,7,2
1582074853,1,2
1582076541,1,3
1582077879,3,0
1582079114,1,1
1582080316,2,0
1582082052,2,2
1582083314,5,0
1582084936,1,1
1582086496,3,0
1582089259,6,2
1582090833,3,2
1582092337,4,2
1582094554,4,0
1582096220,5,1
1582097423,5,2
1582098915,6,2
1582100053,0,1
1582100897,4,2
1582102181,2,4
1582103418,2,1
1582104527,1,2
1582106195,5,2
1582107255,2,0
1582108942,3,1
1582110856,3,1
1582112375,0,2
1582113379,3,3
1582114518,5,1
1582115649,2,0
1582118052,9,5
1582119744,4,4
1582120590,3,3
1582121720,1,1
1582123340,0,1
1582124774,1,1
1582126195,1,1
1582127400,2,1
1582128853,2,2
1582130007,2,0
1582131313,2,2
1582132454,3,3
1582134142,2,3
1582134973,1,0
1582136118,4,2
1582136901,3,0
1582138218,3,1
1582139656,3,5
