DateTime,AddedIPs,RemovedIPs
1581482537,0,1
1581484459,1,0
1581487168,1,0
1581488428,1,0
1581491725,1,1
1581494451,0,2
1581495627,1,0
1581498859,3,1
1581500541,0,4
1581502458,3,0
1581504141,3,2
1581506128,2,1
1581507317,0,1
1581509662,3,0
1581511521,2,0
1581513021,1,0
1581515417,2,0
1581520455,1,1
1581522143,0,1
1581522978,1,0
1581524059,0,1
1581525742,0,1
1581527439,1,0
1581529338,2,1
1581532942,0,1
1581534856,0,2
1581536439,1,1
1581538456,0,1
1581540143,0,2
1581541814,1,1
1581543005,2,1
1581545421,2,0
1581546629,2,1
1581550942,1,0
1581554547,1,1
1581556455,0,1
1581558146,1,0
1581610220,26,29
1581611295,1,0
1581614059,1,1
1581617034,0,1
1581617658,1,0
1581618917,1,2
1581620022,1,2
1581621262,0,1
1581622094,5,0
1581622947,2,2
1581624857,1,0
1581626545,2,0
1581628224,1,1
1581630136,0,3
1581632054,1,1
1581632899,1,0
1581634030,0,1
1581635658,0,1
1581639259,2,2
1581641105,0,1
1581644435,2,2
1581645649,1,2
1581648139,1,1
1581651739,0,1
1581658937,1,0
1581662117,1,0
1581663935,1,0
1581664456,1,0
1581666135,1,4
1581668059,2,1
1581673335,1,3
1581675260,1,2
1581676353,1,2
1581677716,2,0
1581678921,1,1
1581682221,0,1
1581684138,0,3
1581686059,2,2
1581687634,1,0
1581689659,1,0
1581691234,0,2
1581693017,1,1
1581696051,1,0
1581698718,1,3
1581700455,1,0
1581702134,1,1
1581706516,1,0
1581707659,3,0
1581709339,0,2
1581712097,1,0
1581713776,1,2
1581714857,1,0
1581715698,1,0
1581717010,0,2
1581718220,1,1
1581722060,0,1
1581724234,0,1
1581725382,1,1
1581727337,0,3
1581728895,0,1
1581731456,0,2
1581732626,0,1
1581736229,3,0
1581738137,2,0
1581739821,2,0
1581741031,1,0
1581742216,2,0
1581743428,0,1
1581744623,0,2
1581746178,0,1
1581747256,0,2
1581748941,1,0
1581749776,2,0
1581751699,0,1
1581752844,1,0
1581754456,2,2
1581757855,1,0
1581759027,2,1
1581761722,0,1
1581763343,1,0
1581766940,1,1
1581768618,0,2
1581770541,0,11
1581772460,1,9
1581777738,1,0
1581781334,2,3
1581783313,0,1
1581785719,0,4
1581786917,0,1
1581788435,2,3
1581792140,1,9
1581794056,1,2
