DateTime,AddedIPs,RemovedIPs
1582268133,5,1
1582269093,4,4
1582269813,3,4
1582270534,6,4
1582271252,2,3
1582271972,4,4
1582272693,4,3
1582273413,4,1
1582274132,3,1
1582274853,6,4
1582275572,4,1
1582276293,2,0
1582277012,3,6
1582277732,6,1
1582278453,5,2
1582279173,49,5
1582279893,7,6
1582280613,4,5
1582281813,5,13
1582282533,6,5
1582283253,5,6
1582283973,7,5
1582284693,3,8
1582285413,2,9
1582286133,2,10
1582287093,5,6
1582287813,4,2
1582288532,3,7
1582289253,13,9
1582289973,6,5
1582290693,7,9
1582291413,5,5
1582292134,3,10
1582292853,7,12
1582293573,5,3
1582294292,5,5
1582295014,3,3
1582295733,3,1
1582296453,4,8
1582297173,0,4
1582297893,6,7
1582298612,9,29
1582299333,5,8
1582300054,3,8
1582300773,5,10
1582301493,6,3
1582302213,4,5
1582302934,6,8
1582303654,6,4
1582304373,5,8
1582305094,2,1
1582305814,2,4
1582306533,36,3
1582307254,21,8
1582307974,9,8
1582308693,4,1
1582309413,36,5
1582310133,5,2
1582310854,5,5
1582311572,4,3
1582312293,5,6
1582313013,1,10
1582313733,2,4
1582314453,4,6
1582315173,1,7
1582315893,11,7
1582316613,10,4
1582317332,3,3
1582318054,2,6
1582318773,4,2
1582319493,8,3
1582320212,5,5
1582320934,1,3
1582321653,4,4
1582322373,2,5
1582323094,2,7
1582323812,4,6
1582324533,3,6
1582325254,2,5
1582325973,6,1
1582326693,3,7
1582327413,1,3
1582328133,3,6
1582328852,2,3
1582329573,3,10
1582330293,2,10
1582331014,6,7
1582331733,2,1
1582332453,3,2
1582333173,6,4
1582333893,5,3
1582334614,1,9
1582335332,6,5
1582336053,11,3
1582336772,2,0
1582337492,6,4
1582338212,2,9
1582338933,2,3
1582339653,4,3
1582340374,5,14
1582341093,2,13
1582341813,3,12
1582342533,4,13
1582343253,10,11
1582343973,3,6
1582344693,5,4
1582345412,7,1
1582346133,3,5
1582346854,2,4
1582347573,5,5
1582348293,2,2
1582349013,8,4
1582349732,14,5
1582350453,7,5
1582351174,3,10
1582351894,1,4
1582352614,5,5
1582353334,3,6
1582354052,4,8
1582354772,10,6
1582355493,8,3
1582356212,3,3
1582356933,11,6
1582357653,4,3
1582358373,7,3
1582359093,6,5
1582359813,7,4
1582360532,3,5
1582361254,9,8
1582361973,15,4
1582362932,23,1216
1582363653,24,2
1582364373,16,5
1582365094,13,7
1582366053,25,5
1582366773,8,4
1582367493,8,4
1582368212,11,2
1582368934,7,8
1582369654,17,5
1582370372,8,7
1582371093,6,3
1582371812,3,3
1582372532,3,1
1582373253,3,3
1582373973,2,4
1582374693,7,2
1582375413,6,14
1582376132,2,5
1582376853,46,5
1582377572,7,4
1582378292,60,7
1582379012,49,5
1582379733,13,7
1582380453,8,6
1582381172,9,4
1582381893,5,2
1582382612,4,5
1582383333,5,2
1582384053,5,6
1582384773,49,3
1582385493,3,8
1582386213,2,3
1582386933,3,5
1582387653,5,6
1582388374,3,5
1582389093,4,2
1582389813,3,9
1582390533,9,3
1582391253,6,4
1582391973,3,3
1582392693,6,17
1582393413,10,41
1582394134,9,7
1582394853,4,4
1582395573,6,35
1582396293,2,6
1582397013,4,5
1582397733,6,6
1582398453,6,3
1582399173,6,3
1582399893,4,1
1582400613,9,4
1582401332,7,1
1582402053,15,6
1582402774,6,19
1582403494,9,5
1582404212,7,2
1582404932,10,0
1582405653,6,6
1582406373,6,6
1582407093,7,2
1582407812,5,2
1582408533,5,4
1582409253,6,1
1582409973,10,5
1582410693,4,2
1582411413,8,2
1582412132,7,7
1582413092,5,5
1582413813,9,2
1582414532,12,3
1582415253,4,4
1582415972,5,1
1582416693,8,1
1582417413,10,7
1582418133,5,1
1582418852,10,3
1582419572,10,5
1582420294,13,6
1582421012,3,2
1582421733,5,3
1582422454,12,11
1582423172,3,8
1582423892,5,8
1582424613,9,3
1582425332,9,1
1582426053,3,4
1582426773,5,6
1582427492,11,2
1582428213,3,3
1582428933,7,6
1582429654,6,9
1582430374,2,3
1582431093,5,4
1582431813,7,7
1582432533,1,3
1582433254,5,2
1582433973,3,6
1582434693,4,5
1582435412,5,7
1582436132,5,13
1582436853,2,7
1582437573,2,3
1582438293,5,2
1582439013,2,5
1582439733,3,4
1582440453,4,5
1582441173,7,9
1582441893,1,6
1582442613,2,1
1582443333,3,6
1582444053,4,3
1582444773,5,9
1582445493,4,5
1582446213,5,8
1582446934,5,4
1582447654,5,7
1582448373,5,13
1582449093,4,13
1582449813,4,19
1582450533,22,15
1582451253,2,14
1582451974,7,11
1582452692,6,15
1582453413,3,6
1582454134,5,6
1582454853,48,9
1582455574,4,9
1582456293,7,15
1582457014,11,6
1582457734,12,6
1582458454,14,6
1582459173,9,1
1582459893,17,3
1582460612,8,5
1582461332,8,6
1582462053,2,3
1582462773,5,2
1582463492,6,48
1582464213,3,53
1582464933,4,14
1582465653,6,54
1582466374,5,10
1582467094,2,9
1582467813,9,7
1582468533,4,4
1582469253,6,3
1582469974,6,7
1582470693,7,33
1582471412,4,13
1582472133,10,5
1582472852,7,15
1582473572,5,3
1582474301,3,7
1582475012,8,2
1582475733,9,5
1582476453,5,8
1582477173,3,6
1582477893,4,9
1582478613,8,4
1582479334,3,9
1582480053,8,8
1582480773,7,5
1582481494,6,5
1582482212,14,4
1582482933,6,4
1582483654,5,5
1582484374,5,7
1582485093,0,6
1582485813,2,5
1582486533,5,7
1582487253,4,8
1582487974,4,10
1582488693,4,10
1582489413,9,8
1582490134,8,7
1582490853,3,12
1582491573,5,10
1582492294,12,5
1582493013,12,10
1582493733,21,5
1582494453,11,3
1582495173,5,7
1582495893,37,5
1582496612,2,7
1582497332,4,8
1582498052,3,11
1582498773,5,5
1582499493,4,4
1582500212,5,9
1582500933,9,12
