DateTime,AddedIPs,RemovedIPs
1581582003,6,6
1581583924,11,15
1581585847,7,8
1581589683,7,25
1581591607,10,0
1581593529,12,11
1581595453,7,0
1581597368,17,8
1581599289,14,14
1581601208,18,0
1581603130,11,14
1581605047,6,0
1581606975,5,11
1581610805,8,26
1581612723,3,7
1581616567,3,13
1581618487,11,15
1581620407,7,16
1581622333,8,14
1581624252,6,13
1581626167,10,13
1581628336,10,36
1581630274,15,9
1581632168,21,14
1581634085,17,0
1581636004,14,25
1581637925,11,23
1581639852,14,16
1581641767,17,12
1581643689,17,27
1581645609,24,0
1581647532,11,14
1581649695,10,0
1581651607,6,17
1581653536,12,15
1581657368,11,10
1581659289,17,19
1581661205,11,0
1581663126,8,0
1581665050,18,8
1581666965,8,18
1581670811,10,23
1581672728,7,9
1581674921,8,7
1581676808,16,12
1581678736,10,14
1581680651,13,12
1581682577,16,10
1581684485,11,5
1581686403,20,13
1581688328,11,20
1581690247,11,12
1581692168,13,14
1581694087,11,18
1581696004,12,10
1581697932,6,16
1581702012,10,28
1581703931,10,15
1581705864,16,17
1581707775,21,11
1581709695,16,18
1581711618,14,13
1581713546,20,16
1581717381,9,21
1581719285,15,19
1581721283,10,10
1581723146,9,0
1581725316,14,9
1581727208,13,17
1581729132,12,0
1581731063,14,0
1581732974,21,39
1581736817,10,7
1581738725,22,10
1581742565,9,17
1581746426,7,43
1581748336,15,9
1581752408,7,8
1581754344,5,8
1581756248,10,14
1581758173,12,6
1581760101,7,4
1581762007,16,6
1581765860,10,16
1581767765,7,3
1581771625,7,15
1581773533,9,14
1581775696,5,0
1581777609,6,9
1581779542,6,19
1581781450,6,25
1581783610,15,20
1581785548,8,27
1581787466,12,12
1581789367,13,0
1581791289,9,25
1581793227,14,26
1581795132,8,0
1581797299,10,37
1581799210,7,22
1581801144,10,16
1581803051,6,0
1581804979,10,18
1581806893,6,20
1581808805,7,31
1581812659,8,21
1581814568,9,14
1581816488,8,15
1581818426,10,11
1581820333,7,0
1581822499,4,10
1581824423,7,12
1581826337,16,11
1581828261,10,11
1581830173,10,14
1581832093,8,17
1581834018,8,7
1581835925,8,9
1581837848,4,11
1581839778,15,11
1581841687,7,6
1581843645,14,12
1581845542,0,9
1581847710,3,0
1581849611,3,3
1581851532,6,12
1581853461,3,7
1581855377,2,20
1581857532,4,0
1581859450,7,14
1581861378,5,12
1581863285,5,6
1581865210,8,18
1581867143,6,25
1581869052,5,16
1581870968,2,14
1581872910,9,22
1581874811,5,18
1581876730,10,13
1581878661,11,14
1581880570,6,20
1581882489,10,30
1581884418,10,12
1581886324,6,0
1581890180,5,38
1581892085,5,0
1581894011,5,18
1581895945,13,30
1581898110,11,16
1581900012,11,14
1581903863,12,5
1581905769,17,0
1581907689,11,10
1581909617,9,16
1581911526,10,0
1581915377,12,24
1581917285,13,16
1581919211,10,10
1581921141,9,18
1581923310,14,13
1581925210,13,7
1581927132,9,7
1581929062,8,6
1581930971,8,12
1581932888,8,5
1581934818,11,11
1581936727,8,0
1581938648,11,8
1581940579,7,29
1581942484,12,0
1581944410,3,10
1581946342,9,14
1581948510,8,30
1581950410,10,0
1581952333,13,16
1581954265,5,10
1581956412,8,35
1581958328,5,0
1581960269,13,20
1581962166,6,0
1581964086,10,16
1581966038,4,33
1581967931,6,0
1581969852,13,24
1581971788,11,17
1581973702,4,14
1581975629,13,9
1581977529,13,17
1581979468,15,18
1581981370,13,13
1581983290,12,18
1581985206,13,17
1581987127,13,7
1581989077,13,15
1581990967,7,8
1581992905,20,13
1581996726,15,25
1581998901,11,15
1582000809,8,13
1582002751,11,7
1582004647,11,14
1582006569,17,15
1582008508,14,12
1582010407,16,17
1582012325,12,9
1582014267,19,6
1582016167,19,12
1582018087,8,8
1582024100,15,17
1582026010,4,11
1582027956,13,13
1582029848,14,14
1582031772,15,14
1582033710,22,15
1582035607,12,17
1582037525,12,9
1582039464,13,20
1582041366,15,16
1582043288,13,13
1582045221,17,14
1582047129,10,15
1582049298,13,13
1582051209,12,15
1582053144,15,12
1582055049,15,12
1582056970,12,12
1582058906,22,17
1582060804,16,11
1582062739,7,22
1582064646,18,15
1582066578,8,16
1582068486,9,10
1582070427,8,14
1582072331,6,18
1582074754,10,8
1582076648,10,19
1582078573,14,11
1582080503,15,16
1582082405,10,13
1582084328,10,13
1582086263,16,7
1582088167,10,7
1582090085,11,13
1582093928,15,21
1582096098,10,7
1582098009,11,14
1582099947,18,10
1582101848,13,9
1582103794,7,12
1582107636,16,19
1582109539,17,5
1582111458,10,8
1582113383,11,9
1582115291,10,11
1582117211,12,9
1582121320,10,19
1582123209,15,13
1582125132,16,16
1582127064,14,10
1582128967,16,14
1582130891,17,11
1582132821,12,12
1582136647,19,22
1582138580,11,19
1582140484,14,15
1582142412,11,25
1582144344,21,13
1582146514,17,11
1582148411,11,18
1582150580,8,29
1582152492,14,18
1582154415,12,11
1582156326,10,19
1582158262,17,12
1582160165,7,9
1582162085,18,18
1582164019,16,10
1582165933,13,9
1582167864,12,8
1582171707,11,5
1582173649,6,22
1582175531,15,0
1582177463,10,10
1582179372,8,0
1582181292,13,17
1582183226,6,0
1582185135,12,14
1582187047,21,0
1582188979,9,30
1582190887,7,0
1582194747,19,24
1582196656,8,15
1582198569,16,8
1582200503,19,12
1582202414,18,21
1582204329,8,19
1582206262,13,14
1582208169,9,0
1582210092,12,10
1582212018,13,12
1582213928,19,14
1582215846,17,29
1582217777,18,20
1582219683,11,0
1582221608,12,15
1582223538,11,14
1582225454,13,18
1582229297,9,36
1582231208,9,10
1582233141,9,6
1582235046,18,14
1582238901,16,22
1582240804,24,10
1582242723,8,21
1582244661,15,9
1582246565,13,14
1582248483,11,15
1582250419,12,14
1582252327,20,13
1582254497,15,17
1582256409,18,17
1582258589,16,13
1582260492,14,14
1582262414,15,15
1582264337,21,0
1582266271,19,9
1582268178,12,9
1582270087,8,9
1582272025,19,11
1582273928,13,10
1582275850,15,9
1582277780,13,11
1582279957,11,14
1582281863,14,14
1582283774,20,13
1582285694,19,13
1582287606,5,9
1582289525,5,9
1582293365,11,18
1582295284,12,13
1582297220,17,11
1582302979,17,38
1582304896,10,0
1582306811,16,15
1582308745,13,18
1582312568,13,16
1582314503,12,29
1582316404,19,0
1582318324,24,17
1582320262,18,23
1582322165,8,0
1582324088,13,10
1582326021,13,18
1582327927,10,0
1582330099,9,19
1582332008,12,8
1582333941,20,6
1582335846,12,6
1582337771,9,18
1582339703,15,9
1582345462,12,29
1582347366,13,9
1582349285,19,10
1582351233,20,9
1582353126,9,9
1582355299,17,10
1582357210,10,11
1582359143,16,10
1582361047,16,7
1582362990,14,12
1582364893,13,11
1582366819,17,14
1582368726,23,16
1582370648,15,14
1582372578,14,9
1582374488,14,6
1582376407,16,10
1582378341,6,14
1582380251,12,19
1582382168,12,8
