DateTime,Entries,UniqueIPs
1581582003,6470,6717
1581583924,6474,6721
1581585847,6461,6709
1581589683,6462,6710
1581591607,6462,6710
1581593529,6467,6717
1581595453,6455,6705
1581597368,6463,6713
1581599289,6465,6714
1581601208,6476,6727
1581603130,6481,6732
1581605047,6465,6716
1581606975,6452,6703
1581610805,6429,6679
1581612723,6412,6662
1581616567,6372,6622
1581618487,6369,6614
1581620407,6366,6612
1581622333,6376,6622
1581624252,6354,6598
1581626167,6367,6611
1581628336,6332,6576
1581630274,6335,6579
1581632168,6332,6575
1581634085,6328,6573
1581636004,6345,6591
1581637925,6340,6587
1581639852,6342,6589
1581641767,6361,6608
1581643689,6353,6600
1581645609,6359,6606
1581647532,6352,6599
1581649695,6349,6598
1581651607,6341,6591
1581653536,6345,6595
1581657368,6325,6574
1581659289,6332,6581
1581661205,6329,6577
1581663126,6317,6564
1581665050,6320,6566
1581666965,6312,6557
1581670811,6290,6534
1581672728,6280,6524
1581674921,6288,6532
1581676808,6295,6538
1581678736,6287,6531
1581680651,6285,6529
1581682577,6290,6535
1581684485,6290,6535
1581686403,6296,6541
1581688328,6294,6538
1581690247,6299,6543
1581692168,6289,6535
1581694087,6293,6539
1581696004,6296,6542
1581697932,6304,6550
1581702012,6253,6498
1581703931,6266,6511
1581705864,6243,6488
1581707775,6249,6493
1581709695,6268,6512
1581711618,6238,6481
1581713546,6249,6491
1581717381,6224,6466
1581719285,6223,6465
1581721283,6210,6452
1581723146,6188,6429
1581725316,6177,6419
1581727208,6196,6438
1581729132,6188,6430
1581731063,6169,6411
1581732974,6170,6412
1581736817,6143,6385
1581738725,6165,6408
1581742565,6142,6384
1581746426,6107,6345
1581748336,6125,6363
1581752408,6082,6320
1581754344,6047,6282
1581756248,6061,6296
1581758173,6055,6290
1581760101,6047,6282
1581762007,6063,6299
1581765860,6022,6257
1581767765,6030,6265
1581771625,6018,6248
1581773533,6028,6262
1581775696,6009,6240
1581777609,6006,6237
1581779542,6004,6234
1581781450,6003,6233
1581783610,6008,6238
1581785548,6015,6245
1581787466,6016,6246
1581789367,6013,6243
1581791289,6014,6244
1581793227,6015,6245
1581795132,6003,6233
1581797299,6000,6230
1581799210,6001,6230
1581801144,5988,6218
1581803051,5978,6208
1581804979,5979,6209
1581806893,5979,6209
1581808805,5970,6201
1581812659,5927,6156
1581814568,5921,6150
1581816488,5904,6133
1581818426,5904,6133
1581820333,5901,6128
1581822499,5896,6123
1581824423,5888,6115
1581826337,5883,6112
