DateTime,AddedIPs,RemovedIPs
1567532897,300,2
1567537365,680,11
1567579230,697,2339
1567581380,495,3
1567583544,379,6
1567586929,625,5
1567590039,587,7
1567592689,553,12
1567596041,539,668
1567598440,391,9
1567601307,460,9
1567604678,701,9
1567607799,440,2
1567611648,657,7
1567624695,651,1927
1567626045,296,6
1567643774,768,2418
1567647160,652,6
1567651711,753,1005
1567657242,734,512
1567685323,768,2773
1567744334,743,6627
1567745298,130,695
1567749659,356,9
1567753460,426,11
1567758263,441,7
1567762365,504,551
1567765464,434,610
1567769802,477,627
1567774123,493,660
1567778932,451,10
1567782040,389,673
1567800188,674,690
1567808894,712,1533
1567831466,708,2961
1567832427,209,5
1567835073,287,407
1567838681,357,530
1567841566,417,488
1567844430,457,563
1567846357,306,5
1567849450,377,614
1567851866,313,7
1567852831,8,656
1567854286,386,12
1567857804,332,6
1567860763,410,687
1567864847,500,12
1567867227,337,4
1567870371,345,7
1567873007,391,4
1567876361,388,5
1567878735,333,5
1567881873,359,4
1567884760,411,7
1567888595,403,4
1567891457,385,9
1567894836,378,10
1567897453,332,10
1567901082,439,6
1567904188,362,8
1567908040,401,6
1567910662,355,4
1567914759,367,5
1567987731,661,646
1567998733,703,7
1568020618,714,719
1568025851,8,696
1568047703,696,9
1568048674,189,7
1568050611,308,4
1568061138,666,1322
1568063329,290,7
1568067881,449,711
1568071706,384,695
1568074605,376,5
1568077251,364,10
1568079389,282,10
1568082741,295,5
1568085636,284,12
1568088771,333,654
1568091633,193,14
1568092122,106,463
1568094040,36,232
1568107232,729,680
1568111547,734,11
1568139636,678,843
1568140820,500,9
1568143244,654,743
1568145640,668,15
1568148750,648,6
1568154997,677,4
1568157878,693,10
1568161233,706,10
1568164125,707,7
1568167960,696,5
1568171056,720,12
1568172758,611,10
1568200587,693,2987
1568211184,722,1936
1568212344,198,5
1568215962,439,683
1568219317,379,647
1568222442,395,5
1568226049,389,9
1568229639,471,276
1568232536,313,629
1568235622,340,5
1568239726,399,8
1568242118,347,9
1568245497,372,6
1568249560,527,666
1568252678,382,708
1568256042,440,10
1568256969,182,741
1568258179,215,9
1568261541,460,7
1568262514,229,741
1568273572,665,10
1568274744,264,8
1568275977,221,9
1568277163,127,6
1568294464,681,683
1568298017,370,4
1568301427,544,7
1568304773,405,4
1568305717,229,7
1568319853,670,8
1568361734,656,1175
1568362924,189,4
1568368353,525,841
1568382500,597,1342
1568384438,153,360
1568387332,698,638
1568390924,740,13
1568395239,683,6
1568399332,695,12
1568402908,671,7
1568406755,730,632
1568409617,619,4
1568413947,703,637
1568427639,500,0
1568428356,274,6
1568430530,701,9
1568440596,661,718
1568445413,676,367
1568450190,639,696
1568453167,729,292
1568456658,629,307
1568460760,640,683
1568463164,600,392
1568467486,607,468
1568470844,738,301
1568474686,731,393
1568477585,603,385
1568480441,697,389
1568483790,707,678
1568486415,711,10
1568490051,687,830
1568492671,692,9
1568506331,713,1786
1568547611,686,1840
1568561059,640,8
1568578603,718,11
1568605700,634,1344
1568608831,701,5
1568609795,496,13
1568702415,724,5858
1568794593,795,9330
1568802756,811,11
1568803719,542,8
1568805149,500,3
1568897772,891,9961
1568978653,885,4677
1569071322,863,13231
1569163461,884,8626
1569255617,868,4022
1569348013,866,821
1569416430,888,2992
1569508095,835,893
1569600503,662,912
1569691456,574,851
1569782898,989,808
1569851810,825,30
1569944187,916,835
1570037066,986,1747
1570129247,845,861
1570163545,897,14
1570185614,796,1
1570190922,848,28
1570195652,825,26
1570199537,802,15
1570203816,811,18
1570207473,864,651
1570211086,824,20
1570219724,776,18
1570224755,815,12
1570227883,772,11
1570231457,820,12
1570235060,798,11
1570248741,788,10
1570253536,840,14
1570346668,754,568
1570438580,802,944
1570531008,765,772
1570624243,783,864
1570715792,857,855
1570807693,838,4627
1570899392,944,8226
1570992030,909,871
1571084433,862,858
1571177790,853,814
1571268744,501,445
1571269459,418,414
1571359209,500,499
1571360660,438,413
1571408886,500,0
1571410817,380,27
1571500815,500,425
1571501784,439,405
1571592752,500,429
1571593704,422,423
1571684452,500,498
1571685615,396,420
1571777539,500,401
1571778044,389,462
1571868981,500,459
1571870651,452,376
1571960893,500,494
1571963234,460,412
1572010402,500,498
1572013232,432,424
1572103956,500,499
1572107547,392,848
1572197550,500,500
1572200913,408,429
1572291396,500,997
1572294011,471,407
1572382370,500,500
1572385471,382,433
1572474247,500,500
1572477636,436,433
1572566183,500,497
