DateTime,Entries,UniqueIPs
1567532897,42260,42260
1567537365,42929,42929
1567579230,41287,41287
1567581380,41779,41779
1567583544,42152,42152
1567586929,42772,42772
1567590039,43352,43352
1567592689,43893,43893
1567596041,43764,43764
1567598440,44146,44146
1567601307,44597,44597
1567604678,45289,45289
1567607799,45727,45727
1567611648,46377,46377
1567624695,45101,45101
1567626045,45391,45391
1567643774,43741,43741
1567647160,44387,44387
1567651711,44135,44135
1567657242,44357,44357
1567685323,42352,42352
1567744334,36468,36468
1567745298,35903,35903
1567749659,36250,36250
1567753460,36665,36665
1567758263,37099,37099
1567762365,37052,37052
1567765464,36876,36876
1567769802,36726,36726
1567774123,36559,36559
1567778932,37000,37000
1567782040,36716,36716
1567800188,36700,36700
1567808894,35879,35879
1567831466,33626,33626
1567832427,33830,33830
1567835073,33710,33710
1567838681,33537,33537
1567841566,33466,33466
1567844430,33360,33360
1567846357,33661,33661
1567849450,33424,33424
1567851866,33730,33730
1567852831,33082,33082
1567854286,33456,33456
1567857804,33782,33782
1567860763,33505,33505
1567864847,33993,33993
1567867227,34326,34326
1567870371,34664,34664
1567873007,35051,35051
1567876361,35434,35434
1567878735,35762,35762
1567881873,36117,36117
1567884760,36521,36521
1567888595,36920,36920
1567891457,37296,37296
1567894836,37664,37664
1567897453,37986,37986
1567901082,38419,38419
1567904188,38773,38773
1567908040,39168,39168
1567910662,39519,39519
1567914759,39881,39881
1567987731,39896,39896
1567998733,40592,40592
1568020618,40587,40587
1568025851,39899,39899
1568047703,40586,40586
1568048674,40768,40768
1568050611,41072,41072
1568061138,40416,40416
1568063329,40699,40699
1568067881,40437,40437
1568071706,40126,40126
1568074605,40497,40497
1568077251,40851,40851
1568079389,41123,41123
1568082741,41413,41413
1568085636,41685,41685
1568088771,41364,41364
1568091633,41543,41543
1568092122,41186,41186
1568094040,40990,40990
1568107232,41039,41039
1568111547,41762,41762
1568139636,41597,41597
1568140820,42088,42088
1568143244,41999,41999
1568145640,42652,42652
1568148750,43294,43294
1568154997,43967,43967
1568157878,44650,44650
1568161233,45346,45346
1568164125,46046,46046
1568167960,46737,46737
1568171056,47445,47445
1568172758,48046,48046
1568200587,45752,45752
1568211184,44538,44538
1568212344,44731,44731
1568215962,44487,44487
1568219317,44219,44219
1568222442,44609,44609
1568226049,44989,44989
1568229639,45184,45184
1568232536,44868,44868
1568235622,45203,45203
1568239726,45594,45594
1568242118,45932,45932
1568245497,46298,46298
1568249560,46159,46159
1568252678,45833,45833
1568256042,46263,46263
1568256969,45704,45704
1568258179,45910,45910
1568261541,46363,46363
1568262514,45851,45851
1568273572,46506,46506
1568274744,46762,46762
1568275977,46974,46974
1568277163,47095,47095
1568294464,47093,47093
1568298017,47459,47459
