DateTime,AddedIPs,RemovedIPs
1567531004,950,941
1567532897,564,579
1567537365,869,864
1567579230,960,951
1567581380,783,793
1567583544,610,630
1567586929,921,901
1567590039,818,837
1567592689,767,753
1567596041,817,785
1567598440,637,669
1567601307,783,779
1567604678,912,952
1567607799,722,679
1567611648,908,951
1567624695,922,895
1567626045,568,582
1567643774,939,915
1567647160,885,877
1567651711,953,950
1567657242,984,946
1567685323,950,995
1567744334,929,946
1567745298,302,298
1567749659,608,620
1567753460,676,664
1567758263,672,688
1567762365,719,722
1567765464,675,652
1567769802,695,692
1567774123,731,735
1567778932,708,710
1567782040,637,645
1567800188,952,918
1567808894,942,958
1567831466,910,938
1567832427,489,473
1567835073,483,493
1567838681,521,517
1567841566,630,625
1567844430,673,693
1567846357,574,564
1567849450,605,605
1567851866,602,579
1567854286,613,615
1567857804,637,626
1567860763,663,682
1567864847,788,757
1567867227,580,608
1567870371,650,640
1567873007,625,654
1567876361,664,627
1567878735,592,607
1567881873,675,643
1567884760,676,718
1567888595,688,665
1567891457,620,637
1567894836,661,659
1567897453,612,609
1567901082,729,734
1567904188,593,585
1567908040,669,663
1567910662,620,622
1567914759,597,595
1567987731,939,950
1567998733,915,932
1568020618,932,922
1568047703,941,927
1568048674,494,487
1568050611,573,573
1568061138,928,941
1568063329,551,545
1568067881,741,740
1568071706,656,653
1568074605,675,674
1568077251,637,622
1568079389,545,582
1568082741,638,617
1568085636,578,568
1568088771,642,651
1568090521,0,460
1568091633,469,0
1568092122,106,133
1568094040,95,90
1568107232,979,936
1568111547,936,984
1568139636,983,937
1568140820,738,779
1568143244,978,932
1568145640,927,930
1568148750,918,946
1568154997,946,908
1568157878,953,986
1568161233,983,950
1568164125,938,981
1568167960,962,943
1568171056,966,942
1568172758,968,996
1568200587,923,945
1568211184,916,940
1568212344,511,468
1568215962,692,727
1568219317,697,668
1568222442,659,660
1568226049,674,674
1568229639,703,715
1568232536,639,628
1568235622,645,660
1568239726,694,685
1568242118,624,643
1568245497,672,645
1568249560,765,785
1568252678,665,649
1568256042,701,710
1568256969,513,482
1568258179,523,537
1568261541,710,727
1568262514,510,527
1568273572,916,927
1568274744,519,506
1568275977,551,514
1568277163,511,499
1568294464,917,963
1568298017,668,651
1568301427,811,816
1568304773,700,685
1568305717,503,527
1568319853,951,920
1568361734,936,940
1568362924,509,520
1568368353,797,812
1568382500,961,925
1568384438,508,505
1568387332,940,961
1568390924,984,944
1568395239,921,993
1568399332,896,918
1568402908,909,897
1568406755,915,908
1568409617,941,912
1568413947,917,940
1568427639,500,431
1568428356,472,472
1568430530,966,993
1568440596,904,910
1568445413,921,949
1568450190,952,925
1568453167,987,953
1568456658,970,983
1568460760,944,955
1568463164,889,900
1568467486,939,932
1568470844,940,961
1568474686,964,937
1568477585,953,963
1568480441,984,952
1568483790,912,991
1568486415,988,911
1568490051,935,976
1568492671,969,928
1568506331,937,969
1568547611,933,942
1568561059,966,934
1568578603,948,973
1568605700,993,957
1568608831,933,983
1568609795,742,726
1568702415,952,954
1568794593,963,949
1568802756,987,965
1568803719,767,824
1568805149,519,467
1568897772,989,995
1568978653,970,974
1569071322,899,974
1569163461,886,899
1569255617,886,886
1569348013,908,881
1569416430,980,911
1569508095,881,978
1569600503,661,892
1569691456,579,665
1569782898,998,577
1569851810,937,991
1569944187,961,928
1570037066,987,968
1570129247,910,979
1570163545,959,908
1570185614,808,978
1570190922,965,807
1570195652,938,937
1570199537,907,946
1570203816,905,903
1570207473,955,917
1570211086,954,956
1570219724,919,951
1570224755,957,910
1570227883,929,969
1570231457,929,933
1570235060,950,924
1570248741,927,951
1570253536,977,923
1570346668,953,967
1570438580,907,966
1570531008,929,911
1570624243,901,895
1570715792,982,928
1570807693,908,982
1570899392,909,906
1570992030,989,920
1571084433,896,993
1571177790,946,887
1571268744,500,460
1571269459,467,472
1571359209,500,495
1571360660,488,490
1571408886,500,498
1571410817,488,488
1571500815,500,500
1571501784,489,491
1571592752,500,498
1571593704,493,495
1571684452,500,498
1571685615,484,485
1571777539,500,499
1571778044,490,490
1571868981,500,500
1571870651,490,490
1571960893,500,500
1571963234,492,494
1572010402,500,498
1572013232,489,492
1572103956,500,497
1572107547,475,478
1572197550,500,497
1572200913,469,469
1572291396,500,500
1572294011,489,489
1572382370,500,500
1572385471,487,487
1572474247,500,500
1572477636,482,482
1572566183,500,500
1572568568,482,484
1572659073,500,498
1572661952,491,492
1572751208,500,499
1572755073,485,485
1572843646,500,500
1572846979,496,496
1572875051,500,500
1572878423,500,500
1572959081,500,500
1572967238,500,500
1573050976,500,500
1573060347,498,498
1573144824,500,500
