DateTime,Entries,UniqueIPs
1566878012,4367,4493
1566881072,4708,4864
1566884195,4654,4822
1566887786,5018,5203
1566892914,4990,5193
1566901699,4967,5177
1566909151,4975,5173
1566919939,5268,5498
1566937488,5156,5324
1566955235,4776,4938
1566961975,4726,4904
1566989794,2803,2854
1567007321,2376,2421
1567015718,2808,2871
1567019788,3227,3309
1567021986,3636,3756
1567025793,3480,3624
1567031075,3815,3984
1567038764,4155,4354
1567042593,4067,4272
1567046443,4355,4588
1567049791,4347,4582
1567053161,4617,4882
1567063963,4941,5242
1567067798,5224,5556
1567072840,5443,5794
1567078362,5297,5651
1567081724,5662,6036
1567085163,5887,6284
1567091082,6103,6516
1567094167,6187,6595
1567098278,6397,6823
1567102340,6442,6868
1567105459,6650,7083
1567112953,6026,6425
1567120602,6089,6498
1567127322,6062,6479
1567134040,5863,6264
1567135222,6234,6654
1567137628,6106,6522
1567140016,6118,6541
1567154202,5865,6265
1567157778,6060,6470
1567163324,6112,6532
1567167424,6163,6583
1567176029,5942,6355
1567182266,5696,6080
1567195454,5196,5537
1567197879,5666,6014
1567204336,5801,6139
1567208677,5805,6140
1567213244,6194,6548
1567220681,5845,6191
1567224768,5494,5826
1567228121,5474,5795
1567231960,5854,6198
1567235800,6200,6562
1567239376,6520,6905
1567243220,6524,6893
1567247547,6553,6924
1567254034,6303,6634
1567335376,954,977
1567414099,970,984
1567420570,1448,1467
1567447967,1468,1475
1567452027,1927,1943
1567459472,2383,2407
1567464251,2782,2824
1567481541,3162,3229
1567487321,3557,3653
1567489473,3953,4074
1567531004,3477,3606
1567532897,3849,3999
1567537365,3894,4029
1567579230,1887,1945
1567581380,2251,2330
1567583544,2684,2780
1567586929,3045,3169
1567590039,3438,3575
1567592689,3848,4005
1567596041,4177,4373
1567598440,4557,4777
1567601307,4821,5073
1567604678,5219,5495
1567607799,5526,5819
1567611648,5844,6167
1567624695,5185,5459
1567626045,5516,5826
1567643774,5908,6232
1567647160,6283,6626
1567651711,6656,7016
1567657242,6982,7436
1567685323,4714,4975
1567744334,981,991
1567745298,1256,1282
1567749659,1725,1770
1567753460,2146,2208
1567758263,2583,2658
1567762365,2976,3070
1567765464,3370,3484
1567769802,3768,3895
1567774123,3744,3875
1567778932,4100,4254
1567782040,4476,4651
1567800188,4835,5029
1567808894,5195,5411
1567831466,5318,5550
1567832427,5337,5562
1567835073,5579,5815
1567838681,5516,5751
1567841566,5541,5763
1567844430,5908,6143
1567846357,5877,6119
1567849450,5881,6119
1567851866,5830,6064
1567854286,6209,6457
1567857804,6105,6342
1567860763,6074,6310
1567864847,6366,6620
1567867227,6394,6642
1567870371,6334,6585
1567873007,6687,6959
1567876361,7004,7297
1567878735,7343,7654
1567881873,7590,7915
1567884760,7900,8234
1567888595,7885,8211
1567891457,8226,8556
1567894836,8511,8861
1567897453,8494,8842
1567901082,8741,9102
1567904188,9084,9452
1567908040,9319,9698
1567910662,9635,10023
1567914759,9877,10274
1567928442,8625,8946
1567987731,2233,2261
1567998733,1464,1472
1568020618,1464,1470
1568047703,1915,1930
1568048674,2352,2378
1568050611,2795,2837
1568061138,3207,3259
1568063329,3622,3684
1568067881,3987,4075
1568071706,4299,4416
1568074605,4297,4425
1568077251,4678,4829
1568079389,5045,5213
1568082741,5279,5472
1568085636,5246,5445
1568088771,5537,5752
1568091633,5881,6112
1568094040,5917,6158
1568107232,5896,6154
1568111547,6300,6564
1568139636,5611,5854
1568140820,5985,6249
1568143244,6240,6535
1568145640,6519,6843
1568148750,6457,6804
1568154997,6111,6435
1568157878,6431,6783
1568161233,6189,6543
1568164125,6231,6581
1568167960,6223,6590
1568171056,6249,6611
1568172758,6161,6537
1568200587,5056,5360
1568211184,5470,5777
1568212344,5765,6097
1568215962,6136,6477
1568219317,6412,6765
1568222442,6697,7068
1568226049,6759,7102
1568229639,6795,7128
1568232536,6528,6821
1568235622,6558,6834
1568239726,6875,7171
1568242118,6957,7237
1568245497,6929,7191
1568249560,7006,7261
1568252678,6962,7222
1568256042,6931,7180
1568256969,7178,7463
1568258179,7099,7397
1568261541,7238,7506
1568262514,7515,7802
1568273572,7863,8160
1568274744,8197,8509
1568275977,8455,8789
1568277163,8636,9005
1568294464,8659,9027
1568298017,8552,8930
1568301427,8667,9045
1568304773,8650,9052
1568305717,8955,9374
1568319853,7841,8206
1568361734,3681,3865
1568362924,3672,3865
1568368353,3764,3948
1568382500,3655,3870
1568384438,3643,3884
1568387332,4002,4262
1568390924,3975,4249
1568395239,3618,3864
1568399332,4023,4291
1568402908,4404,4691
1568406755,4483,4746
1568409617,4796,5093
1568413947,5179,5495
1568428356,5550,5887
1568430530,5866,6235
1568440596,6155,6545
1568445413,6491,6918
1568450190,6157,6547
1568453167,6478,6884
1568456658,6321,6742
1568460760,6572,7016
1568463164,6787,7249
1568467486,6999,7485
1568470844,6922,7331
1568474686,7018,7429
1568477585,6920,7331
1568480441,7249,7683
1568483790,7278,7718
1568486415,7176,7633
1568490051,7149,7613
1568492671,7430,7924
1568506331,6761,7235
1568547611,4729,5007
1568561059,4076,4314
1568578603,2253,2340
1568605700,1823,1887
1568608831,2269,2344
1568609795,2708,2796
1568702415,492,500
1568794593,494,500
1568802756,980,990
1568803719,1437,1460
1568805149,1928,1958
1568897772,495,500
1568978653,974,985
1569071322,498,500
1569163461,490,500
1569255617,494,500
1569348013,497,500
1569416430,962,987
1569508095,498,500
1569600503,500,500
1569691456,499,500
1569782898,499,500
1569851810,973,991
1569944187,500,500
1570037066,499,500
1570129247,494,500
1570163545,962,979
1570185614,1457,1474
1570190922,1887,1932
1570195652,2290,2370
1570199537,2690,2790
1570203816,3095,3218
1570207473,3496,3647
1570211086,3872,4053
1570219724,3867,4051
1570224755,4210,4425
1570227883,4559,4801
1570231457,4949,5213
1570235060,5303,5588
1570248741,5663,5971
1570253536,5693,5992
1570346668,493,500
1570438580,499,500
1570531008,489,500
1570624243,495,500
1570715792,494,500
1570807693,495,500
1570899392,496,500
1570992030,494,500
1571084433,498,500
1571177790,491,500
1571269459,496,500
1571360660,498,500
1571410817,970,988
1571501784,497,500
1571593704,494,500
1571685615,493,500
1571778044,492,500
1571870651,499,500
1571963234,499,500
1572013232,989,992
1572107547,491,500
1572200913,497,500
1572294011,497,500
1572385471,486,500
1572477636,499,500
1572568568,500,500
1572661952,498,500
1572755073,497,500
1572846979,496,500
1572875051,989,1000
1572967238,485,500
1573060347,495,500
1573151792,500,500
1573210575,999,1000
1573301337,343,500
1573392993,310,500
1573484170,498,500
1573576362,499,500
1573656756,996,1000
1573747976,500,500
1573840097,500,500
1573931779,497,500
1574023242,495,500
1574115156,498,500
1574207055,497,500
1574298756,498,500
1574390419,499,500
1574417313,997,1000
1574508753,498,500
1574536101,981,993
1574616275,975,997
1574695710,972,990
1574754968,976,986
1574782815,970,986
1574862513,965,984
1574953960,498,500
1574954892,960,969
1575023287,1418,1441
1575115688,498,500
1575138023,990,995
1575217969,993,996
1575297388,991,997
1575377530,983,995
1575470191,498,500
1575539535,979,989
1575557306,989,996
1575625699,1450,1473
1575717861,492,500
1575752173,971,985
1575844581,500,500
1575894268,989,997
1575986178,499,500
1575997457,994,995
1576089166,498,500
1576095870,966,977
1576187294,500,500
1576236992,983,990
1576329616,495,500
1576410269,983,994
1576502657,494,500
1576561712,983,991
1576653869,499,500
1576654809,981,988
1576688898,1451,1467
1576757548,968,981
1576780838,979,988
1576785496,1447,1472
1576789708,1895,1938
1576794787,2335,2395
1576854024,2367,2420
1576855962,2799,2867
1576859557,3224,3311
1576881868,1925,1952
1576893129,2398,2433
1576902020,2851,2899
1576936328,3306,3365
1577028751,489,500
1577096886,954,982
1577114438,1396,1445
1577128347,1410,1453
1577170329,1862,1914
1577187624,1901,1932
1577191709,2308,2363
1577199638,2751,2819
1577290584,494,500
1577381542,500,500
1577441322,987,995
1577533933,497,500
1577575713,977,986
1577586250,1409,1444
1577598014,1851,1910
1577625867,1843,1901
1577635702,2216,2303
1577649631,2662,2765
1577663312,2631,2719
1577680362,2696,2804
1577691133,2723,2817
1577694748,3168,3272
1577701956,3600,3719
1577793862,498,500
1577801312,983,990
1577806363,1452,1467
1577809698,1906,1925
1577818093,2316,2352
1577825061,2732,2790
1577830129,3139,3222
1577833941,3524,3632
1577838259,3912,4052
1577846185,4333,4495
1577850249,4728,4899
1577858921,5083,5277
1577876445,5433,5666
1577878826,5751,6014
1577882650,5701,5967
1577888198,5581,5891
1577894917,5621,5928
1577902825,5534,5873
1577910027,5602,5927
1577933301,4140,4363
1577955863,3763,3966
1577959480,4101,4337
1577963074,4168,4380
1577972433,3803,3975
1577978659,3895,4048
1578020191,2690,2777
1578048013,2296,2344
1578058588,2314,2360
1578061476,2336,2379
1578064599,2794,2848
1578086910,2784,2861
1578166810,988,994
1578236167,993,996
1578316106,973,987
1578323310,968,991
1578329308,1422,1455
1578332678,1845,1905
1578354505,2282,2359
1578395557,2701,2797
1578486992,494,500
1578497291,962,974
1578576772,978,988
1578668926,500,500
1578671888,955,967
1578765630,499,500
1578834756,975,991
1578846506,1440,1464
1578938655,490,500
1579018836,958,981
1579088415,992,996
1579092266,1475,1484
1579096831,1942,1956
1579100917,2405,2433
1579104511,2851,2890
1579108116,2877,2909
1579175304,2851,2894
1579267016,491,500
1579358675,499,500
1579450573,499,500
1579541540,500,500
1579632729,497,500
1579723739,478,500
1579814892,488,500
1579906108,483,500
1579964429,870,926
1579973285,1204,1297
1580052738,902,936
1580111062,922,950
1580118264,1323,1369
1580124490,1703,1779
1580135546,2028,2145
1580145134,1988,2131
1580236355,488,500
1580316011,889,940
1580406966,488,500
1580465769,885,932
1580557450,475,500
1580649158,482,500
1580662570,859,920
1580742772,869,920
1580812449,886,943
1580839946,861,918
1580930651,491,500
1581022107,484,500
1581063607,889,933
1581074664,1222,1314
1581165608,484,500
1581257547,483,500
1581325958,861,926
1581417863,477,500
1581509304,487,500
1581601932,480,500
1581693377,476,500
1581784091,487,500
1581875066,473,500
1581954735,879,941
1581972514,858,924
1581975633,1242,1317
1582017372,1531,1671
1582018810,1772,1953
1582060102,1486,1610
1582108329,852,908
1582150116,873,930
1582218972,858,928
1582311126,480,500
1582402570,478,500
1582494730,481,500
1582562890,877,929
1582621945,895,938
1582629862,1248,1323
