DateTime,AddedIPs,RemovedIPs
1555921209,2,0
1555964888,1,0
1556008580,2,0
1556052497,3,0
1556139863,1,0
1556249292,1,468
1556336667,1,0
1556424035,3,0
1556511368,1,0
1556555070,3,0
1556642430,1,0
1556729788,2,0
1556773452,6,0
1556817151,1,0
1557035771,1,0
1557079717,1,0
1557123370,1,0
1557167069,2,0
1557210743,2,0
1557254406,2,0
1557298091,1,0
1557385470,1,0
1557429131,2,0
1557472826,1,0
1557516487,1,0
1557603847,1,0
1557647525,2,0
1557734913,1,0
1557778584,1,0
1557909608,1,0
1557953287,1,0
1557996976,1,0
1558040657,5,0
1558084361,2,0
1558171957,2,0
1558215612,1,0
1558302969,6,0
1558346652,1,0
1558390359,1,0
1558434030,1,0
1558477692,3,0
1558521366,4,0
1558565067,3,0
1558652437,3,0
1558739769,2,0
1558870831,3,0
1558914488,1,0
1558958164,1,0
1559001876,1,0
1559089258,3,0
1559220272,1,0
1559263953,2,0
1559307637,4,0
1559351561,1,0
1559395228,2,0
1559482567,2,0
1559526251,1,0
1559613617,5,0
1559744648,2,0
1559788333,2,0
1559832008,1,0
1559875687,3,0
1559963298,4,0
1560050892,4,0
1560094569,2,0
1560138253,3,0
1560181934,1,0
1560269539,2,0
1560313208,1,0
1560400813,1,0
1560444503,1,0
1560488170,1,0
1560575543,1,0
1560619222,1,0
1560662887,3,0
1560750248,2,0
1560881591,2,0
1560925239,1,0
1561099950,1,0
1561143611,1,0
1561187318,1,0
1561231002,1,0
1561362033,1,0
1561449637,2,0
1561537215,1,0
1561624576,1,0
1561668273,1,0
1561755623,2,0
1561799311,4,0
1561842979,2,0
1561886651,2,0
1561930353,4,0
1561974010,3,0
1562017715,1,0
1562061391,1,0
1562148764,2,0
1562194128,1,0
1562237784,1,0
1562281459,3,0
1562325131,1,0
1562368805,2,0
1562412497,3,0
1562456174,1,0
1562499867,1,0
1562543534,3,0
1562587219,3,0
1562630912,4,0
1562674572,1,0
1562718251,3,0
1562761941,1,0
1562805608,1,0
1562892987,2,0
1562936653,1,0
1562980337,1,0
1563024011,1,0
1563111384,4,0
1563155074,1,0
1563198734,1,0
1563242414,1,0
1563329775,2,0
1563417150,1,0
1563460827,1,0
1563504758,1,0
1563548422,1,0
1563592116,2,0
1563635789,1,0
1563679450,1,0
1563723148,1,0
1563810509,2,0
1563854183,1,0
1563897880,2,0
1563941551,3,0
1563985205,2,0
1564029143,1,0
1564072824,1,0
1564203852,2,0
1564291221,1,0
1564422254,2,0
1564465948,2,0
1564509616,4,0
1564553310,4,0
1564596986,3,0
1564640651,1,0
1564684349,1,0
1564728007,3,0
1564771711,1,0
1564815397,1,0
1564859314,5,0
1564902988,3,0
1564946668,2,0
1564990351,4,0
1565034010,2,0
1565077942,2,0
1565121656,1,0
1565165307,1,0
1565208974,2,0
1565252653,3,0
1565296331,1,0
1565340015,1,0
1565427386,3,0
1565471062,2,0
1565558413,1,0
1565645770,4,0
1565689469,3,0
1565776822,2,0
1565820494,3,0
1565864184,1,0
1565908132,1,0
1565951770,3,0
1566126487,2,0
1566170173,2,0
1566257540,2,0
1566301212,3,0
1566345141,2,0
1566389066,5,0
1566433000,3,0
1566476664,4,0
1566563971,1,0
1566607961,5,0
1566651644,1,0
1566695317,3,0
1566738991,1,0
1566782663,1,0
1566826357,1,0
1566870009,1,0
1566913714,3,0
1566957406,4,0
1567001327,1,0
1567044990,1,0
1567088653,1,0
1567132335,1,0
1567219696,2,0
1567263372,1,0
1567307563,2,0
1567351475,2,0
1567438807,2,1
1567482496,3,0
1567526189,1,0
1567569879,3,0
1567613653,1,0
1567657697,4,0
1567701367,3,0
1567745050,4,0
1567788736,2,0
1567876104,1,0
1567919802,1,0
1567963452,6,0
1568007160,6,0
1568051074,14,0
1568094749,3,0
1568138438,2,0
1568182090,2,0
1568225789,6,0
1568269451,5,0
1568313155,4,0
1568357754,4,0
1568401722,3,0
1568445410,6,0
1568489081,3,0
1568532739,3,0
1568576440,12,0
1568620345,2,0
1568664013,1,0
1568707698,5,0
1568751377,3,0
