DateTime,AddedIPs,RemovedIPs
1580252630,0,1
1580256236,2,0
1580259835,1,1
1580263435,2,0
1580267034,0,1
1580270634,2,1
1580274237,3,1
1580277836,2,1
1580281433,0,1
1580285033,0,2
1580288632,1,1
1580292235,2,1
1580299434,3,0
1580303033,1,2
1580306644,2,1
1580310236,0,2
1580317435,1,0
1580321033,1,2
1580324636,1,0
1580342637,1,1
1580353434,0,1
1580357035,2,0
1580367844,28,3
1580371443,0,3
1580378644,0,2
1580382241,0,3
1580385840,0,7
1580389435,0,10
1580393036,0,7
1580396631,0,8
1580400225,0,6
1580403826,0,1
1580407426,0,1
1580418222,0,1
1580421827,2,2
1580429024,1,1
1580432622,1,0
1580436221,0,2
1580439821,1,1
1580443423,1,0
1580454218,0,3
1580457820,3,0
1580465016,0,2
1580468615,1,1
1580472213,0,1
1580475811,0,2
1580479410,1,2
1580486610,1,0
1580490210,0,1
1580493811,0,1
1580497409,1,1
1580501008,1,1
1580508206,0,1
1580515403,0,3
1580518997,2,3
1580522599,1,0
1580526197,0,1
1580529800,2,0
1580533398,0,1
1580540599,1,0
1580544198,0,1
1580547802,2,1
1580551399,0,1
1580554996,2,2
1580558596,0,1
1580562193,2,2
1580565796,1,2
1580569388,1,2
1580576588,0,1
1580580188,2,3
1580583784,1,4
1580587383,1,2
1580590979,2,2
1580594580,0,1
1580598179,2,2
1580601779,0,1
1580616181,1,0
1580619794,28,0
1580623394,2,1
1580648592,0,3
1580655791,0,2
1580666591,1,0
1580670190,2,1
1580673794,4,0
1580677395,1,0
1580684597,3,0
1580691797,0,1
1580695397,0,1
1580698997,1,0
1580702599,1,1
1580706210,25,0
1580735010,1,0
1580742208,0,1
1580745816,21,0
1580749415,4,1
1580753018,2,1
1580756617,2,0
1580760219,1,1
1580763818,1,3
1580767417,1,1
1580771017,0,1
1580774619,1,0
1580778218,0,1
1580781822,0,1
1580785416,0,1
1580789015,0,1
1580792617,1,0
1580799826,21,2
1580810627,1,0
1580814224,0,1
1580821425,1,0
1580825023,1,1
1580828626,2,0
1580843025,0,2
1580846608,0,30
1580850209,0,7
1580853813,1,0
1580861009,2,1
1580864611,1,0
1580868211,0,1
1580875408,0,2
1580879009,0,2
1580882608,1,1
1580886207,0,1
1580893407,0,1
1580897009,2,1
1580900607,0,1
1580904203,1,4
1580907804,1,2
1580911404,1,2
1580918599,1,7
1580922197,0,12
1580925808,24,1
1580929404,0,2
1580933004,4,0
1580936611,18,0
1580940210,0,1
1580943810,0,1
1580947406,0,1
1580951008,1,0
1580958210,1,0
1580961810,0,2
1580969011,1,1
1580972599,0,26
1580979802,4,0
1580983404,4,0
1580987007,1,0
1580990606,4,0
1580994212,5,0
1581001414,1,0
1581005018,3,0
1581012226,18,0
1581015828,1,0
1581019429,2,1
1581023029,1,1
1581026634,3,1
1581030238,2,0
1581033838,0,2
1581037440,3,0
1581044638,0,1
1581051843,2,2
1581055440,2,1
1581059037,0,2
1581062643,3,2
1581069849,1,0
1581073464,0,1
1581077349,2,0
1581081092,4,0
1581084250,1,3
1581087851,2,0
1581091451,1,0
1581095060,1,0
1581098659,2,0
1581102256,1,1
1581109462,2,0
1581113066,2,0
1581116666,2,1
1581120267,2,1
1581123866,1,3
1581127469,1,0
1581134667,1,1
1581138267,2,1
1581141863,1,2
1581145461,0,1
1581149074,15,1
1581152672,2,1
1581156272,1,0
1581159872,0,1
1581163476,7,0
1581167072,1,5
1581170672,2,2
1581174285,12,1
1581177887,3,1
1581185089,1,3
1581188691,4,0
1581195893,1,1
1581199493,2,1
1581203092,0,3
1581206691,2,0
1581210326,43,0
1581213929,1,0
1581217533,1,0
1581221127,0,5
1581224715,0,23
1581228316,1,1
1581235515,0,1
1581239119,1,0
1581249915,1,0
1581253515,1,0
1581257119,1,1
1581260722,19,1
1581267922,1,0
1581271523,1,1
1581275120,0,3
1581278714,0,3
1581282314,0,4
1581285913,2,0
1581289513,1,2
1581296713,1,1
1581311109,0,19
1581325505,0,1
1581329107,1,0
1581350699,0,14
1581354300,1,6
1581357896,2,5
1581361496,0,2
1581365098,1,1
1581368695,0,1
1581372296,1,1
1581375894,0,1
1581386696,2,1
1581390299,2,0
1581393898,0,1
1581397502,1,0
1581401114,19,0
1581404697,0,22
1581415498,1,0
1581419098,0,1
1581422696,0,1
1581426296,1,0
1581433495,0,3
1581437094,0,2
1581440693,1,0
1581444291,2,3
1581455094,1,0
1581458694,1,1
1581465892,1,2
1581469490,1,2
1581473091,1,0
1581480290,1,0
1581483891,1,0
1581487502,22,0
1581491101,1,0
1581494702,1,1
1581498307,2,0
1581501907,3,1
1581505507,1,1
1581509108,0,1
1581512706,2,2
1581516309,4,0
1581519907,2,0
1581523507,3,1
1581527109,2,1
1581530704,2,21
1581534304,1,0
1581537904,3,3
1581541506,0,2
1581545105,2,0
1581548706,1,1
1581552307,1,1
1581555906,1,1
1581563105,1,3
1581570307,1,0
1581573902,0,1
1581577512,18,0
1581581116,2,0
1581588315,0,1
1581591913,0,2
1581595514,1,2
1581599109,0,4
1581602710,2,1
1581606310,0,1
1581609903,1,7
1581613502,0,1
1581617096,0,15
1581620696,0,1
1581624295,1,2
1581627894,0,2
1581631492,0,1
1581635096,2,0
1581642294,1,2
1581645896,3,0
1581649495,1,1
1581656697,1,0
1581660293,0,4
1581663902,24,1
1581667498,1,3
1581671098,1,3
1581674696,1,1
1581678296,0,1
1581681894,1,2
1581685492,2,1
1581689092,0,1
1581692689,0,2
1581696288,1,0
1581699888,1,1
1581703488,1,1
1581707087,0,1
1581710691,2,0
1581714288,0,2
1581717887,0,1
1581721487,2,1
1581725087,3,1
1581728685,1,1
1581732284,0,1
1581735882,0,1
1581739482,1,0
1581743082,1,1
1581746682,1,1
1581750289,24,0
1581753887,2,12
1581757485,0,2
1581761085,1,0
1581764686,0,1
1581768284,2,9
1581771885,2,2
1581775486,2,1
1581779078,0,5
1581782670,2,9
1581786266,2,2
1581789864,0,2
1581793458,0,4
1581797054,1,3
1581800653,0,2
1581804250,0,2
1581807854,2,2
1581811453,0,2
1581815014,0,42
1581818616,1,1
1581822214,0,1
1581833013,1,0
1581843817,2,0
1581847416,1,0
1581854617,0,1
1581858215,0,1
1581861815,0,1
1581865405,0,22
1581869005,0,1
1581879809,1,0
1581912218,23,0
1581923019,0,1
1581933819,0,1
1581941018,1,0
1581948224,1,0
1581959020,1,1
1581962622,1,0
1581966221,1,1
1581977024,3,0
1581980622,2,1
1581991420,0,3
1581995017,0,4
1581998625,22,1
1582002222,0,1
1582005810,0,25
1582013009,0,1
1582016610,1,0
1582027412,1,0
1582031011,1,1
1582034612,1,0
1582038215,2,0
1582041815,0,1
1582049015,2,1
1582052620,2,0
1582056220,1,1
1582059819,0,1
1582063416,0,1
1582067021,1,0
1582077819,1,3
1582081422,3,0
1582085024,5,1
1582088629,11,0
1582092220,0,24
1582095821,1,0
1582099423,1,1
1582103018,1,3
1582106617,0,1
1582117415,0,2
1582121017,4,4
1582124617,1,0
1582128216,0,1
1582131818,1,0
1582135420,1,0
1582139019,7,1
1582142617,3,3
1582146217,1,2
1582149816,1,2
1582153417,1,1
1582157019,6,0
1582160620,1,1
1582164221,1,0
1582167819,1,1
1582171418,1,0
1582175021,1,0
1582178619,1,0
1582182204,1,25
1582185804,1,0
1582189405,0,1
1582203809,1,0
1582207414,18,2
1582214610,0,2
1582218212,1,0
1582221808,0,2
1582225407,1,2
1582229010,1,0
1582232610,1,0
1582239808,1,1
1582243410,1,0
1582247015,8,2
1582250622,13,2
1582254230,16,1
1582257832,8,0
1582261442,15,1
1582265042,6,1
1582268642,8,20
1582272246,5,1
1582275847,3,0
1582279447,0,1
1582283050,2,1
1582286649,1,2
1582290250,1,1
1582293856,21,1
1582297456,1,0
1582301055,1,1
1582304658,1,1
1582308256,1,2
1582311854,2,0
1582315454,0,1
1582319053,0,2
1582326253,1,3
1582329855,1,3
1582333457,4,1
1582337060,2,0
1582340658,1,1
1582344253,1,2
1582347858,1,0
1582351458,3,1
1582355047,2,20
1582358649,2,1
1582362251,1,1
1582365849,2,2
1582369450,0,2
1582373052,2,0
1582376650,1,1
1582380250,1,2
1582383852,2,0
1582387452,1,0
1582391052,1,1
1582394651,1,2
1582398252,3,0
1582401854,1,1
1582412654,0,1
1582416254,2,1
1582419856,1,0
1582423461,20,0
1582427063,0,1
1582437862,1,0
1582445062,0,2
1582448665,0,1
1582455860,1,1
1582459459,2,0
1582463060,1,0
1582466660,0,1
1582470258,0,3
1582477457,0,1
1582484656,1,1
1582488255,1,2
1582491855,0,1
1582495455,2,0
1582499057,2,0
1582502658,1,0
1582509863,19,0
1582517055,0,14
1582527856,0,1
1582542257,1,0
1582545857,1,1
1582549458,0,1
1582563859,0,1
1582571058,1,2
1582578259,1,0
1582581855,0,1
1582585459,1,2
1582596273,21,0
1582599869,1,2
1582603466,2,19
1582607066,1,0
1582610667,1,0
1582614268,1,1
1582621467,1,1
