DateTime,AddedIPs,RemovedIPs
1574726491,1,0
1574766085,0,1
1574820324,1,0
1574881288,1,1
1574884886,1,0
1574888487,1,0
1574892326,0,1
1574902890,1,0
1574917289,0,1
1574942490,4,0
1574946093,0,1
1574953290,0,1
1574982091,1,0
1574985691,0,1
1575032493,0,1
1575039688,1,0
1575043294,0,1
1575050699,1,0
1575054099,1,0
1575068488,0,1
1575075688,0,1
1575082888,0,1
1575111686,1,0
1575118887,0,1
1575126085,1,0
1575129692,1,0
1575144088,1,1
1575147686,0,1
1575154886,1,0
1575158486,0,1
1575162085,0,1
1575172885,0,2
1575219690,2,0
1575230490,1,0
1575234086,0,1
1575277288,0,1
1575284487,0,1
1575291689,0,1
1575298888,0,1
1575313288,0,1
1575320491,0,1
1575334884,0,1
1575338702,0,1
1575353096,0,1
1575356482,0,1
1575370881,0,1
1575385280,0,1
1575396284,1,0
1575399683,1,0
1575414081,0,1
1575417682,1,0
1575428499,8,0
1575460891,2,0
1575482724,0,1
1575486090,0,1
1575489691,0,1
1575497112,0,1
1575500489,0,1
1575504087,1,0
1575514886,1,0
1575522086,1,0
1575536486,0,1
1575540299,1,0
1575547286,0,1
1575558088,1,1
1575561700,3,0
1575569124,2,1
1575579697,0,1
1575594096,0,1
1575615699,0,1
1575630091,1,1
1575644495,1,1
1575648090,2,0
1575651690,0,1
1575658890,0,1
1575720091,1,0
1575730888,1,1
1575748888,0,1
1575766889,0,1
1575774231,1,0
1575781290,1,0
1575785077,0,1
1575788492,0,1
1575792233,1,0
1575813874,1,0
1575831693,0,2
1575896497,1,0
1575939696,1,0
1575943297,0,1
1576018892,1,0
1576033289,0,2
1576036889,0,6
1576080214,0,1
1576083682,1,0
1576105475,1,0
1576108880,0,1
1576112479,0,1
1576116204,1,0
1576126881,0,1
1576144883,0,1
1576152183,0,1
1576166486,2,0
1576180877,0,1
1576188197,1,0
1576191851,1,0
1576238479,0,3
1576252880,0,1
1576256485,1,0
1576270884,0,1
1576303283,1,0
1576321454,1,0
1576332216,0,1
1576422207,1,0
1576447295,1,0
1576450894,0,1
1576501462,2,0
1576519287,0,1
1576526490,1,0
1576551688,0,1
1576558887,0,1
1576594888,0,2
1576623683,0,1
1576630885,1,0
1576663453,0,1
1576688485,0,2
1576695680,1,0
1576717282,1,0
1576724489,0,1
1576749855,0,1
1576778650,1,0
1576789288,1,0
1576800185,1,0
1576857691,1,0
1576861283,1,1
1576886484,1,0
1576926200,1,0
1576947684,0,1
1576951376,0,1
1576962096,2,0
1576969389,2,1
1576980262,1,0
1576990893,0,1
1577041407,1,0
1577048498,1,0
1577055812,0,1
1577081058,0,1
1577084606,0,1
1577109851,0,1
1577127808,1,0
1577138647,0,1
1577149287,0,1
1577156603,0,1
1577163690,0,2
1577174609,0,1
1577221282,1,0
1577257283,1,0
1577293294,1,0
1577343686,0,1
1577372580,0,1
1577437289,1,1
1577444612,0,1
1577451691,1,0
1577469810,1,1
1577476882,0,1
1577480613,0,1
1577494885,1,1
1577498723,1,0
1577502087,2,0
1577513052,1,0
1577527442,0,1
1577559692,1,0
1577566891,1,1
1577584962,0,1
1577592090,1,0
1577606593,0,1
1577620895,0,1
1577653287,1,0
1577657062,4,0
1577671441,1,1
1577674895,1,0
1577685844,1,0
1577696619,0,2
1577732616,0,1
1577736104,1,0
1577743448,1,0
1577747010,0,1
1577822490,1,0
1577829863,1,1
1577847817,0,1
1577851286,2,0
1577854893,1,0
1577865689,1,0
1577883691,1,0
1577898087,0,1
1577905415,1,0
1577945056,1,0
1577948617,0,1
1577955686,0,1
1577959452,0,1
1577984486,1,0
1578013292,0,1
1578017020,0,1
1578031439,1,0
1578056485,0,1
1578078216,1,0
1578103390,0,1
1578107021,1,0
1578114090,1,0
1578117833,0,2
1578146635,1,0
1578171678,0,1
1578179027,0,1
1578200482,0,1
1578207818,0,1
1578211285,0,1
1578218635,0,1
1578243680,0,1
1578247412,0,1
1578258077,0,1
1578261829,1,0
1578276230,0,2
1578297669,0,1
1578340885,1,0
1578430872,0,1
1578445276,0,1
1578449030,0,1
1578463425,1,0
1578477792,1,0
1578495672,0,1
1578524481,0,1
1578531668,0,1
1578535436,0,1
1578682872,0,1
1578700869,1,0
1578736868,1,0
1578744322,0,1
1578754869,1,0
1578765672,0,2
1578801668,0,1
1578808877,1,0
1578866481,1,0
1578873679,1,0
1578877281,0,1
1578880886,1,0
1578884477,0,1
1578891672,0,1
1578906292,1,0
1578909675,2,0
1578927681,0,1
1578934878,1,0
1578938474,0,1
1578945672,0,1
1578956482,2,0
1578981823,1,0
1578985281,4,0
1578992482,1,0
1578999815,2,0
1579003288,1,0
1579006890,1,0
1579028493,1,0
1579035825,1,0
1579093297,1,0
1579104260,0,1
1579129286,1,0
1579143818,0,1
1579172483,0,1
1579186889,1,1
1579190480,0,1
1579194257,1,0
1579244486,1,0
1579262480,0,2
1579280481,0,1
1579287820,0,1
1579305814,1,0
1579316483,1,1
1579323815,0,1
1579341816,0,1
1579348874,0,1
1579366880,2,0
1579388479,0,1
1579402876,0,1
1579410249,1,0
1579413813,1,0
